seq,rtt_ms
1,0.113
2,0.118
3,0.080
4,0.121
5,0.068
6,0.079
7,0.061
8,0.083
9,0.101
10,0.076
11,0.103
12,0.086
13,0.063
14,0.061
15,0.060
16,0.081
17,0.062
18,0.070
19,0.062
20,0.073
21,0.073
22,0.126
23,0.063
24,0.090
25,0.078
26,0.074
27,0.077
28,0.118
29,0.086
30,0.078
31,0.106
32,0.089
33,0.085
34,0.061
35,0.061
36,0.060
37,0.131
38,0.056
39,0.066
40,0.095
41,0.098
42,0.096
43,0.196
44,0.078
45,0.099
46,0.096
47,0.114
48,0.063
49,0.078
50,0.058
51,0.081
52,0.075
53,0.080
54,0.068
55,0.063
56,0.070
57,0.082
58,0.064
59,0.059
60,0.119
61,0.097
62,0.069
63,0.061
64,0.070
65,0.085
66,0.414
67,0.069
68,0.062
69,0.084
70,0.066
71,0.071
72,0.062
73,0.250
74,0.062
75,0.449
76,0.064
77,0.077
78,0.066
79,0.169
80,0.101
81,0.102
82,0.073
83,0.062
84,0.092
85,0.106
86,0.065
87,0.082
88,0.093
89,0.147
90,0.070
91,0.077
92,0.088
93,0.079
94,0.060
95,0.094
96,0.088
97,0.078
98,0.092
99,0.142
100,0.082
101,0.094
102,0.064
103,0.081
104,0.075
105,0.075
106,0.091
107,0.063
108,0.075
109,0.090
110,0.075
111,0.064
112,0.055
113,0.126
114,0.074
115,0.063
116,0.062
117,0.064
118,0.073
119,0.096
120,0.074
121,0.090
122,0.096
123,0.082
124,0.077
125,0.079
126,0.085
127,0.073
128,0.058
129,0.092
130,0.072
131,0.059
132,0.057
133,0.062
134,0.081
135,0.066
136,0.075
137,0.063
138,0.120
139,0.097
140,0.065
141,0.062
142,0.071
143,0.062
144,0.070
145,0.128
146,0.087
147,0.069
148,0.106
149,0.103
150,0.100
151,0.064
152,0.061
153,0.061
154,0.087
155,0.064
156,0.096
157,0.062
158,0.094
159,0.089
160,0.063
161,0.062
162,0.115
163,0.163
164,0.091
165,0.056
166,0.081
167,0.063
168,0.062
169,0.091
170,0.087
171,0.064
172,0.086
173,0.056
174,0.088
175,0.070
176,0.066
177,0.064
178,0.270
179,0.082
180,0.064
181,0.062
182,0.062
183,0.076
184,0.068
185,0.061
186,0.053
187,0.085
188,0.065
189,0.077
190,0.089
191,0.092
192,0.073
193,0.094
194,0.078
195,0.095
196,0.079
197,0.120
198,0.088
199,0.095
200,0.071
201,0.078
202,0.066
203,0.081
204,0.084
205,0.074
206,0.056
207,0.074
208,0.055
209,0.055
210,0.059
211,0.079
212,0.062
213,0.077
214,0.068
215,0.079
216,0.063
217,0.123
218,0.084
219,0.093
220,0.078
221,0.233
222,0.082
223,0.085
224,0.073
225,0.070
226,0.082
227,0.081
228,0.063
229,0.054
230,0.055
231,0.114
232,0.066
233,0.079
234,0.067
235,0.066
236,0.119
237,0.083
238,0.096
239,0.065
240,0.074
241,0.060
242,0.097
243,0.062
244,0.079
245,0.087
246,0.083
247,0.076
248,0.098
249,0.073
250,0.062
251,0.059
252,0.074
253,0.103
254,0.063
255,0.098
256,0.096
257,0.128
258,0.063
259,0.067
260,0.081
261,0.086
262,0.085
263,0.078
264,0.115
265,0.064
266,0.062
267,0.071
268,0.077
269,0.069
270,0.079
271,0.098
272,0.071
273,0.081
274,0.057
275,0.093
276,0.113
277,0.078
278,0.062
279,0.059
280,0.078
281,0.083
282,0.073
283,0.074
284,0.088
285,0.109
286,0.064
287,0.069
288,0.084
289,0.066
290,0.064
291,0.071
292,0.112
293,0.064
294,0.063
295,0.130
296,0.095
297,0.066
298,0.062
299,0.086
300,0.096
301,0.069
302,0.067
303,0.064
304,0.066
305,0.075
306,0.054
307,0.061
308,0.063
309,0.079
310,0.070
311,0.067
312,0.059
313,0.100
314,0.087
315,0.082
316,0.072
317,0.079
318,0.067
319,0.056
320,0.063
321,0.093
322,0.114
323,0.064
324,0.064
325,0.078
326,0.066
327,0.063
328,0.060
329,0.077
330,0.073
331,0.088
332,0.062
333,0.076
334,0.098
335,0.072
336,0.074
337,0.074
338,0.075
339,0.064
340,0.076
341,0.163
342,0.065
343,0.068
344,0.071
345,0.110
346,0.079
347,0.067
348,0.077
349,0.090
350,0.073
351,0.068
352,0.077
353,0.094
354,0.076
355,0.064
356,0.060
357,0.384
358,0.061
359,0.060
360,0.059
361,0.074
362,0.057
363,0.082
364,0.065
365,0.082
366,0.069
367,0.056
368,0.060
369,0.114
370,0.060
371,0.076
372,0.060
373,0.125
374,0.089
375,0.086
376,0.144
377,0.102
378,0.093
379,0.076
380,0.098
381,0.074
382,0.090
383,0.069
384,0.066
385,0.073
386,0.120
387,0.088
388,0.062
389,0.062
390,0.082
391,0.063
392,0.135
393,0.081
394,0.080
395,0.055
396,0.060
397,0.061
398,0.083
399,0.091
400,0.134
401,0.081
402,0.075
403,0.105
404,0.064
405,0.086
406,0.077
407,0.057
408,0.062
409,0.066
410,0.077
411,0.094
412,0.122
413,0.100
414,0.094
415,0.092
416,0.118
417,0.074
418,0.099
419,0.081
420,0.120
421,0.113
422,0.119
