seq,rtt_ms
1,0.092
2,0.073
3,0.064
4,0.063
5,0.108
6,0.101
7,0.082
8,0.070
9,0.073
10,0.065
11,0.054
12,0.215
13,0.079
14,0.084
15,0.057
16,0.066
17,0.079
18,0.088
19,0.085
20,0.070
21,0.105
22,0.181
23,0.093
24,0.077
25,0.068
26,0.074
27,0.101
28,0.064
29,0.078
30,0.090
31,0.069
32,0.060
33,0.065
34,0.076
35,0.065
36,0.063
37,0.065
38,0.075
39,0.116
40,0.071
41,0.075
42,0.089
43,0.065
44,0.097
45,0.067
46,0.077
47,0.058
48,0.065
49,0.064
50,0.102
51,0.060
52,0.115
53,0.077
54,0.088
55,0.066
56,0.065
57,0.065
58,0.116
59,0.084
60,0.065
61,0.061
62,0.076
63,0.091
64,0.091
65,0.063
66,0.087
67,0.067
68,0.078
69,0.076
70,0.086
71,0.076
72,0.080
73,0.066
74,0.091
75,0.067
76,0.091
77,0.086
78,0.085
79,0.096
80,0.078
81,0.087
82,0.091
83,0.070
84,0.065
85,0.060
86,0.076
87,0.093
88,0.070
89,0.081
90,0.080
91,0.066
92,0.061
93,0.063
94,0.113
95,0.089
96,0.073
97,0.102
98,0.108
99,0.081
100,0.084
101,0.081
102,0.092
103,0.125
104,0.097
105,0.119
106,0.086
107,0.123
108,0.065
109,0.065
110,0.065
111,0.087
112,0.069
113,0.063
114,0.062
115,0.075
116,0.065
117,0.086
118,0.065
119,0.077
120,0.094
121,0.060
122,0.067
123,0.077
124,0.062
125,0.061
126,0.074
127,0.066
128,0.063
129,0.059
130,0.070
131,0.098
132,0.221
133,0.068
134,0.063
135,0.080
136,0.121
137,0.093
138,0.198
139,0.086
140,0.382
141,0.077
142,0.086
143,0.096
144,0.211
145,0.061
146,0.057
147,0.076
148,0.066
149,0.072
150,0.073
151,0.163
152,0.073
153,0.061
154,0.081
155,0.075
156,0.080
157,0.098
158,0.083
159,0.084
160,0.096
161,0.071
162,0.071
163,0.065
164,0.074
165,0.084
166,0.082
167,0.069
168,0.078
169,0.063
170,0.062
171,0.082
172,0.077
173,0.066
174,0.064
175,0.064
176,0.089
177,0.062
178,0.060
179,0.062
180,0.074
181,0.069
182,0.064
183,0.061
184,0.097
185,0.060
186,0.056
187,0.062
188,0.069
189,0.080
190,0.067
191,0.084
192,0.071
193,0.082
194,0.086
195,0.122
196,0.102
197,0.081
198,0.104
199,0.065
200,0.091
201,0.086
202,0.076
203,0.089
204,0.095
205,0.085
206,0.088
207,0.081
208,0.092
209,0.079
210,0.077
211,0.092
212,0.074
213,0.071
214,0.070
215,0.082
216,0.094
217,0.089
218,0.068
219,0.074
220,0.065
221,0.074
222,0.092
223,0.125
224,0.064
225,0.084
226,0.064
227,0.066
228,0.062
229,0.073
230,0.065
231,0.063
232,0.062
233,0.074
234,0.095
235,0.080
236,0.065
237,0.074
238,0.065
239,0.062
240,0.062
241,0.073
242,0.062
243,0.055
244,0.061
245,0.072
246,0.070
247,0.059
248,0.062
249,0.079
250,0.066
251,0.062
252,0.064
253,0.094
254,0.092
255,0.088
256,0.105
257,0.108
258,0.079
259,0.078
260,0.066
261,0.080
262,0.075
263,0.064
264,0.069
265,0.074
266,0.070
267,0.065
268,0.068
269,0.086
270,0.103
271,0.082
