seq,rtt_ms
1,0.141
2,0.083
3,0.095
4,0.077
5,0.110
6,0.087
7,0.092
8,0.094
9,0.123
10,0.115
11,0.086
12,0.072
13,0.068
14,0.072
15,0.102
16,0.117
17,0.081
18,0.068
19,0.087
20,0.074
21,0.102
22,0.072
23,0.103
24,0.106
25,0.117
26,0.101
27,0.094
28,0.069
29,0.068
30,0.101
31,0.092
32,0.068
33,0.117
34,0.077
35,0.112
36,0.069
37,0.107
38,0.074
39,0.091
40,0.104
41,0.067
42,0.074
43,0.083
44,0.106
45,0.074
46,0.068
47,0.126
48,0.074
49,0.069
50,0.068
51,0.108
52,0.089
53,0.072
54,0.070
55,0.083
56,0.082
57,0.063
58,0.068
59,0.103
60,0.085
61,0.104
62,0.099
63,0.115
64,0.180
65,0.083
66,0.080
67,0.118
68,0.096
69,0.084
70,0.091
71,0.081
72,0.129
73,0.114
74,0.070
75,0.094
76,0.099
77,0.087
78,0.080
79,0.117
80,0.107
81,0.078
82,0.070
83,0.128
84,0.136
85,0.080
86,0.115
87,0.076
88,0.088
89,0.112
90,0.071
91,0.069
92,0.096
93,0.093
94,0.083
95,0.073
96,0.104
97,0.136
98,0.079
99,0.084
100,0.096
101,0.090
102,0.123
103,0.123
104,0.091
105,0.130
106,0.097
107,0.094
108,0.125
109,0.083
110,0.080
111,0.072
112,0.120
113,0.113
114,0.074
115,0.065
116,0.098
117,0.083
118,0.093
119,0.081
120,0.096
121,0.074
122,0.129
123,0.092
124,0.092
125,0.099
126,0.110
127,0.087
128,0.080
129,0.082
130,0.083
131,0.080
132,0.071
133,0.089
134,0.080
135,0.078
136,0.096
137,0.136
138,0.071
139,0.069
140,0.096
141,0.109
142,0.096
143,0.121
144,0.083
145,0.088
146,0.085
147,0.084
148,0.071
149,0.088
150,0.104
151,0.125
152,0.105
153,0.120
154,0.085
155,0.079
156,0.076
157,0.130
158,0.075
159,0.082
160,0.088
161,0.117
162,0.145
163,0.145
164,0.094
165,0.152
166,0.131
167,0.093
168,0.081
169,0.085
170,0.075
171,0.077
172,0.078
173,0.091
174,0.077
175,0.072
176,0.084
177,0.089
178,0.076
179,0.071
180,0.154
181,0.108
182,0.082
183,0.071
184,0.071
185,0.130
186,0.149
187,0.080
188,0.070
189,0.070
190,0.089
191,0.088
192,0.094
193,0.084
194,0.108
195,0.090
196,0.096
197,0.074
198,0.092
199,0.094
200,0.120
201,0.092
202,0.090
203,0.076
204,0.116
205,0.077
206,0.090
207,0.100
208,0.074
209,0.076
210,0.098
211,0.140
212,0.114
213,0.093
214,0.106
215,0.096
216,0.091
217,0.133
218,0.105
219,0.105
220,0.089
221,0.088
222,0.132
223,0.071
224,0.069
225,0.147
226,0.095
227,0.071
228,0.118
229,0.081
230,0.141
231,0.093
232,0.088
233,0.091
234,0.081
235,0.072
236,0.097
237,0.083
238,0.135
239,0.146
240,0.117
241,0.073
242,0.089
243,0.089
244,0.102
245,0.098
246,0.088
247,0.077
248,0.070
249,0.081
250,0.111
251,0.096
252,0.075
253,0.100
254,0.072
255,0.081
256,0.073
257,0.099
258,0.127
259,0.088
260,0.092
261,0.065
262,0.117
263,0.090
264,0.073
265,0.065
266,0.073
267,0.077
268,0.065
269,0.067
270,0.077
271,0.104
272,0.120
273,0.084
274,0.085
275,0.102
276,0.082
277,0.068
278,0.160
279,0.132
280,0.134
281,0.084
282,0.083
283,0.094
284,0.146
285,0.091
286,0.091
287,0.110
288,0.092
289,0.074
290,0.075
291,0.095
292,0.087
293,0.078
294,0.086
295,0.155
296,0.140
297,0.090
298,0.102
299,0.091
300,0.071
301,0.118
302,0.078
303,0.107
304,0.084
305,0.076
306,0.064
307,0.082
308,0.091
309,0.097
310,0.075
311,0.094
