seq,rtt_ms
1,0.110
2,0.081
3,0.083
4,0.065
5,0.146
6,0.111
7,0.080
8,0.078
9,0.078
10,0.098
11,0.074
12,0.070
13,0.127
14,0.097
15,0.085
16,0.075
17,0.079
18,0.086
19,0.162
20,0.084
21,0.065
22,0.078
23,0.097
24,0.067
25,0.070
26,0.084
27,0.072
28,0.094
29,0.066
30,0.096
31,0.069
32,0.077
33,0.063
34,0.092
35,0.098
36,0.108
37,0.115
38,0.099
39,0.100
40,0.073
41,0.074
42,0.087
43,0.074
44,0.102
45,0.077
46,0.085
47,0.065
48,0.080
49,0.080
50,0.114
51,0.072
52,0.089
53,0.071
54,0.115
55,0.082
56,0.113
57,0.069
58,0.146
59,0.085
60,0.114
61,0.069
62,0.113
63,0.076
64,0.077
65,0.073
66,0.095
67,0.073
68,0.069
69,0.097
70,0.086
71,0.070
72,0.067
73,0.087
74,0.123
75,0.088
76,0.121
77,0.109
78,0.129
79,0.078
80,0.078
81,0.076
82,0.101
83,0.092
84,0.102
85,0.084
86,0.082
87,0.107
88,0.076
89,0.115
90,0.066
91,0.103
92,0.078
93,0.062
94,0.072
95,0.087
96,0.081
97,0.105
98,0.105
99,0.108
100,0.086
101,0.097
102,0.083
103,0.108
104,0.137
105,0.085
106,0.084
107,0.109
108,0.079
109,0.082
110,0.087
111,0.103
112,0.097
113,0.083
114,0.098
115,0.099
116,0.112
117,0.107
118,0.070
119,0.100
120,0.071
121,0.068
122,0.069
123,0.107
124,0.088
125,0.083
126,0.075
127,0.166
128,0.090
129,0.118
130,0.112
131,0.111
132,0.080
133,0.072
134,0.070
135,0.084
136,0.374
137,0.073
138,0.060
139,0.073
140,0.082
141,0.074
142,0.085
143,0.096
144,0.081
145,0.071
146,0.082
147,0.125
148,0.094
149,0.087
150,0.077
151,0.088
152,0.132
153,0.083
154,0.069
155,0.263
156,0.107
157,0.071
158,0.069
159,0.069
160,0.095
161,0.073
162,0.075
163,0.101
164,0.087
165,0.072
166,0.078
167,0.106
168,0.107
169,0.139
170,0.146
171,0.114
172,0.111
173,0.109
174,0.080
175,0.109
176,0.100
177,0.067
178,0.066
179,0.101
180,0.106
181,0.085
182,0.092
183,0.068
184,0.091
185,0.071
186,0.069
187,0.079
188,0.093
189,0.074
190,0.076
191,0.076
192,0.139
193,0.073
194,0.238
195,0.103
196,0.107
197,0.101
198,0.103
199,0.094
200,0.105
201,0.071
202,0.071
203,0.070
204,0.143
205,0.097
206,0.091
207,0.068
208,0.105
209,0.097
210,0.068
211,0.082
212,0.085
213,0.080
214,0.105
215,0.113
216,0.087
217,0.093
218,0.073
219,0.070
220,0.081
221,0.101
222,0.089
223,0.128
224,0.070
225,0.076
226,0.080
227,0.062
228,0.076
229,0.099
230,0.079
231,0.071
232,0.063
233,0.091
234,0.109
235,0.089
236,0.087
237,0.088
238,0.070
239,0.077
240,0.071
241,0.139
242,0.109
243,0.071
244,0.063
245,0.097
246,0.072
247,0.062
248,0.070
249,0.093
250,0.104
251,0.074
252,0.071
253,0.109
254,0.110
255,0.074
256,0.084
257,0.118
258,0.082
259,0.078
260,0.089
261,0.089
262,0.092
263,0.106
264,0.069
265,0.068
266,0.086
267,0.079
268,0.067
269,0.061
270,0.079
271,0.070
272,0.067
273,0.109
274,0.091
275,0.076
276,0.069
277,0.085
278,0.095
279,0.101
280,0.092
281,0.107
282,0.094
283,0.079
284,0.082
285,0.122
286,0.088
287,0.071
288,0.071
289,0.068
290,0.092
291,0.073
292,0.130
293,0.109
294,0.098
295,0.080
296,0.067
297,0.068
298,0.091
299,0.082
300,0.082
301,0.120
302,0.105
303,0.080
304,0.070
305,0.076
306,0.107
307,0.081
308,0.070
309,0.077
310,0.089
311,0.099
312,0.184
313,0.134
314,0.123
315,0.126
316,0.095
317,0.094
318,0.159
319,0.140
320,0.083
321,0.072
322,0.070
323,0.112
324,0.083
325,0.082
326,0.099
327,0.117
328,0.089
329,0.090
330,0.065
331,0.107
332,0.099
333,0.089
334,0.088
335,0.088
336,0.075
337,0.090
338,0.092
339,0.112
340,0.093
341,0.096
342,0.086
343,0.118
344,0.092
345,0.099
346,0.082
347,0.097
348,0.073
349,0.072
350,0.091
351,0.136
352,0.113
353,0.088
354,0.078
355,0.088
356,0.070
357,0.064
358,0.075
359,0.083
360,0.078
361,0.070
362,0.067
363,0.083
364,0.069
365,0.069
366,0.061
367,0.093
368,0.074
369,0.067
370,0.083
371,0.136
372,0.098
373,0.093
374,0.111
375,0.142
376,0.088
377,0.064
378,0.108
379,0.102
380,0.091
381,0.072
382,0.082
383,0.097
384,0.101
385,0.098
386,0.069
387,0.098
388,0.100
389,0.082
390,0.096
391,0.104
392,0.112
393,0.082
394,0.082
395,0.082
396,0.112
397,0.069
398,0.097
399,0.094
400,0.100
401,0.088
402,0.121
403,0.076
404,0.130
405,0.118
406,0.126
407,0.072
408,0.138
409,0.087
410,0.103
411,0.095
412,0.117
413,0.070
414,0.071
415,0.068
416,0.105
417,0.095
418,0.111
419,0.077
420,0.166
421,0.079
422,0.084
423,0.079
424,0.095
425,0.151
426,0.077
427,0.081
428,0.093
429,0.114
430,0.121
431,0.081
432,0.106
433,0.093
434,0.095
435,0.087
436,0.105
437,0.278
438,0.070
439,0.103
440,0.079
441,0.084
442,0.107
443,0.075
444,0.075
445,0.106
446,0.072
447,0.071
448,0.069
449,0.098
450,0.088
451,0.068
452,0.097
453,0.099
454,0.080
455,0.085
456,0.078
457,0.122
458,0.077
459,0.070
460,0.076
461,0.095
462,0.063
463,0.104
464,0.124
465,0.169
466,0.082
467,0.076
468,0.129
469,0.105
470,0.088
471,0.071
472,0.100
473,0.266
474,0.101
475,0.077
476,0.075
477,0.092
478,0.119
479,0.079
480,0.072
481,0.089
482,0.070
483,0.065
484,0.067
485,0.111
486,0.089
487,0.107
488,0.124
489,0.103
490,0.075
491,0.068
492,0.068
493,0.097
494,0.078
495,0.087
496,0.089
497,0.497
498,0.074
499,0.072
500,0.093
501,0.091
502,0.080
503,0.071
504,0.123
505,0.099
506,0.076
507,0.130
508,0.118
509,0.104
510,0.099
511,0.083
512,0.092
513,0.075
514,0.108
515,0.073
516,0.090
517,0.102
518,0.099
519,0.074
520,0.160
521,0.087
522,0.095
523,0.080
524,0.080
525,0.072
526,0.082
527,0.167
528,0.072
529,0.067
530,0.092
531,0.083
532,0.077
533,0.081
534,0.094
535,0.085
536,0.076
537,0.119
538,0.099
539,0.112
540,0.082
541,0.085
542,0.098
543,0.069
544,0.093
545,0.128
546,0.117
547,0.099
548,0.073
549,0.086
550,0.092
551,0.071
552,0.066
553,0.070
554,0.097
555,0.068
556,0.068
557,0.066
558,0.079
559,0.100
560,0.070
561,0.070
562,0.094
563,0.085
564,0.086
565,0.078
566,0.130
567,0.097
568,0.088
569,0.118
570,0.118
571,0.086
572,0.134
573,0.092
574,0.096
575,0.090
576,0.070
577,0.094
578,0.068
579,0.107
580,0.068
581,0.062
582,0.068
583,0.088
584,0.072
585,0.197
586,0.134
587,0.149
588,0.077
589,0.068
590,0.079
591,0.094
592,0.079
593,0.110
594,0.083
595,0.097
596,0.109
597,0.103
598,0.070
599,0.089
600,0.071
