seq,rtt_ms
1,0.138
2,0.083
3,0.136
4,0.099
5,0.122
6,0.122
7,0.114
8,0.080
9,0.089
10,0.113
11,0.410
12,0.147
13,0.104
14,0.102
15,0.130
16,0.095
17,0.085
18,0.091
19,0.103
20,0.091
21,0.070
22,0.089
23,0.105
24,0.092
25,0.078
26,0.064
27,0.072
28,0.100
29,0.088
30,0.118
31,0.092
32,0.102
33,0.126
34,0.074
35,0.122
36,0.110
37,0.109
38,0.084
39,0.080
40,0.085
41,0.079
42,0.101
43,0.068
44,0.088
45,0.088
46,0.126
47,0.079
48,0.107
49,0.092
50,0.077
51,0.088
52,0.147
53,0.106
54,0.099
55,0.096
56,0.078
57,0.067
58,0.070
59,0.069
60,0.118
61,0.070
62,0.071
63,0.095
64,0.083
65,0.082
66,0.100
67,0.098
68,0.100
69,0.077
70,0.068
71,0.135
72,0.140
73,0.111
74,0.079
75,0.075
76,0.088
77,0.123
78,0.079
79,0.075
80,0.094
81,0.066
82,0.109
83,0.078
84,0.078
85,0.086
86,0.077
87,0.116
88,0.094
89,0.089
90,0.126
91,0.171
92,0.124
93,0.123
94,0.111
95,0.066
96,0.068
97,0.089
98,0.072
99,0.067
100,0.063
101,0.125
102,0.097
103,0.069
104,0.068
105,0.094
106,0.071
107,0.088
108,0.148
109,0.084
110,0.122
111,0.113
112,0.075
113,0.109
114,0.086
115,0.081
116,0.071
117,0.099
118,0.075
119,0.097
120,0.093
121,0.087
122,0.074
123,0.068
124,0.070
125,0.108
126,0.075
127,0.068
128,0.069
129,0.084
130,0.109
131,0.078
132,0.071
133,0.098
134,0.091
135,0.078
136,0.098
137,0.093
138,0.080
139,0.077
140,0.069
141,0.092
142,0.070
143,0.077
144,0.068
145,0.146
146,0.111
147,0.093
148,0.080
149,0.133
150,0.091
151,0.075
152,0.070
153,0.090
154,0.090
155,0.071
156,0.075
157,0.079
158,0.078
159,0.086
160,0.133
161,0.201
162,0.095
163,0.087
164,0.089
165,0.196
166,0.088
167,0.073
168,0.103
169,0.105
170,0.111
171,0.077
172,0.082
173,0.080
174,0.086
175,0.079
176,0.069
177,0.078
178,0.086
179,0.075
180,0.097
181,0.083
182,0.095
183,0.075
184,0.079
185,0.083
186,0.097
187,0.125
188,0.162
189,0.133
190,0.131
191,0.075
192,0.071
193,0.073
194,0.088
195,0.082
196,0.103
197,0.103
198,0.094
199,0.075
200,0.073
201,0.072
202,0.103
203,0.088
204,0.088
205,0.074
206,0.085
207,0.075
208,0.131
209,0.111
210,0.101
211,0.094
212,0.079
213,0.076
214,0.136
215,0.100
216,0.076
217,0.065
218,0.068
219,0.096
220,0.101
221,0.063
222,0.091
223,0.116
224,0.083
225,0.094
226,0.071
227,0.187
228,0.091
229,0.080
230,0.082
231,0.127
232,0.106
233,0.088
234,0.086
235,0.132
236,0.073
237,0.074
238,0.072
239,0.084
240,0.070
241,0.074
242,0.071
243,0.111
244,0.072
245,0.076
246,0.086
247,0.166
248,0.096
249,0.080
250,0.072
251,0.085
252,0.073
253,0.073
254,0.074
255,0.111
256,0.071
257,0.071
258,0.070
259,0.088
260,0.106
261,0.096
262,0.091
263,0.165
264,0.080
265,0.073
266,0.080
267,0.107
268,0.089
269,0.088
270,0.079
271,0.077
272,0.120
273,0.109
274,0.073
275,0.071
276,0.098
277,0.072
278,0.082
279,0.082
280,0.097
281,0.083
282,0.084
283,0.140
284,0.123
285,0.092
286,0.109
287,0.102
288,0.090
289,0.083
290,0.081
291,0.079
292,0.099
293,0.078
294,0.072
295,0.112
296,0.087
297,0.074
298,0.075
299,0.090
300,0.100
301,0.076
302,0.118
303,0.070
304,0.105
305,0.078
306,0.123
307,0.076
308,0.092
309,0.096
310,0.119
311,0.132
312,0.156
313,0.074
314,0.077
315,0.172
316,0.101
317,0.074
318,0.085
319,0.121
320,0.100
321,0.119
322,0.105
323,0.096
324,0.141
325,0.124
326,0.124
327,0.108
328,0.092
329,0.137
330,0.075
331,0.075
332,0.117
333,0.112
334,0.087
335,0.073
336,0.071
337,0.087
338,0.079
339,0.074
340,0.072
341,0.101
342,0.086
343,0.071
344,0.100
345,0.134
346,0.097
347,0.114
348,0.078
349,0.083
350,0.073
351,0.069
352,0.108
353,0.104
354,0.081
355,0.081
356,0.081
357,0.093
358,0.120
359,0.071
360,0.081
361,0.095
362,0.103
363,0.077
364,0.134
365,0.137
366,0.104
367,0.073
368,0.093
369,0.096
370,0.074
371,0.076
372,0.076
373,0.088
374,0.075
375,0.073
376,0.072
377,0.213
378,0.129
379,0.123
380,0.117
381,0.092
382,0.080
383,0.092
384,0.132
385,0.108
386,0.087
387,0.070
388,0.074
389,0.089
390,0.080
391,0.074
392,0.078
393,0.069
394,0.090
395,0.074
396,0.084
397,0.090
398,0.142
399,0.079
400,0.080
