seq,rtt_ms
1,0.233
2,0.102
3,0.126
4,0.065
5,0.064
6,0.080
7,0.067
8,0.063
9,0.062
10,0.076
11,0.063
12,0.083
13,0.077
14,0.094
15,0.078
16,0.067
17,0.067
18,0.087
19,0.072
20,0.060
21,0.104
22,0.090
23,0.071
24,0.060
25,0.076
26,0.086
27,0.071
28,0.073
29,0.065
30,0.087
31,0.063
32,0.069
33,0.101
34,0.086
35,0.083
36,0.073
37,0.062
38,0.234
39,0.073
40,0.062
41,0.131
42,0.135
43,0.109
44,0.084
45,0.080
46,0.082
47,0.060
48,0.073
49,0.064
50,0.101
51,0.083
52,0.083
53,0.085
54,0.089
55,0.112
56,0.084
57,0.087
58,0.149
59,0.071
60,0.063
61,0.127
62,0.079
63,0.105
64,0.102
65,0.074
66,0.077
67,0.105
68,0.095
69,0.068
70,0.083
71,0.084
72,0.077
73,0.075
74,0.075
75,0.110
76,0.195
77,0.063
78,0.071
79,0.086
80,0.108
81,0.127
82,0.076
83,0.086
84,0.075
85,0.095
86,0.068
87,0.088
88,0.070
89,0.092
90,0.057
91,0.077
92,0.074
93,0.185
94,0.073
95,0.087
96,0.076
97,0.074
98,0.095
99,0.085
100,0.092
101,0.071
102,0.065
103,0.105
104,0.088
105,0.084
106,0.086
107,0.101
108,0.088
109,0.087
110,0.077
111,0.091
112,0.109
113,0.084
114,0.086
115,0.087
116,0.098
117,0.087
118,0.076
119,0.103
120,0.091
121,0.088
122,0.084
123,0.082
124,0.114
125,0.081
126,0.072
127,0.067
128,0.100
129,0.099
130,0.094
131,0.089
132,0.107
133,0.084
134,0.068
135,0.065
136,0.071
137,0.062
138,0.090
139,0.116
140,0.088
141,0.064
142,0.066
143,0.070
144,0.073
145,0.099
146,0.062
147,0.075
148,0.086
149,0.083
150,0.070
151,0.074
152,0.100
153,0.074
154,0.088
155,0.098
156,0.086
157,0.084
158,0.105
159,0.102
160,0.106
161,0.079
162,0.119
163,0.065
164,0.091
165,0.066
166,0.083
167,0.068
168,0.088
169,0.072
170,0.070
171,0.086
172,0.100
173,0.069
174,0.066
175,0.065
176,0.093
177,0.059
178,0.097
179,0.068
180,0.085
181,0.066
182,0.076
183,0.069
184,0.080
185,0.082
186,0.064
187,0.077
188,0.065
189,0.086
190,0.067
191,0.066
192,0.076
193,0.122
194,0.073
195,0.080
196,0.082
197,0.105
198,0.118
199,0.109
200,0.101
201,0.085
202,0.075
203,0.067
204,0.084
205,0.101
206,0.081
207,0.083
208,0.080
209,0.135
210,0.077
211,0.077
212,0.108
213,0.096
214,0.062
215,0.072
216,0.102
217,0.115
218,0.158
219,0.060
220,0.091
221,0.104
222,0.098
223,0.069
224,0.096
225,0.080
226,0.067
227,0.071
228,0.068
229,0.119
230,0.082
231,0.079
232,0.072
233,0.093
234,0.084
235,0.075
236,0.127
237,0.090
238,0.099
239,0.077
240,0.077
241,0.095
242,0.084
243,0.228
244,0.070
245,0.095
246,0.080
247,0.246
248,0.119
249,0.136
250,0.100
251,0.068
252,0.068
253,0.074
254,0.087
255,0.076
256,0.089
257,0.077
258,0.113
259,0.082
260,0.074
261,0.099
262,0.089
263,0.070
264,0.082
265,0.081
266,0.128
267,0.094
268,0.059
269,0.051
270,0.080
271,0.095
272,0.091
273,0.083
274,0.120
275,0.112
276,0.092
277,0.099
278,0.109
279,0.073
280,0.077
281,0.075
282,0.149
283,0.081
284,0.098
285,0.076
286,0.088
287,0.104
288,0.063
289,0.065
290,0.081
291,0.106
292,0.059
293,0.067
294,0.103
295,0.089
296,0.090
297,0.105
298,0.087
299,0.074
300,0.115
301,0.072
302,0.106
303,0.072
304,0.100
305,0.108
306,0.068
307,0.085
308,0.072
309,0.073
310,0.128
311,0.085
312,0.066
313,0.065
314,0.090
315,0.093
316,0.084
317,0.074
318,0.064
319,0.084
320,0.080
321,0.065
322,0.061
323,0.073
324,0.092
325,0.074
326,0.078
327,0.105
328,0.088
329,0.070
330,0.129
331,0.088
332,0.095
333,0.114
334,0.119
335,0.109
336,0.083
337,0.084
338,0.072
339,0.119
340,0.063
341,0.062
342,0.088
343,0.107
344,0.079
345,0.077
346,0.076
347,0.127
348,0.091
349,0.068
350,0.065
351,0.086
352,0.117
353,0.075
354,0.090
355,0.109
356,0.091
357,0.065
358,0.072
359,0.122
360,0.080
361,0.089
362,0.082
363,0.105
364,0.108
365,0.069
366,0.110
367,0.088
368,0.089
369,0.089
370,0.107
371,0.114
372,0.081
373,0.104
374,0.085
375,0.113
376,0.220
377,0.065
378,0.081
379,0.078
380,0.088
381,0.110
382,0.151
383,0.075
384,0.089
385,0.078
386,0.073
387,0.061
388,0.094
389,0.075
390,0.073
391,0.062
392,0.085
393,0.092
394,0.068
395,0.066
396,0.096
397,0.082
398,0.080
399,0.065
400,0.091
