seq,rtt_ms
1,0.254
2,0.108
3,0.100
4,0.094
5,0.071
6,0.099
7,0.070
8,0.074
9,0.096
10,0.116
11,0.070
12,0.067
13,0.068
14,0.086
15,0.069
16,0.068
17,0.067
18,0.118
19,0.088
20,0.077
21,0.077
22,0.098
23,0.096
24,0.066
25,0.081
26,0.091
27,0.071
28,0.075
29,0.071
30,0.131
31,0.080
32,0.080
33,0.080
34,0.095
35,0.072
36,0.070
37,0.073
38,0.098
39,0.071
40,0.071
41,0.070
42,0.135
43,0.138
44,0.118
45,0.079
46,0.095
47,0.087
48,0.080
49,0.063
50,0.074
51,0.082
52,0.070
53,0.069
54,0.072
55,0.091
56,0.069
57,0.082
58,0.078
59,0.096
60,0.093
61,0.114
62,0.142
63,0.101
64,0.086
65,0.064
66,0.068
67,0.092
68,0.086
69,0.092
70,0.076
71,0.090
72,0.106
73,0.143
74,0.087
75,0.100
76,0.074
77,0.086
78,0.067
79,0.090
80,0.069
81,0.137
82,0.132
83,0.097
84,0.092
85,0.080
86,0.079
87,0.136
88,0.095
89,0.088
90,0.091
91,0.145
92,0.093
93,0.087
94,0.089
95,0.118
96,0.097
97,0.107
98,0.087
99,0.162
100,0.084
101,0.116
102,0.119
103,0.127
104,0.087
105,0.098
106,0.071
107,0.093
108,0.082
109,0.085
110,0.082
111,0.099
112,0.116
113,0.070
114,0.070
115,0.073
116,0.087
117,0.073
118,0.102
119,0.076
120,0.216
121,0.097
122,0.069
123,0.066
124,0.086
125,0.093
126,0.071
127,0.061
128,0.106
129,0.103
130,0.068
131,0.095
132,0.140
133,0.103
134,0.084
135,0.071
136,0.136
137,0.068
138,0.069
139,0.071
140,0.122
141,0.090
142,0.071
143,0.069
144,0.105
145,0.086
146,0.076
147,0.070
148,0.096
149,0.072
150,0.078
151,0.165
152,0.106
153,0.078
154,0.108
155,0.138
156,0.610
157,0.107
158,0.105
159,0.125
160,0.141
161,0.126
162,0.108
163,0.099
164,0.133
165,0.178
166,0.173
167,0.111
168,0.115
169,0.140
170,0.106
171,0.109
172,0.122
173,0.144
174,0.110
175,0.138
176,0.103
177,0.154
178,0.110
179,0.142
180,0.208
181,0.110
182,0.182
183,0.132
184,0.113
185,0.176
186,0.092
187,0.094
188,0.082
189,0.106
190,0.088
191,0.092
192,0.079
193,0.096
194,0.088
195,0.097
196,0.078
197,0.125
198,0.091
199,0.109
200,0.080
201,0.098
202,0.082
203,0.084
204,0.093
205,0.120
206,0.091
207,0.084
208,0.084
209,0.105
210,0.084
211,0.077
212,0.083
213,0.105
214,0.087
215,0.083
216,0.082
217,0.089
218,0.110
219,0.125
220,0.103
221,0.153
222,0.135
223,0.094
224,0.082
225,0.098
226,0.083
227,0.116
228,0.111
229,0.086
230,0.136
231,0.083
232,0.090
233,0.072
234,0.096
235,0.068
236,0.094
237,0.066
238,0.126
239,0.108
240,0.085
241,0.081
242,0.099
243,0.083
244,0.073
245,0.111
246,0.093
247,0.069
248,0.069
249,0.080
250,0.134
251,0.070
252,0.070
253,0.074
254,0.098
255,0.086
256,0.069
257,0.107
258,0.144
259,0.136
260,0.084
261,0.095
262,0.105
263,0.132
264,0.072
265,0.081
266,0.088
267,0.093
268,0.080
269,0.084
270,0.099
271,0.098
272,0.070
273,0.106
274,0.102
275,0.073
276,0.092
277,0.108
278,0.102
279,0.074
280,0.070
281,0.070
282,0.123
283,0.093
284,0.092
285,0.084
286,0.102
287,0.093
288,0.121
289,0.088
290,0.112
291,0.091
292,0.081
293,0.082
294,0.082
295,0.070
296,0.120
297,0.091
298,0.102
299,0.089
300,0.117
301,0.091
302,0.091
303,0.087
304,0.069
305,0.083
306,0.087
307,0.074
308,0.081
309,0.068
310,0.069
311,0.085
312,0.072
313,0.069
314,0.067
315,0.078
316,0.139
317,0.090
318,0.086
319,0.097
320,0.063
321,0.082
322,0.078
323,0.093
324,0.087
325,0.081
326,0.082
327,0.087
328,0.062
329,0.062
330,0.061
331,0.207
332,0.077
333,0.060
334,0.055
335,0.096
336,0.088
337,0.065
338,0.072
339,0.087
340,0.062
341,0.070
342,0.084
343,0.083
344,0.107
345,0.065
346,0.061
347,0.111
348,0.106
349,0.076
350,0.091
351,0.090
352,0.082
353,0.089
354,0.080
355,0.104
356,0.085
357,0.078
358,0.071
359,0.100
360,0.074
361,0.079
362,0.073
363,0.099
364,0.080
365,0.080
366,0.076
367,0.099
368,0.073
369,0.070
370,0.072
371,0.088
372,0.089
373,0.073
374,0.138
375,0.131
376,0.093
377,0.076
378,0.078
379,0.109
380,0.090
381,0.086
382,0.081
383,0.069
384,0.157
385,0.119
386,0.136
387,0.126
388,0.100
389,0.110
390,0.076
391,0.099
392,0.102
393,0.092
394,0.141
395,0.095
396,0.100
397,0.071
398,0.090
399,0.107
400,0.101
