seq,rtt_ms
1,0.108
2,0.134
3,0.139
4,0.136
5,0.088
6,0.103
7,0.086
8,0.076
9,0.083
10,0.101
11,0.071
12,0.062
13,0.068
14,0.093
15,0.080
16,0.077
17,0.076
18,0.103
19,0.113
20,0.080
21,0.079
22,0.093
23,0.133
24,0.126
25,0.080
26,0.098
27,0.075
28,0.123
29,0.069
30,0.095
31,0.111
32,0.074
33,0.075
34,0.094
35,0.082
36,0.127
37,0.100
38,0.107
39,0.113
40,0.115
41,0.067
42,0.150
43,0.095
44,0.070
45,0.075
46,0.081
47,0.104
48,0.084
49,0.083
50,0.068
51,0.094
52,0.069
53,0.071
54,0.100
55,0.098
56,0.128
57,0.081
58,0.075
59,0.087
60,0.069
61,0.068
62,0.239
63,0.098
64,0.079
65,0.119
66,0.084
67,0.135
68,0.089
69,0.070
70,0.096
71,0.113
72,0.078
73,0.095
74,0.087
75,0.096
76,0.090
77,0.107
78,0.077
79,0.094
80,0.073
81,0.128
82,0.100
83,0.144
84,0.091
85,0.116
86,0.070
87,0.097
88,0.071
89,0.070
90,0.069
91,0.095
92,0.072
93,0.079
94,0.080
95,0.091
96,0.086
97,0.082
98,0.085
99,0.100
100,0.091
101,0.111
102,0.087
103,0.104
104,0.081
105,0.140
106,0.104
107,0.131
108,0.091
109,0.074
110,0.070
111,0.100
112,0.090
113,0.084
114,0.078
115,0.079
116,0.110
117,0.073
118,0.075
119,0.071
120,0.110
121,0.127
122,0.075
123,0.086
124,0.107
125,0.094
126,0.078
127,0.079
128,0.094
129,0.081
130,0.076
131,0.079
132,0.094
133,0.081
134,0.079
135,0.071
136,0.090
137,0.073
138,0.065
139,0.070
140,0.110
141,0.083
142,0.071
143,0.100
144,0.108
145,0.081
146,0.061
147,0.067
148,0.112
149,0.084
150,0.088
151,0.080
152,0.099
153,0.097
154,0.081
155,0.062
156,0.086
157,0.073
158,0.100
159,0.098
160,0.106
161,0.072
162,0.099
163,0.085
164,0.156
165,0.092
166,0.081
167,0.077
168,0.105
169,0.067
170,0.119
171,0.083
172,0.097
173,0.079
174,0.080
175,0.080
176,0.095
177,0.071
178,0.066
179,0.126
180,0.118
181,0.095
182,0.076
183,0.078
184,0.075
185,0.092
186,0.070
187,0.066
188,0.067
189,0.091
190,0.068
191,0.070
192,0.068
193,0.092
194,0.080
195,0.072
196,0.067
197,0.122
198,0.135
199,0.103
200,0.077
201,0.099
202,0.080
203,0.075
204,0.071
205,0.080
206,0.078
207,0.078
208,0.088
209,0.094
210,0.077
211,0.075
212,0.103
213,0.127
214,0.084
215,0.080
216,0.104
217,0.098
218,0.143
219,0.074
220,0.078
221,0.095
222,0.086
223,0.084
224,0.070
225,0.089
226,0.101
227,0.098
228,0.097
229,0.145
230,0.090
231,0.087
232,0.084
233,0.131
234,0.073
235,0.070
236,0.072
237,0.136
238,0.110
239,0.113
240,0.069
241,0.097
242,0.077
243,0.081
244,0.183
245,0.099
246,0.081
247,0.072
248,0.071
249,0.098
250,0.087
251,0.079
252,0.067
253,0.069
254,0.090
255,0.080
256,0.079
257,0.119
258,0.088
259,0.070
260,0.069
261,0.066
262,0.092
263,0.076
264,0.104
265,0.075
266,0.089
267,0.078
268,0.071
269,0.071
270,0.116
271,0.097
272,0.085
273,0.079
274,0.080
275,0.096
276,0.117
277,0.154
278,0.104
279,0.102
280,0.070
281,0.142
282,0.109
283,0.089
284,0.088
285,0.086
286,0.274
287,0.079
288,0.077
289,0.077
290,0.105
291,0.064
292,0.076
293,0.065
294,0.094
295,0.080
296,0.111
297,0.075
298,0.116
299,0.071
300,0.067
301,0.097
302,0.094
303,0.082
304,0.080
305,0.065
306,0.082
307,0.080
308,0.081
309,0.087
310,0.085
311,0.092
312,0.095
313,0.090
314,0.141
315,0.170
316,0.146
317,0.080
318,0.094
319,0.073
320,0.068
321,0.081
322,0.083
323,0.083
324,0.076
325,0.071
326,0.108
327,0.080
328,0.070
329,0.096
330,0.102
331,0.087
332,0.068
333,0.118
334,0.113
335,0.138
336,0.072
337,0.070
338,0.075
339,0.086
340,0.115
341,0.068
342,0.070
343,0.093
344,0.076
345,0.077
346,0.075
347,0.094
348,0.102
349,0.105
350,0.085
351,0.101
352,0.091
353,0.087
354,0.146
355,0.110
356,0.086
357,0.111
358,0.081
359,0.114
360,0.152
361,0.089
362,0.092
363,0.124
364,0.133
365,0.088
366,0.126
367,0.118
368,0.090
369,0.094
370,0.079
371,0.108
372,0.091
373,0.080
374,0.155
375,0.103
376,0.087
377,0.076
378,0.077
379,0.121
380,0.088
381,0.079
382,0.080
383,0.150
384,0.081
385,0.071
386,0.067
387,0.113
388,0.073
389,0.070
390,0.106
391,0.074
392,0.089
393,0.145
394,0.100
395,0.106
396,0.092
397,0.073
398,0.071
399,0.114
400,0.096
