t_ms,seq,rtt_ms
69,1,0.390
118,2,0.077
170,3,0.126
221,4,0.083
272,5,0.070
323,6,0.068
374,7,0.072
425,8,0.073
477,9,0.072
527,10,0.070
578,11,0.072
629,12,0.064
680,13,0.059
732,14,0.063
783,15,0.062
833,16,0.066
884,17,0.067
936,18,0.069
987,19,0.059
1037,20,0.062
1089,21,0.071
1139,22,0.062
1191,23,0.083
1243,24,0.067
1293,25,0.056
1345,26,0.065
1395,27,0.089
1448,28,0.066
1499,29,0.070
1550,30,0.063
1600,31,0.058
1652,32,0.060
1702,33,0.092
1754,34,0.062
1804,35,0.062
1856,36,0.095
1907,37,0.064
1958,38,0.062
2009,39,0.068
2061,40,0.063
2112,41,0.069
2162,42,0.103
2214,43,0.106
2264,44,0.064
2315,45,0.075
2367,46,0.062
2417,47,0.063
2468,48,0.061
2519,49,0.064
2570,50,0.070
2621,51,0.067
2672,52,0.064
2724,53,0.082
2775,54,0.067
2825,55,0.069
2877,56,0.066
2928,57,0.068
2979,58,0.064
3029,59,0.062
3080,60,0.060
3132,61,0.065
3183,62,0.083
3234,63,0.082
3284,64,0.066
3335,65,0.063
3388,66,0.062
3439,67,0.058
3489,68,0.064
3540,69,0.097
3593,70,0.063
3644,71,0.092
3694,72,0.065
3745,73,0.077
3796,74,0.075
3847,75,0.072
3899,76,0.071
3950,77,0.176
4001,78,0.053
4052,79,0.062
4103,80,0.062
4156,81,0.078
4207,82,0.095
4258,83,0.111
4308,84,0.064
4361,85,0.097
4412,86,0.058
4464,87,0.061
4514,88,0.056
4569,89,0.063
4620,90,0.059
4670,91,0.064
4733,92,0.097
4780,93,0.179
4831,94,0.106
4882,95,0.071
4933,96,0.068
4985,97,0.069
5035,98,0.067
5087,99,0.064
5137,100,0.095
5189,101,0.088
5240,102,0.126
5290,103,0.066
5341,104,0.065
5392,105,0.064
5444,106,0.072
5495,107,0.071
5546,108,0.066
5596,109,0.060
5647,110,0.064
5699,111,0.066
5749,112,0.064
5800,113,0.066
5851,114,0.074
5903,115,0.096
5953,116,0.063
6005,117,0.072
6055,118,0.072
6106,119,0.063
6158,120,0.068
6210,121,0.224
6260,122,0.087
6311,123,0.061
6363,124,0.068
6414,125,0.065
6464,126,0.065
6516,127,0.065
6566,128,0.063
6617,129,0.064
6668,130,0.065
6720,131,0.069
6772,132,0.073
6823,133,0.242
6874,134,0.066
6924,135,0.065
6976,136,0.071
7026,137,0.068
7077,138,0.118
7128,139,0.066
7180,140,0.089
7231,141,0.083
7282,142,0.081
7333,143,0.077
7383,144,0.074
7435,145,0.068
7486,146,0.108
7536,147,0.073
7587,148,0.065
7639,149,0.073
7690,150,0.101
7741,151,0.086
7791,152,0.069
7843,153,0.070
7898,154,0.075
7948,155,0.069
7998,156,0.075
8050,157,0.073
8100,158,0.077
8151,159,0.071
8203,160,0.107
8254,161,0.091
8305,162,0.073
8356,163,0.075
8406,164,0.072
8457,165,0.068
8508,166,0.076
8559,167,0.099
8611,168,0.073
8662,169,0.070
8713,170,0.099
8763,171,0.070
8814,172,0.078
8865,173,0.073
8916,174,0.100
8967,175,0.068
9018,176,0.069
9069,177,0.073
9120,178,0.103
9171,179,0.127
9223,180,0.117
9274,181,0.078
9324,182,0.072
9376,183,0.071
9426,184,0.073
9478,185,0.062
9528,186,0.067
9579,187,0.066
9630,188,0.063
9681,189,0.062
9732,190,0.083
9783,191,0.072
9839,192,0.096
9889,193,0.098
9941,194,0.070
9991,195,0.075
10042,196,0.073
10093,197,0.071
10145,198,0.077
10195,199,0.095
10246,200,0.078
10297,201,0.070
10348,202,0.066
10400,203,0.078
10451,204,0.071
10502,205,0.069
10553,206,0.074
10604,207,0.100
10654,208,0.070
10706,209,0.069
10757,210,0.071
10808,211,0.116
10859,212,0.071
10909,213,0.104
10960,214,0.071
11012,215,0.071
11063,216,0.078
11113,217,0.073
11166,218,0.106
11216,219,0.114
11268,220,0.085
11317,221,0.075
11368,222,0.071
11419,223,0.072
11470,224,0.102
11521,225,0.065
11573,226,0.064
11623,227,0.064
11675,228,0.240
11726,229,0.082
11776,230,0.074
11827,231,0.071
11879,232,0.065
11930,233,0.063
11980,234,0.064
12032,235,0.070
12082,236,0.067
12134,237,0.136
12186,238,0.206
12236,239,0.110
12286,240,0.104
12337,241,0.125
12388,242,0.065
12440,243,0.065
12491,244,0.111
12541,245,0.074
12592,246,0.072
12643,247,0.100
12694,248,0.076
12745,249,0.076
12796,250,0.071
12848,251,0.073
12898,252,0.076
12949,253,0.101
13000,254,0.075
13052,255,0.071
13102,256,0.074
13153,257,0.074
13205,258,0.143
13256,259,0.080
13307,260,0.098
13358,261,0.067
13409,262,0.062
