t_ms,seq,rtt_ms
108,1,0.095
159,2,0.079
210,3,0.084
262,4,0.073
312,5,0.075
367,6,0.072
419,7,0.092
470,8,0.072
521,9,0.142
574,10,0.089
624,11,0.075
675,12,0.073
727,13,0.072
778,14,0.072
830,15,0.071
882,16,0.088
933,17,0.069
985,18,0.074
1037,19,0.126
1089,20,0.071
1141,21,0.072
1192,22,0.071
1243,23,0.073
1295,24,0.070
1345,25,0.072
1396,26,0.067
1447,27,0.100
1499,28,0.117
1550,29,0.199
1602,30,0.083
1655,31,0.068
1706,32,0.074
1758,33,0.075
1810,34,0.075
1862,35,0.076
1914,36,0.071
1966,37,0.126
2017,38,0.069
2068,39,0.071
2119,40,0.107
2175,41,0.239
2226,42,0.068
2277,43,0.072
2330,44,0.106
2381,45,0.073
2433,46,0.073
2484,47,0.074
2536,48,0.174
2588,49,0.133
2639,50,0.072
2690,51,0.132
2741,52,0.110
2793,53,0.075
2845,54,0.077
2898,55,0.111
2950,56,0.065
3002,57,0.072
3053,58,0.063
3104,59,0.866
3156,60,0.166
3208,61,0.089
3259,62,0.065
3311,63,0.061
3362,64,0.073
3413,65,0.074
3465,66,0.063
3517,67,0.104
3568,68,0.082
3619,69,0.068
3672,70,0.085
3724,71,0.095
3776,72,0.067
3828,73,0.065
3878,74,0.072
3931,75,0.094
3981,76,0.090
4033,77,0.065
4084,78,0.062
4135,79,0.074
4187,80,0.073
4238,81,0.080
4292,82,0.095
4343,83,0.073
4394,84,0.074
4445,85,0.064
4499,86,0.294
4550,87,0.113
4602,88,0.067
4654,89,0.087
4706,90,0.075
4758,91,0.112
4810,92,0.066
4862,93,0.125
4913,94,0.086
4966,95,0.078
5018,96,0.092
5070,97,0.236
5121,98,0.074
5172,99,0.107
5224,100,0.075
5277,101,0.081
5327,102,0.079
5379,103,0.067
5430,104,0.065
5481,105,0.077
5534,106,0.178
5586,107,0.081
5638,108,1.230
5688,109,0.084
5743,110,0.085
5794,111,0.108
5845,112,0.073
5898,113,0.081
5949,114,0.075
6002,115,0.076
6054,116,0.547
6105,117,0.074
6158,118,0.107
6208,119,0.116
6260,120,0.067
6312,121,0.142
6364,122,0.067
6416,123,0.109
6466,124,0.067
6519,125,0.105
6569,126,0.090
6623,127,0.125
6674,128,0.066
6727,129,0.081
6778,130,0.069
6830,131,0.150
6883,132,0.096
6934,133,0.075
6984,134,0.073
7036,135,0.361
7087,136,0.066
7140,137,0.268
7190,138,0.074
7242,139,0.068
7292,140,0.082
7344,141,0.069
7397,142,0.078
7447,143,0.075
7500,144,0.087
7551,145,0.127
7602,146,0.078
7654,147,0.077
7706,148,0.065
7758,149,0.078
7810,150,0.159
7862,151,0.065
7914,152,0.093
7967,153,0.068
8019,154,0.066
8070,155,0.064
8121,156,0.101
8173,157,0.139
8224,158,0.065
8276,159,0.067
8328,160,0.076
8378,161,0.080
8431,162,0.067
8482,163,0.309
8534,164,0.145
8584,165,0.088
8638,166,0.122
8690,167,0.065
8743,168,0.077
8794,169,0.079
8845,170,0.103
8898,171,0.107
8949,172,0.073
9000,173,0.069
9051,174,0.072
9103,175,0.070
9154,176,0.075
9207,177,0.079
9257,178,0.074
9309,179,0.071
9360,180,0.069
9413,181,0.114
9462,182,0.116
9514,183,0.106
9564,184,0.124
9616,185,0.073
9668,186,0.073
9720,187,0.072
9773,188,0.074
9825,189,0.060
9875,190,0.055
9926,191,0.072
9979,192,0.073
10031,193,0.059
10083,194,0.067
10135,195,0.074
10186,196,0.052
10240,197,0.072
10287,198,0.069
10339,199,0.084
10391,200,0.072
10447,201,0.082
10497,202,0.100
10548,203,0.085
10600,204,0.089
10655,205,0.081
10707,206,0.079
10758,207,0.072
10809,208,0.084
10864,209,0.084
10913,210,0.071
10964,211,0.072
11015,212,0.072
11066,213,0.069
11117,214,0.072
11168,215,0.074
11221,216,0.072
11293,217,0.082
11346,218,0.115
11400,219,0.115
11454,220,0.087
11505,221,0.104
11553,222,0.074
11605,223,0.068
11656,224,0.098
11707,225,0.071
11759,226,0.077
11810,227,0.069
11860,228,0.057
11911,229,0.055
11963,230,0.073
12016,231,0.054
12066,232,0.070
12118,233,0.095
12171,234,0.057
12222,235,0.048
12274,236,0.061
12327,237,0.166
12378,238,0.065
12431,239,0.070
12482,240,0.071
12535,241,0.085
12587,242,0.078
12639,243,0.073
12690,244,0.102
12742,245,0.072
12792,246,0.071
12843,247,0.069
12894,248,0.099
12945,249,0.063
12996,250,0.073
13047,251,0.070
13098,252,0.074
13151,253,0.113
13202,254,0.073
13253,255,0.070
13304,256,0.070
13358,257,0.074
13408,258,0.073
13459,259,0.100
13511,260,0.081
13571,261,0.144
13622,262,0.118
13672,263,0.070
13724,264,0.103
13776,265,0.078
13827,266,0.074
13877,267,0.069
13928,268,0.102
13982,269,0.111
14032,270,0.071
14083,271,0.070
14135,272,0.097
14190,273,0.076
14243,274,0.106
14294,275,0.088
14345,276,0.094
14398,277,0.077
14450,278,0.073
14502,279,0.105
14554,280,0.152
14606,281,0.073
14657,282,0.109
14711,283,0.066
14761,284,0.080
14814,285,0.076
14866,286,0.074
14918,287,0.069
14971,288,0.068
15022,289,0.075
15074,290,0.082
15125,291,0.085
15177,292,0.075
15231,293,0.076
15282,294,0.074
15333,295,0.071
15384,296,0.070
15438,297,0.075
15490,298,0.073
15540,299,0.117
15592,300,0.078
15643,301,0.077
15694,302,0.076
15746,303,0.072
15798,304,0.226
15848,305,0.066
15899,306,0.071
15952,307,0.071
16004,308,0.067
16054,309,0.073
16105,310,0.072
16157,311,0.072
16210,312,0.078
16261,313,0.079
16312,314,0.071
16365,315,0.142
16415,316,0.070
16466,317,0.070
16517,318,0.115
16570,319,0.132
16621,320,0.086
16673,321,0.064
16725,322,0.069
16777,323,0.072
16828,324,0.068
16882,325,0.146
16933,326,0.137
16985,327,0.066
17036,328,0.071
17087,329,0.071
17139,330,0.073
17190,331,0.102
17241,332,0.074
17292,333,0.071
17343,334,0.071
17395,335,0.128
17446,336,0.070
17499,337,0.090
17551,338,0.124
17601,339,0.117
17653,340,0.094
17704,341,0.069
17756,342,0.071
17808,343,0.071
17860,344,0.071
17912,345,0.112
17963,346,0.071
18016,347,0.073
18067,348,0.070
18118,349,0.069
18171,350,0.113
18222,351,0.072
18273,352,0.070
18325,353,0.098
18377,354,0.071
18430,355,0.129
18482,356,0.072
18532,357,0.105
18585,358,0.081
18635,359,0.069
18687,360,0.084
18739,361,0.076
18790,362,0.075
18841,363,0.071
18894,364,0.073
18944,365,0.073
18996,366,0.074
19047,367,0.102
19099,368,0.073
19150,369,0.103
19202,370,0.072
19253,371,0.071
19305,372,0.070
19357,373,0.105
19408,374,0.072
