t_ms,seq,rtt_ms
234,1,0.105
285,2,0.178
341,3,0.462
392,4,0.072
444,5,0.071
498,6,0.068
551,7,0.091
603,8,0.093
654,9,0.132
707,10,0.074
759,11,0.070
812,12,0.072
864,13,0.066
915,14,0.101
966,15,0.069
1020,16,0.087
1072,17,0.082
1123,18,0.070
1175,19,0.064
1227,20,0.109
1281,21,0.259
1330,22,0.072
1383,23,0.075
1436,24,0.169
1489,25,0.071
1539,26,0.064
1592,27,0.172
1645,28,0.130
1694,29,0.085
1746,30,0.122
1798,31,0.109
1851,32,0.278
1902,33,0.129
1951,34,0.102
2008,35,0.168
2053,36,0.066
2105,37,0.070
2156,38,0.069
2208,39,0.190
2260,40,0.108
2313,41,0.079
2364,42,0.273
2415,43,0.079
2467,44,0.100
2521,45,0.134
2569,46,0.113
2620,47,0.132
2673,48,0.132
2725,49,0.070
2778,50,0.079
2828,51,0.105
2880,52,0.105
2931,53,0.074
2985,54,0.129
3035,55,0.098
3088,56,0.071
3138,57,0.082
3190,58,0.074
3242,59,0.076
3293,60,0.076
3346,61,0.105
3396,62,0.112
3450,63,0.075
3505,64,0.214
3558,65,0.268
3611,66,0.832
3660,67,0.108
3710,68,0.133
3761,69,0.084
3815,70,0.085
3863,71,0.082
3914,72,0.095
3967,73,0.122
4018,74,0.090
4069,75,0.077
4122,76,0.085
4176,77,0.072
4225,78,0.069
4277,79,0.082
4328,80,0.070
4381,81,0.070
4433,82,0.067
4483,83,0.074
4534,84,0.075
4587,85,0.065
4640,86,0.144
4692,87,0.068
4744,88,0.063
4795,89,0.064
4847,90,0.068
4904,91,0.076
4954,92,0.076
5005,93,0.117
5058,94,0.305
5110,95,0.079
5162,96,0.067
5216,97,0.074
5264,98,0.079
5316,99,0.070
5368,100,0.072
5419,101,0.070
5472,102,0.074
5523,103,0.074
5574,104,0.111
5627,105,0.115
5680,106,0.097
5733,107,0.070
5784,108,0.079
5838,109,0.106
5890,110,0.388
5940,111,0.072
5992,112,0.092
6042,113,0.168
6096,114,0.112
6147,115,0.096
6201,116,0.122
6251,117,0.080
6303,118,0.086
6355,119,0.091
6407,120,0.074
6459,121,0.075
6510,122,0.080
6562,123,0.096
6612,124,0.207
6663,125,0.071
6713,126,0.077
6764,127,0.093
6817,128,0.077
6866,129,0.074
6919,130,0.073
6971,131,0.117
7024,132,0.070
7075,133,0.071
7127,134,0.065
7179,135,0.074
7230,136,0.128
7281,137,0.076
7334,138,0.263
7383,139,0.071
7436,140,0.083
7487,141,0.077
7538,142,0.065
7592,143,0.132
7642,144,0.072
7694,145,0.084
7746,146,0.106
7797,147,0.127
7849,148,0.083
7904,149,0.138
7951,150,0.075
8006,151,0.132
8054,152,0.098
8105,153,0.273
8158,154,0.075
8211,155,0.099
8262,156,0.082
8314,157,0.163
8366,158,0.092
8418,159,0.106
8469,160,0.075
8522,161,0.112
8573,162,0.073
8625,163,0.079
8678,164,0.089
8729,165,0.075
8782,166,0.104
8833,167,0.108
8889,168,0.078
8940,169,0.085
8991,170,0.094
9043,171,0.165
9093,172,0.134
9148,173,0.217
9200,174,0.085
9256,175,0.112
9318,176,0.091
9370,177,0.082
9419,178,0.112
9474,179,0.109
9525,180,0.078
9577,181,0.096
9629,182,0.080
9680,183,0.081
9733,184,0.063
9784,185,0.079
9837,186,0.072
9893,187,0.113
9946,188,0.104
9997,189,0.183
10051,190,0.091
10101,191,0.068
10152,192,0.071
10204,193,0.120
10255,194,0.079
10307,195,0.071
10358,196,0.077
10410,197,0.074
10464,198,0.163
10516,199,0.094
10569,200,0.138
10623,201,0.268
10675,202,0.089
10729,203,0.082
10780,204,0.076
10834,205,0.153
10884,206,0.088
10938,207,0.099
10989,208,0.086
11041,209,0.075
11093,210,0.089
11146,211,0.126
11197,212,0.615
11249,213,0.134
11301,214,0.112
11353,215,0.139
11405,216,0.073
11457,217,0.067
11507,218,0.064
11560,219,0.066
11612,220,0.070
11663,221,0.066
11715,222,0.055
11767,223,0.086
11819,224,0.080
11871,225,0.074
11923,226,0.068
11977,227,0.156
12029,228,0.086
12081,229,0.074
12133,230,0.099
12189,231,0.086
12239,232,0.071
12291,233,0.066
12343,234,0.074
12394,235,0.084
12448,236,0.107
12502,237,0.077
12551,238,0.075
12602,239,0.085
12656,240,0.076
12705,241,0.175
12757,242,0.103
12809,243,0.074
12862,244,0.556
12913,245,0.069
12964,246,0.077
13017,247,0.130
13071,248,0.145
13120,249,0.094
13172,250,0.070
13224,251,0.068
13276,252,0.072
13328,253,0.075
13380,254,0.073
13434,255,0.134
13482,256,0.076
13534,257,0.105
13588,258,0.124
13640,259,0.103
13693,260,0.094
13745,261,0.064
13797,262,0.066
13851,263,0.106
13902,264,0.083
13955,265,0.131
14005,266,0.103
14056,267,0.068
14110,268,0.115
14162,269,0.207
14214,270,0.070
14266,271,0.060
14318,272,0.157
14371,273,0.110
14424,274,0.951
14475,275,0.140
14527,276,0.128
14580,277,0.077
14631,278,0.087
14684,279,0.117
14736,280,0.118
14789,281,0.103
14842,282,0.087
14895,283,0.154
14947,284,0.139
14999,285,0.075
15049,286,0.075
15100,287,0.070
15151,288,0.084
15203,289,0.110
15256,290,0.083
15308,291,0.103
15358,292,0.133
15413,293,0.078
15461,294,0.070
15512,295,0.067
15563,296,0.091
15615,297,0.063
15667,298,0.064
15718,299,0.066
15769,300,0.063
15821,301,0.062
15871,302,0.066
15922,303,0.139
15973,304,0.067
16024,305,0.065
16078,306,0.068
16129,307,0.074
16181,308,0.068
16234,309,0.073
16282,310,0.081
16334,311,0.097
16384,312,0.072
16435,313,0.065
16486,314,0.077
16537,315,0.088
16588,316,0.105
16639,317,0.073
16691,318,0.108
16742,319,0.515
16793,320,0.069
16847,321,0.070
16898,322,0.087
16951,323,0.088
17002,324,0.074
17056,325,0.073
17106,326,0.070
17155,327,0.065
17206,328,0.064
17257,329,0.062
17309,330,0.073
17360,331,0.082
17411,332,0.073
17462,333,0.066
17513,334,0.069
17569,335,0.070
17619,336,0.078
17671,337,0.066
17722,338,0.062
17773,339,0.062
17824,340,0.065
17874,341,0.067
17926,342,0.067
17976,343,0.068
18032,344,0.341
18083,345,0.072
18134,346,0.099
18185,347,0.092
18237,348,0.071
18289,349,0.125
18342,350,3.060
18391,351,0.081
18443,352,0.070
18496,353,0.070
18547,354,0.069
18602,355,0.068
18652,356,0.073
18704,357,0.075
18756,358,0.081
18807,359,0.099
18860,360,0.077
18911,361,0.069
18963,362,0.066
19018,363,0.066
19066,364,0.095
19118,365,0.067
19169,366,0.069
19221,367,0.065
19273,368,0.077
19325,369,0.077
19376,370,0.088
19428,371,0.072
19480,372,0.082
19532,373,0.070
19582,374,0.114
19635,375,0.078
19688,376,0.098
19739,377,0.071
19791,378,0.066
19843,379,0.081
19900,380,0.893
19947,381,0.081
19999,382,0.074
20051,383,0.066
20104,384,0.072
20155,385,0.071
20208,386,0.072
20259,387,0.110
20309,388,0.077
20362,389,0.099
20414,390,0.074
20465,391,0.134
20520,392,0.079
20572,393,0.061
20624,394,0.059
20675,395,0.058
20725,396,0.098
20776,397,0.161
20829,398,0.100
20880,399,0.063
20932,400,0.063
20984,401,0.065
21036,402,0.072
21088,403,0.073
21138,404,0.070
21191,405,0.072
21243,406,0.084
21295,407,0.067
21348,408,0.069
21402,409,0.248
21452,410,0.162
21504,411,0.138
21558,412,0.075
21608,413,0.276
21659,414,0.110
21712,415,0.078
21765,416,0.194
21815,417,0.067
21867,418,0.126
21919,419,0.423
21972,420,0.066
22024,421,0.066
22075,422,0.068
22128,423,0.128
22179,424,0.070
22229,425,0.067
22280,426,0.128
22332,427,0.150
22384,428,0.084
22436,429,0.065
22487,430,0.065
22537,431,0.062
22589,432,0.107
22642,433,0.063
22693,434,0.066
22747,435,0.069
22797,436,0.072
22850,437,0.081
22902,438,0.076
22953,439,0.079
23005,440,0.099
23056,441,0.083
23108,442,0.080
23162,443,0.108
23213,444,0.073
23265,445,0.072
23318,446,0.076
23370,447,0.065
23423,448,0.084
23476,449,0.067
23529,450,0.168
23579,451,0.068
23629,452,0.073
23681,453,0.063
23733,454,0.059
23787,455,0.059
23838,456,0.117
23890,457,0.120
23940,458,0.063
23994,459,0.077
24044,460,0.066
24095,461,0.065
24146,462,0.065
24197,463,0.057
24249,464,0.059
24300,465,0.067
24351,466,0.070
24402,467,0.083
24453,468,0.066
24504,469,0.093
24555,470,0.092
24606,471,0.100
24658,472,0.065
24710,473,0.096
24763,474,0.054
24816,475,0.090
24868,476,0.074
24920,477,0.056
24972,478,0.055
25025,479,0.066
25075,480,0.057
25127,481,0.076
25179,482,0.082
25231,483,0.089
25284,484,0.069
25336,485,0.089
25388,486,0.060
25440,487,0.055
25492,488,0.094
25546,489,0.104
25596,490,0.067
25647,491,0.092
25700,492,0.061
25751,493,0.096
25804,494,0.050
25855,495,0.131
25907,496,0.114
25958,497,0.120
26011,498,0.059
26063,499,0.048
26113,500,0.071
26166,501,0.059
26218,502,0.118
26271,503,0.082
26322,504,0.077
26375,505,0.192
26427,506,0.058
26479,507,0.192
26531,508,0.097
26580,509,0.086
26635,510,0.081
26687,511,0.096
26740,512,0.112
26792,513,0.072
26845,514,0.137
26900,515,0.069
26951,516,0.061
27001,517,0.091
27053,518,0.088
27106,519,0.090
27156,520,0.080
27206,521,0.059
27257,522,0.059
27309,523,0.076
27359,524,0.080
27411,525,0.086
27464,526,0.158
27515,527,0.072
27567,528,0.071
27616,529,0.070
27674,530,0.073
27724,531,0.071
27775,532,0.067
27827,533,0.066
27878,534,0.072
27930,535,0.066
27982,536,0.062
28034,537,0.065
28086,538,0.060
28137,539,0.082
28189,540,0.074
28239,541,0.075
28292,542,0.160
28350,543,0.166
28398,544,0.104
28450,545,0.082
28502,546,0.079
28554,547,0.074
28607,548,0.624
28659,549,0.118
28712,550,0.129
28767,551,0.066
28821,552,0.066
28873,553,0.069
28924,554,0.065
28975,555,0.069
29027,556,0.070
29079,557,0.074
29130,558,0.077
29182,559,0.069
29234,560,0.073
29287,561,0.064
29340,562,0.094
29389,563,0.080
29442,564,0.068
29491,565,0.064
29543,566,0.064
29595,567,0.084
29649,568,0.074
29697,569,0.060
29751,570,0.627
29803,571,0.064
29854,572,0.107
29906,573,0.061
29959,574,0.294
