t_ms,seq,rtt_ms
232,1,0.088
285,2,0.079
337,3,0.146
391,4,0.078
440,5,0.075
492,6,0.077
546,7,0.084
597,8,0.079
650,9,0.123
703,10,0.076
755,11,0.096
807,12,0.072
860,13,0.138
912,14,0.070
964,15,0.074
1015,16,0.086
1072,17,0.077
1121,18,0.074
1174,19,0.072
1227,20,0.067
1279,21,0.073
1334,22,0.138
1384,23,0.067
1439,24,0.070
1490,25,0.067
1542,26,0.097
1594,27,0.106
1647,28,0.070
1698,29,0.073
1750,30,0.097
1801,31,0.071
1852,32,0.058
1903,33,0.066
1954,34,0.057
2008,35,0.083
2060,36,0.068
2111,37,0.064
2163,38,0.065
2215,39,0.067
2267,40,0.067
2318,41,0.067
2370,42,0.062
2422,43,0.067
2473,44,0.076
2526,45,0.090
2579,46,0.064
2631,47,0.110
2684,48,0.068
2736,49,0.069
2788,50,0.063
2843,51,1.060
2891,52,0.080
2941,53,0.077
2992,54,0.081
3044,55,0.069
3095,56,0.065
3146,57,0.071
3198,58,0.065
3250,59,0.111
3303,60,0.076
3354,61,0.076
3405,62,0.122
3458,63,0.072
3508,64,0.068
3559,65,0.106
3609,66,0.065
3661,67,0.065
3712,68,0.070
3762,69,0.066
3815,70,0.091
3868,71,0.105
3919,72,0.067
3971,73,0.067
4024,74,0.073
4077,75,0.069
4127,76,0.065
4179,77,0.075
4230,78,0.061
4281,79,0.063
4332,80,0.132
4385,81,0.105
4436,82,0.060
4489,83,0.128
4541,84,0.066
4593,85,0.082
4645,86,0.064
4697,87,0.058
4753,88,0.068
4804,89,0.076
4857,90,0.061
4913,91,0.070
4963,92,0.069
5014,93,0.070
5066,94,0.107
5120,95,0.096
5171,96,0.097
5224,97,1.170
5272,98,0.068
5323,99,0.072
5374,100,0.070
5425,101,0.067
5476,102,0.064
5527,103,0.064
5579,104,0.092
5634,105,0.072
5687,106,0.066
5737,107,0.069
5789,108,0.100
5843,109,0.066
5893,110,0.061
5943,111,0.066
5993,112,0.066
6045,113,0.123
6098,114,0.083
6148,115,0.092
6200,116,0.082
6253,117,0.075
6304,118,0.073
6358,119,0.083
6408,120,0.123
6460,121,0.075
6513,122,0.102
6566,123,0.227
6617,124,0.096
6669,125,0.118
6723,126,0.658
6773,127,0.098
6825,128,0.069
6876,129,0.106
6929,130,0.071
6981,131,0.087
7031,132,0.062
7084,133,0.065
7133,134,0.097
7184,135,0.064
7235,136,0.060
7286,137,0.067
7338,138,0.114
7388,139,0.065
7440,140,0.092
7490,141,0.060
7541,142,0.058
7592,143,0.070
7644,144,0.059
7694,145,0.063
7745,146,0.065
7797,147,0.070
7847,148,0.084
7901,149,0.073
7950,150,0.074
8001,151,0.096
8053,152,0.108
8104,153,0.074
8155,154,0.112
8206,155,0.107
8257,156,0.068
8308,157,0.069
8359,158,0.073
8413,159,0.078
8464,160,0.070
8515,161,0.106
8566,162,0.083
8617,163,0.086
8667,164,0.070
8718,165,0.076
8769,166,0.075
8821,167,0.074
8872,168,0.078
8924,169,0.076
8975,170,0.071
9026,171,0.132
9080,172,0.092
9133,173,0.101
9183,174,0.077
9233,175,0.071
9284,176,0.083
9339,177,0.113
9389,178,0.098
9440,179,0.093
9491,180,0.086
9542,181,0.067
9598,182,0.097
9646,183,0.103
9697,184,0.220
9749,185,0.075
9801,186,0.088
9852,187,0.074
9907,188,0.060
9955,189,0.064
10007,190,0.066
10059,191,0.056
10110,192,0.069
10161,193,0.070
10216,194,0.271
10269,195,0.163
10323,196,0.074
10377,197,0.102
10428,198,0.089
10480,199,0.985
10530,200,0.078
10581,201,0.086
10633,202,0.117
10687,203,0.078
10737,204,0.081
10791,205,0.075
10842,206,0.076
10899,207,0.079
10948,208,0.071
11001,209,0.107
11051,210,0.070
11103,211,0.066
11155,212,0.063
11209,213,0.071
11260,214,0.068
11312,215,0.069
11364,216,0.077
11414,217,0.070
11468,218,0.071
11519,219,0.072
11571,220,0.082
11622,221,0.081
11673,222,0.070
11725,223,0.368
11779,224,0.119
11827,225,0.080
11879,226,0.075
11931,227,0.107
11984,228,0.078
12038,229,0.076
12088,230,0.066
12143,231,0.097
12194,232,0.094
12247,233,0.117
12298,234,0.066
12356,235,0.394
12405,236,0.101
12456,237,0.147
12509,238,0.085
12559,239,0.095
12610,240,0.093
12662,241,0.082
12715,242,0.071
12767,243,0.077
12822,244,1.280
12872,245,0.079
12923,246,0.339
12973,247,0.078
13025,248,0.118
13076,249,0.073
13127,250,0.092
13177,251,0.074
13229,252,0.072
13279,253,0.074
13331,254,0.077
13382,255,0.078
13435,256,0.288
13486,257,0.084
13539,258,0.324
13589,259,0.075
13642,260,0.103
13694,261,0.088
13744,262,0.073
13796,263,0.129
13848,264,0.115
13899,265,0.077
13950,266,0.095
14001,267,0.291
14052,268,0.079
14103,269,0.119
14154,270,0.077
14204,271,0.079
14256,272,0.077
14307,273,0.107
14360,274,0.085
14411,275,0.069
14462,276,0.070
14513,277,0.075
14564,278,0.060
14615,279,0.067
14666,280,0.066
14717,281,0.089
14768,282,0.071
14819,283,0.068
14869,284,0.065
14920,285,0.062
14971,286,0.063
15022,287,0.063
15073,288,0.067
15124,289,0.065
15175,290,0.071
15229,291,0.163
15282,292,0.160
15331,293,0.099
15383,294,0.081
15435,295,0.108
15486,296,0.086
15537,297,0.079
15590,298,0.085
15642,299,0.118
15692,300,0.106
15744,301,0.129
15797,302,0.076
15850,303,0.110
15901,304,0.135
15954,305,0.082
16006,306,0.078
16058,307,0.117
16110,308,0.136
16162,309,0.082
16212,310,0.082
16264,311,0.105
16315,312,0.088
16367,313,0.085
16420,314,0.127
16472,315,0.084
16528,316,0.132
16579,317,0.115
16632,318,0.191
16683,319,0.083
16734,320,0.121
16785,321,0.078
16836,322,0.121
16888,323,0.089
16941,324,0.090
16994,325,0.091
17044,326,0.171
17095,327,0.072
17147,328,0.088
17199,329,0.069
17250,330,0.068
17301,331,0.069
17353,332,0.072
17405,333,0.069
17457,334,0.070
17508,335,0.081
17567,336,0.087
17613,337,0.119
17667,338,0.128
17719,339,0.085
17771,340,0.085
17823,341,0.142
17875,342,0.073
17926,343,0.072
17980,344,0.078
18032,345,0.086
18084,346,0.101
18135,347,0.077
18189,348,0.071
18241,349,0.216
18294,350,0.245
18345,351,0.084
18398,352,0.155
18451,353,0.076
18503,354,0.073
18555,355,0.072
18611,356,0.560
18659,357,0.077
18711,358,0.107
18764,359,0.069
18816,360,0.071
18869,361,0.078
18920,362,0.103
18970,363,0.133
19025,364,0.167
19076,365,0.209
19125,366,0.072
19178,367,0.076
19229,368,0.082
19281,369,0.069
19330,370,0.115
19383,371,0.119
19435,372,0.076
19488,373,0.070
19539,374,0.258
19590,375,0.070
19644,376,0.426
19694,377,0.063
19748,378,0.085
19798,379,0.113
19850,380,0.128
19902,381,0.080
19954,382,0.079
20005,383,0.075
20058,384,0.118
20109,385,0.073
20160,386,0.072
20212,387,0.104
20262,388,0.089
20314,389,0.078
20364,390,0.095
20421,391,0.888
20469,392,0.844
20519,393,0.080
20570,394,0.070
20621,395,0.064
20673,396,0.071
20725,397,0.067
20776,398,0.264
20826,399,0.092
20877,400,0.077
20929,401,0.083
20982,402,0.114
21033,403,0.974
21082,404,0.107
21133,405,0.081
21185,406,0.077
21237,407,0.089
21289,408,0.145
21340,409,0.170
21395,410,0.149
21445,411,0.081
21497,412,0.083
21548,413,0.073
21600,414,0.092
21652,415,0.070
21702,416,0.091
21756,417,0.073
21810,418,0.108
21860,419,0.074
21912,420,0.107
21962,421,0.113
22015,422,0.067
22066,423,0.087
22117,424,0.074
22169,425,0.068
22221,426,0.072
22273,427,0.083
22324,428,0.143
22376,429,0.098
22428,430,0.069
22479,431,0.071
22529,432,0.095
22581,433,0.069
22631,434,0.071
22683,435,0.065
22734,436,0.110
22786,437,0.132
22837,438,0.069
22891,439,0.066
22944,440,0.106
22996,441,0.131
23049,442,0.125
23101,443,0.077
23154,444,0.074
23205,445,0.077
23258,446,0.086
23310,447,0.072
23365,448,0.074
23416,449,0.182
23472,450,0.107
23522,451,0.077
23576,452,0.399
23628,453,0.123
23676,454,0.121
23728,455,0.080
23780,456,0.073
23833,457,0.084
23884,458,0.094
23935,459,0.081
23988,460,0.083
24038,461,0.080
24089,462,0.633
24142,463,0.106
24193,464,0.078
24244,465,0.075
24298,466,0.065
24350,467,0.149
24403,468,0.077
24454,469,0.489
24505,470,0.057
24557,471,0.089
24609,472,0.087
24661,473,0.099
24711,474,0.079
24761,475,0.065
24814,476,0.060
24865,477,0.064
24917,478,0.062
24970,479,0.076
25023,480,0.072
25073,481,0.065
25125,482,0.064
25177,483,0.060
25230,484,0.063
25281,485,0.066
25334,486,0.140
25387,487,0.070
25439,488,0.109
25491,489,0.097
25544,490,0.055
25596,491,0.058
25647,492,0.052
25699,493,0.067
25752,494,0.048
25804,495,0.059
25856,496,0.048
25908,497,0.056
25959,498,0.091
26011,499,0.107
26061,500,0.082
26114,501,0.054
26165,502,0.067
26217,503,0.069
26267,504,0.067
26318,505,0.070
26370,506,0.073
26421,507,0.100
26472,508,0.069
26524,509,0.102
26575,510,0.074
26625,511,0.063
26676,512,0.100
26728,513,0.175
26782,514,0.066
26834,515,0.060
26886,516,0.060
26938,517,0.074
26993,518,0.071
27041,519,0.059
27093,520,0.061
27144,521,0.093
27195,522,0.068
27247,523,0.062
27298,524,0.066
27349,525,0.078
