t_ms,seq,rtt_ms
60,1,0.097
112,2,0.206
164,3,0.082
216,4,0.086
269,5,0.076
321,6,0.073
374,7,0.078
428,8,0.077
479,9,0.067
531,10,0.076
583,11,0.075
635,12,0.069
686,13,0.073
737,14,0.072
789,15,0.093
843,16,0.325
893,17,0.070
947,18,0.122
997,19,0.075
1050,20,0.081
1102,21,0.111
1154,22,0.088
1205,23,0.083
1258,24,0.075
1312,25,0.070
1363,26,0.139
1416,27,0.118
1469,28,0.075
1521,29,0.083
1571,30,0.085
1622,31,0.089
1674,32,0.081
1725,33,0.102
1776,34,0.088
1830,35,0.085
1881,36,0.076
1932,37,0.078
1984,38,0.104
2036,39,0.074
2088,40,0.076
2142,41,0.105
2193,42,0.091
2247,43,0.076
2298,44,0.092
2351,45,0.080
2403,46,0.077
2455,47,0.107
2507,48,0.094
2559,49,0.094
2611,50,0.122
2663,51,0.095
2714,52,0.091
2767,53,0.100
2821,54,0.111
2872,55,0.116
2925,56,0.076
2974,57,0.100
3026,58,0.088
3077,59,0.069
3129,60,0.190
3181,61,0.071
3232,62,0.106
3284,63,0.067
3336,64,0.072
3388,65,0.094
3439,66,0.067
3492,67,0.070
3542,68,0.067
3595,69,0.079
3651,70,0.104
3699,71,0.068
3752,72,0.074
3803,73,0.075
3853,74,0.068
3907,75,0.072
3956,76,0.076
4008,77,0.072
4059,78,0.113
4111,79,0.104
4162,80,0.108
4215,81,0.076
4269,82,0.074
4323,83,0.072
4370,84,0.070
4425,85,0.090
4476,86,0.128
4528,87,0.379
4581,88,0.098
4633,89,0.074
4685,90,0.098
4737,91,0.107
4789,92,0.074
4840,93,0.073
4892,94,0.159
4944,95,0.074
4997,96,0.075
5049,97,0.175
5102,98,0.082
5153,99,0.087
5203,100,0.077
5255,101,0.074
5306,102,0.066
5359,103,0.140
5413,104,0.077
5464,105,0.078
5516,106,0.080
5571,107,0.080
5621,108,0.066
5677,109,0.073
5726,110,0.070
5777,111,0.080
5829,112,0.177
5881,113,0.079
5932,114,0.068
5983,115,0.067
6034,116,0.076
6086,117,0.078
6137,118,0.064
6187,119,0.079
6239,120,0.122
6292,121,0.072
6346,122,0.063
6396,123,0.071
6447,124,0.082
6500,125,0.114
6553,126,0.086
6608,127,0.063
6660,128,0.061
6712,129,0.064
6764,130,0.057
6815,131,0.055
6868,132,0.070
6922,133,0.063
6974,134,0.251
7027,135,0.117
7081,136,0.109
7129,137,0.094
7179,138,0.143
7233,139,0.070
7284,140,0.192
7336,141,0.107
7388,142,0.124
7440,143,0.111
7492,144,0.075
7543,145,0.076
7595,146,0.101
7650,147,0.961
7698,148,0.104
7751,149,0.074
7803,150,0.129
7855,151,0.108
7906,152,0.119
7958,153,0.076
8010,154,0.076
8062,155,0.076
8114,156,0.111
8163,157,0.068
8216,158,0.073
8266,159,0.065
8317,160,0.111
8370,161,0.076
8422,162,0.075
8475,163,0.069
8527,164,0.102
8578,165,0.110
8629,166,0.076
8682,167,0.076
8732,168,0.105
8784,169,0.075
8835,170,0.131
8886,171,0.075
8939,172,0.079
8991,173,0.066
9044,174,0.077
9096,175,0.137
9148,176,0.081
9202,177,0.074
9253,178,0.072
9308,179,0.086
9358,180,0.177
9410,181,0.085
9462,182,0.232
9516,183,0.106
9564,184,0.093
9617,185,0.076
9670,186,0.128
9721,187,0.100
9771,188,0.070
9824,189,0.102
9875,190,0.069
9927,191,0.072
9978,192,0.070
10032,193,0.066
10089,194,0.083
10141,195,0.121
10192,196,0.095
10243,197,0.115
10295,198,0.130
10350,199,0.093
10403,200,0.080
10465,201,0.088
10507,202,0.135
10569,203,0.080
10618,204,0.117
10665,205,0.144
10717,206,0.113
10770,207,0.142
10951,208,0.087
10951,209,0.079
10951,210,0.078
10993,211,0.116
11271,212,0.083
11272,213,0.083
11272,214,0.135
11272,215,0.284
11272,216,1.030
11305,217,0.176
11350,218,0.138
11394,219,0.113
11444,220,0.089
11495,221,0.077
11546,222,0.088
11600,223,0.520
11658,224,0.187
11705,225,0.548
11760,226,0.132
11810,227,0.081
11863,228,0.085
11920,229,0.115
11974,230,0.088
12022,231,0.084
12075,232,0.116
12123,233,0.104
12206,234,0.089
12227,235,0.084
12331,236,0.088
12333,237,0.412
12387,238,0.159
12438,239,0.082
12489,240,0.078
12543,241,0.080
12602,242,0.103
12651,243,0.172
12797,244,0.488
12797,245,0.114
12805,246,0.205
12906,247,0.102
12911,248,0.131
12963,249,0.117
13017,250,0.117
13064,251,0.081
13117,252,0.100
13167,253,0.082
13221,254,0.081
13272,255,0.100
13328,256,0.091
13378,257,0.129
13565,258,0.074
13565,259,0.084
13565,260,0.100
13586,261,0.085
13637,262,0.089
13689,263,0.074
13741,264,0.079
13794,265,0.075
13849,266,0.081
13900,267,0.125
13952,268,0.091
14004,269,0.097
14056,270,0.102
14110,271,0.086
14160,272,0.128
14214,273,0.168
14263,274,0.089
14321,275,0.088
14370,276,0.081
14421,277,0.087
14473,278,0.074
14526,279,0.107
14577,280,0.083
14633,281,0.087
14685,282,0.080
14738,283,0.077
14789,284,0.082
14842,285,0.081
14894,286,0.113
14945,287,0.087
14999,288,0.080
15050,289,0.081
15101,290,0.083
15154,291,0.078
15206,292,0.094
15258,293,0.078
15311,294,0.078
15362,295,0.077
15413,296,0.095
15465,297,0.084
15517,298,0.107
15568,299,0.210
15620,300,0.126
15674,301,0.396
15724,302,0.101
15775,303,0.080
15829,304,1.290
15879,305,0.077
15931,306,0.074
15984,307,0.114
16036,308,0.113
16089,309,0.097
16142,310,0.094
16194,311,0.072
16246,312,0.161
16301,313,0.097
16350,314,0.107
16401,315,0.084
16452,316,0.082
16504,317,0.122
16557,318,0.164
16611,319,0.072
16662,320,0.069
16714,321,0.102
16766,322,0.070
16819,323,0.067
16870,324,0.071
16923,325,0.067
16975,326,0.065
17026,327,0.066
17079,328,0.085
17133,329,0.167
17184,330,0.096
17235,331,0.071
17287,332,0.129
17339,333,0.071
17393,334,0.103
17444,335,0.091
17497,336,0.113
17549,337,0.078
17601,338,0.070
17653,339,0.144
17704,340,0.092
17756,341,0.102
17808,342,0.081
17861,343,0.120
17913,344,0.173
17964,345,0.077
18016,346,0.112
18068,347,0.127
18121,348,0.390
18176,349,0.076
18229,350,0.074
18279,351,0.111
18331,352,0.075
18383,353,0.073
18434,354,0.094
18487,355,0.094
18540,356,0.112
18590,357,0.112
18641,358,0.087
18691,359,0.141
18743,360,0.118
18795,361,0.119
18848,362,0.071
18900,363,0.084
18952,364,0.117
19004,365,0.080
19057,366,0.066
19111,367,0.129
19162,368,0.090
19214,369,0.076
19267,370,0.073
19319,371,0.103
19370,372,0.098
19422,373,0.080
19475,374,0.083
19527,375,0.087
19582,376,0.073
19633,377,0.076
19686,378,0.078
19736,379,0.097
19788,380,0.084
19839,381,0.094
19893,382,0.070
19945,383,0.079
19997,384,0.076
20049,385,0.079
20101,386,0.186
20151,387,0.091
20202,388,0.087
20254,389,0.073
20306,390,0.070
20358,391,0.074
20409,392,0.074
20463,393,0.073
20514,394,0.070
20566,395,0.109
20618,396,0.074
20669,397,0.081
20722,398,0.074
20774,399,0.076
20826,400,0.071
20880,401,0.120
20933,402,0.072
20986,403,0.068
21037,404,0.089
21088,405,0.086
21140,406,0.099
21191,407,0.070
21243,408,0.070
21297,409,0.071
21348,410,0.103
21398,411,0.083
21450,412,0.136
21501,413,0.228
21551,414,0.096
21607,415,0.086
21658,416,0.082
21709,417,0.085
21760,418,0.082
21810,419,0.124
21861,420,0.120
21914,421,0.088
21963,422,0.084
22016,423,0.238
22068,424,0.140
22121,425,0.172
22171,426,0.102
22223,427,0.098
22274,428,0.120
22329,429,0.168
22379,430,0.146
22431,431,0.126
22481,432,0.085
22533,433,0.642
22583,434,0.097
22634,435,0.121
22686,436,0.107
22737,437,0.092
22787,438,0.096
22839,439,0.088
22888,440,0.086
22942,441,0.091
22992,442,0.087
23044,443,0.087
23094,444,0.095
23145,445,0.121
23198,446,0.105
23248,447,0.086
23300,448,0.137
23351,449,0.118
23401,450,0.127
23459,451,0.378
23508,452,0.098
23559,453,0.136
23619,454,0.119
23668,455,0.118
23722,456,0.080
23770,457,0.107
23822,458,0.107
23875,459,0.102
23927,460,0.123
23980,461,0.105
24030,462,0.071
24085,463,0.100
24135,464,0.102
24187,465,0.116
24240,466,0.120
24290,467,0.077
24343,468,0.142
24396,469,0.770
24449,470,0.082
24499,471,0.121
24550,472,0.143
24604,473,0.080
24654,474,0.072
24705,475,0.071
24757,476,0.093
24809,477,0.116
24862,478,0.679
24914,479,0.122
24964,480,0.071
25017,481,0.070
25070,482,0.104
25123,483,0.142
25175,484,0.075
25227,485,0.124
25277,486,0.098
25329,487,0.076
25383,488,0.115
25433,489,0.118
25487,490,0.085
25538,491,0.123
25589,492,0.080
25642,493,0.086
25694,494,0.078
25746,495,0.116
25803,496,0.075
25855,497,0.071
25906,498,0.078
25958,499,0.125
26011,500,0.114
26062,501,0.085
26115,502,0.106
26167,503,0.104
26219,504,0.074
26272,505,0.085
26323,506,0.117
26376,507,0.080
26432,508,0.094
26484,509,0.114
26537,510,0.080
26587,511,0.134
26640,512,0.092
26691,513,0.124
26744,514,0.071
26795,515,0.081
26847,516,0.115
26902,517,0.117
26953,518,0.078
27006,519,0.114
27057,520,0.095
27109,521,0.189
27163,522,0.074
27213,523,0.131
27266,524,0.083
27316,525,0.078
27367,526,0.078
27420,527,0.091
27472,528,0.212
27524,529,0.084
27576,530,0.071
27627,531,0.073
27682,532,0.088
27731,533,0.169
27786,534,0.095
27837,535,0.079
27890,536,0.089
27941,537,0.069
27993,538,0.080
28045,539,0.114
28096,540,0.078
28148,541,0.082
28199,542,0.106
28252,543,0.078
28303,544,0.088
28355,545,0.076
28407,546,0.069
28460,547,1.690
28511,548,0.119
28561,549,0.077
28614,550,0.080
28666,551,0.092
28720,552,0.091
28769,553,0.079
28820,554,0.075
28872,555,0.068
28927,556,0.068
28976,557,0.067
29025,558,0.066
29076,559,0.098
29129,560,0.082
29181,561,0.099
29232,562,0.085
29283,563,0.158
29334,564,0.082
29386,565,0.094
29438,566,0.082
29489,567,0.082
29542,568,0.166
29595,569,0.119
29647,570,0.119
29699,571,0.080
29750,572,0.100
29800,573,0.085
29853,574,0.521
29906,575,0.116
29957,576,0.088
