t_ms,seq,rtt_ms
69,1,0.086
119,2,0.156
173,3,0.064
224,4,0.070
276,5,0.073
327,6,0.063
379,7,0.056
431,8,0.077
484,9,0.087
534,10,0.088
586,11,0.149
637,12,0.085
690,13,0.059
743,14,0.058
794,15,0.083
848,16,0.097
900,17,0.294
952,18,0.103
1006,19,0.069
1058,20,0.074
1111,21,0.134
1162,22,0.072
1215,23,0.100
1267,24,0.088
1318,25,0.068
1371,26,0.118
1421,27,0.074
1473,28,0.121
1526,29,0.080
1581,30,0.076
1633,31,0.134
1684,32,0.115
1737,33,0.648
1787,34,0.070
1840,35,0.088
1893,36,0.110
1944,37,0.069
1996,38,0.100
2048,39,0.078
2099,40,0.084
2151,41,0.084
2202,42,0.074
2254,43,0.071
2307,44,0.102
2364,45,2.880
2409,46,0.085
2461,47,0.193
2514,48,0.335
2562,49,0.117
2614,50,0.095
2665,51,0.068
2717,52,0.184
2768,53,0.069
2821,54,0.073
2870,55,0.254
2921,56,0.570
2973,57,0.119
3024,58,0.106
3074,59,0.148
3127,60,0.409
3181,61,2.770
3228,62,0.114
3280,63,0.076
3331,64,0.105
3381,65,0.103
3433,66,0.116
3482,67,0.077
3533,68,0.077
3584,69,0.081
3636,70,0.077
3686,71,0.080
3739,72,0.078
3789,73,0.120
3843,74,2.140
3892,75,0.098
3942,76,0.067
3994,77,0.077
4045,78,0.068
4098,79,0.068
4150,80,0.079
4204,81,0.072
4255,82,0.070
4307,83,0.071
4358,84,0.067
4410,85,0.070
4466,86,0.119
4518,87,0.069
4572,88,0.083
4621,89,0.069
4674,90,0.070
4726,91,0.065
4777,92,0.070
4830,93,0.077
4884,94,0.072
4935,95,0.173
4984,96,0.067
5035,97,0.068
5087,98,0.096
5139,99,0.272
5191,100,0.076
5242,101,0.073
5293,102,0.101
5346,103,0.103
5397,104,0.075
5448,105,0.075
5500,106,0.138
5554,107,0.079
5607,108,0.070
5660,109,0.109
5712,110,0.077
5766,111,0.133
5817,112,0.109
5870,113,0.078
5923,114,0.075
5975,115,0.077
6031,116,0.809
6080,117,0.311
6134,118,0.094
6187,119,0.070
6239,120,0.078
6292,121,0.072
6344,122,0.073
6397,123,0.070
6450,124,0.072
6502,125,0.077
6555,126,0.114
6609,127,0.084
6658,128,0.075
6710,129,0.066
6763,130,0.069
6815,131,0.072
6868,132,0.095
6918,133,0.097
6974,134,0.127
7024,135,0.093
7081,136,0.077
7132,137,0.139
7184,138,0.131
7235,139,0.069
7286,140,0.063
7339,141,0.102
7389,142,0.065
7439,143,0.068
7492,144,0.062
7544,145,0.082
7595,146,0.051
7645,147,0.083
7696,148,0.068
7748,149,0.075
7800,150,0.067
7851,151,0.066
7902,152,0.091
7952,153,0.075
8003,154,0.068
8057,155,0.070
8106,156,0.071
8157,157,0.101
8209,158,0.069
8260,159,0.083
8311,160,0.070
8361,161,0.070
8413,162,0.076
8464,163,0.068
8516,164,0.074
8567,165,0.901
8617,166,0.112
8668,167,0.140
8720,168,0.074
8774,169,0.765
8823,170,0.088
8876,171,0.081
8929,172,0.077
8982,173,0.085
9034,174,0.126
9086,175,0.072
9137,176,0.094
9188,177,0.091
9239,178,0.070
9290,179,0.067
9343,180,0.091
9394,181,0.066
9446,182,0.070
9498,183,0.100
9550,184,0.129
9601,185,0.069
9652,186,0.071
9704,187,0.073
9754,188,0.086
9806,189,0.068
9858,190,0.067
9910,191,0.083
9963,192,0.071
10012,193,0.076
10064,194,0.136
10120,195,0.105
10167,196,0.076
10219,197,0.121
10271,198,0.325
10320,199,0.105
10372,200,0.099
10434,201,0.157
10492,202,0.091
10546,203,0.091
10588,204,0.088
10638,205,0.080
10687,206,0.090
10738,207,0.117
10950,208,0.119
10950,209,0.083
10950,210,0.079
10950,211,0.111
11009,212,0.079
11272,213,0.160
11272,214,0.087
11272,215,0.131
11272,216,0.179
11272,217,0.082
11309,218,0.088
11360,219,0.095
11412,220,0.082
11464,221,0.079
11516,222,0.161
11571,223,0.119
11623,224,0.083
11675,225,0.079
11734,226,0.087
11791,227,0.085
11834,228,0.080
11889,229,0.087
11940,230,0.126
11994,231,0.245
12047,232,0.136
12098,233,0.150
12206,234,0.239
12207,235,0.090
12253,236,0.082
12331,237,0.152
12355,238,0.086
12415,239,0.138
12461,240,0.082
12513,241,0.083
12575,242,0.076
12621,243,0.084
12673,244,0.091
12792,245,0.133
12792,246,0.106
12835,247,0.113
12906,248,0.073
12931,249,0.111
12981,250,0.076
13033,251,0.075
13086,252,0.167
13137,253,0.084
13190,254,0.102
13244,255,0.096
13297,256,0.127
13354,257,0.108
13566,258,0.112
13566,259,0.070
13566,260,0.082
13566,261,0.080
13610,262,0.087
13660,263,0.151
13712,264,0.075
13765,265,0.156
13820,266,0.183
13867,267,0.077
13919,268,0.085
13970,269,0.103
14022,270,0.105
14076,271,0.076
14126,272,0.084
14178,273,0.095
14233,274,0.096
14285,275,0.097
14332,276,0.106
14387,277,0.078
14439,278,0.104
14492,279,0.086
14542,280,0.074
14595,281,0.076
14647,282,0.082
14698,283,0.071
14749,284,0.094
14801,285,0.075
14857,286,0.078
14909,287,0.116
