t_ms,seq,rtt_ms
59,1,0.131
110,2,0.160
162,3,0.083
213,4,0.072
265,5,0.075
317,6,0.079
369,7,0.065
422,8,0.113
473,9,0.104
524,10,0.097
575,11,0.093
626,12,0.071
677,13,0.073
728,14,0.073
779,15,0.075
830,16,0.078
881,17,0.076
932,18,0.075
983,19,0.075
1034,20,0.074
1085,21,0.067
1136,22,0.079
1187,23,0.075
1238,24,0.068
1289,25,0.073
1340,26,0.077
1391,27,0.073
1442,28,0.072
1492,29,0.074
1544,30,0.090
1595,31,0.066
1645,32,0.077
1697,33,0.070
1748,34,0.113
1801,35,0.213
1852,36,0.075
1903,37,0.071
1954,38,0.070
2005,39,0.073
2056,40,0.070
2107,41,0.070
2158,42,0.072
2209,43,0.071
2260,44,0.071
2311,45,0.074
2362,46,0.069
2413,47,0.074
2464,48,0.108
2517,49,0.184
2568,50,0.088
2619,51,0.087
2671,52,0.097
2721,53,0.094
2773,54,0.090
2824,55,0.065
2875,56,0.074
2926,57,0.074
2977,58,0.073
3027,59,0.122
3079,60,0.068
3130,61,0.073
3182,62,0.073
3233,63,0.074
3285,64,0.126
3336,65,0.098
3386,66,0.068
3437,67,0.105
3488,68,0.069
3539,69,0.081
3590,70,0.084
3641,71,0.065
3692,72,0.067
3743,73,0.080
3795,74,0.074
3845,75,0.070
3896,76,0.098
3947,77,0.066
3998,78,0.070
4049,79,0.073
4100,80,0.069
4151,81,0.075
4202,82,0.075
4253,83,0.077
4304,84,0.068
4355,85,0.073
4406,86,0.074
4457,87,0.079
4509,88,0.188
4561,89,0.094
4613,90,0.078
4663,91,0.075
4715,92,0.072
4766,93,0.067
4818,94,0.082
4869,95,0.079
4921,96,0.074
4973,97,0.073
5024,98,0.071
5075,99,0.076
5126,100,0.072
5179,101,0.105
5231,102,0.101
5282,103,0.082
5335,104,0.071
5387,105,0.070
5439,106,0.077
5490,107,0.076
5542,108,0.097
5594,109,0.078
5646,110,0.073
5697,111,0.078
5748,112,0.077
5798,113,0.076
5849,114,0.079
5901,115,0.079
5952,116,0.077
6003,117,0.077
6054,118,0.066
6105,119,0.066
6156,120,0.074
6206,121,0.074
6257,122,0.067
6309,123,0.070
6360,124,0.073
6411,125,0.074
6463,126,0.066
6520,127,0.079
6571,128,0.083
6623,129,0.697
6672,130,0.066
6725,131,0.064
6776,132,0.067
6827,133,0.110
6878,134,0.074
6929,135,0.066
6980,136,0.071
7031,137,0.107
7082,138,0.066
7133,139,0.080
7184,140,0.068
7235,141,0.074
7286,142,0.066
7337,143,0.076
7388,144,0.075
7440,145,0.064
7490,146,0.073
7541,147,0.070
7592,148,0.076
7643,149,0.074
7694,150,0.085
7745,151,0.060
7796,152,0.073
7847,153,0.068
7898,154,0.074
7949,155,0.074
8000,156,0.071
8051,157,0.071
8102,158,0.060
8153,159,0.071
8204,160,0.071
8255,161,0.074
8306,162,0.075
8357,163,0.067
8408,164,0.073
8459,165,0.072
8511,166,0.119
8561,167,0.094
8611,168,0.065
8663,169,0.065
8714,170,0.072
8765,171,0.113
8816,172,0.077
8867,173,0.071
8919,174,0.072
8969,175,0.072
9020,176,0.069
9071,177,0.066
9122,178,0.071
9173,179,0.073
9224,180,0.070
9275,181,0.070
9326,182,0.103
9377,183,0.065
9429,184,0.195
9480,185,0.072
9531,186,0.088
9582,187,0.080
9633,188,0.067
9684,189,0.073
9735,190,0.075
9786,191,0.070
9837,192,0.074
9888,193,0.071
9939,194,0.073
9990,195,0.068
10041,196,0.073
10092,197,0.071
10143,198,0.073
10194,199,0.066
10245,200,0.073
10296,201,0.073
10347,202,0.072
10398,203,0.099
10450,204,0.077
10501,205,0.074
10552,206,0.136
10603,207,0.077
10654,208,0.073
10705,209,0.070
10756,210,0.070
10807,211,0.070
10858,212,0.074
10909,213,0.077
10960,214,0.066
11011,215,0.075
11061,216,0.073
11113,217,0.077
11164,218,0.066
11215,219,0.153
11266,220,0.071
11317,221,0.075
11368,222,0.072
11419,223,0.068
11470,224,0.098
11521,225,0.100
11572,226,0.088
11623,227,0.067
11674,228,0.111
11725,229,0.075
11776,230,0.074
11827,231,0.074
11878,232,0.069
11929,233,0.108
11980,234,0.065
12031,235,0.074
12082,236,0.076
12133,237,0.076
12184,238,0.072
12235,239,0.166
12286,240,0.072
12342,241,0.084
12388,242,0.064
12439,243,0.075
12490,244,0.146
12541,245,0.089
12592,246,0.077
12643,247,0.072
12694,248,0.074
12745,249,0.073
12797,250,0.072
12848,251,0.077
12898,252,0.094
12949,253,0.074
13000,254,0.076
13051,255,0.105
13102,256,0.071
13153,257,0.147
13204,258,0.077
13255,259,0.071
13306,260,0.074
13357,261,0.072
13408,262,0.151
13459,263,0.075
13511,264,0.120
13562,265,0.308
13612,266,0.079
13663,267,0.076
13714,268,0.068
13765,269,0.074
13816,270,0.087
13867,271,0.073
13918,272,0.075
13969,273,0.072
14020,274,0.078
14072,275,0.148
14122,276,0.398
14173,277,0.067
14224,278,0.071
14275,279,0.071
14327,280,0.091
14377,281,0.161
14428,282,0.070
14479,283,0.074
14531,284,0.085
14581,285,0.078
14635,286,0.077
14683,287,0.108
14734,288,0.075
14785,289,0.074
14836,290,0.259
14888,291,0.153
14939,292,0.074
14990,293,0.090
15041,294,0.075
15092,295,0.074
15143,296,0.084
15194,297,0.061
15245,298,0.064
15296,299,0.074
15347,300,0.073
15397,301,0.075
15449,302,0.072
15501,303,0.074
15551,304,0.097
15602,305,0.067
15653,306,0.074
15704,307,0.074
15755,308,0.072
15806,309,0.073
15857,310,0.077
15908,311,0.076
15959,312,0.074
16011,313,0.076
16061,314,0.143
16112,315,0.076
16163,316,0.075
16214,317,0.074
16265,318,0.073
16316,319,0.108
16367,320,0.108
16418,321,0.134
16469,322,0.075
16520,323,0.228
16571,324,0.093
16622,325,0.076
16673,326,0.074
16724,327,0.077
16775,328,0.079
16826,329,0.077
16877,330,0.073
16928,331,0.075
16979,332,0.069
17030,333,0.075
17082,334,0.068
17132,335,0.078
17184,336,0.077
17235,337,0.067
17286,338,0.066
17337,339,0.078
17388,340,0.074
17439,341,0.070
17490,342,0.076
17541,343,0.093
17592,344,0.084
17644,345,0.185
17694,346,0.082
17747,347,0.070
17796,348,0.106
17847,349,0.072
17898,350,0.073
17949,351,0.076
18000,352,0.112
18050,353,0.075
18102,354,0.075
18153,355,0.072
18204,356,0.076
18255,357,0.109
18306,358,0.070
18357,359,0.068
18408,360,0.152
18459,361,0.067
18510,362,0.107
18561,363,0.098
18612,364,0.076
18664,365,0.073
18714,366,0.072
18765,367,0.069
18816,368,0.072
18867,369,0.077
18919,370,0.078
18970,371,0.074
19021,372,0.066
19072,373,0.066
19123,374,0.065
19175,375,0.117
19225,376,0.151
19275,377,0.073
19327,378,0.105
19378,379,0.104
19429,380,0.075
19480,381,0.074
19532,382,0.137
19582,383,0.095
19633,384,0.084
19684,385,0.082
19735,386,0.080
19786,387,0.081
19837,388,0.072
19888,389,0.075
19939,390,0.071
19990,391,0.078
20041,392,0.111
20092,393,0.147
20143,394,0.074
20194,395,0.071
20246,396,0.077
20297,397,0.108
20348,398,0.133
20399,399,0.079
20454,400,0.082
20505,401,0.078
20556,402,0.110
20607,403,0.061
20661,404,0.130
20712,405,0.054
20763,406,0.109
20816,407,0.102
20869,408,0.057
20921,409,0.063
20971,410,0.067
21023,411,0.052
21076,412,0.137
21127,413,0.172
21178,414,0.073
21228,415,0.141
21279,416,0.065
21331,417,0.098
21382,418,0.067
21433,419,0.068
21484,420,0.074
21536,421,0.081
21587,422,0.072
21638,423,0.271
21689,424,0.056
21740,425,0.070
21791,426,0.061
21842,427,0.079
21893,428,0.061
21944,429,0.068
21994,430,0.066
22046,431,0.066
22096,432,0.135
22148,433,0.074
22199,434,0.069
22250,435,0.065
22302,436,0.104
22352,437,0.067
22403,438,0.068
22454,439,0.065
22504,440,0.064
22556,441,0.083
22607,442,0.076
22658,443,0.067
22709,444,0.069
22760,445,0.314
22811,446,0.064
22862,447,0.103
22913,448,0.070
22964,449,0.074
23015,450,0.066
23066,451,0.080
23117,452,0.065
23168,453,0.066
23219,454,0.070
23269,455,0.065
23321,456,0.066
23372,457,0.067
23423,458,0.067
23474,459,0.067
23525,460,0.087
23577,461,0.185
23628,462,0.066
23681,463,0.083
23730,464,0.062
23783,465,0.261
23834,466,0.063
23884,467,0.063
23936,468,0.123
23989,469,0.073
24037,470,0.074
24088,471,0.075
24139,472,0.073
24190,473,0.074
24241,474,0.069
24292,475,0.096
24343,476,0.075
24395,477,0.071
24446,478,0.069
24496,479,0.075
24548,480,0.192
24598,481,0.067
24649,482,0.065
24700,483,0.076
24751,484,0.075
24802,485,0.076
24854,486,0.075
24904,487,0.066
24955,488,0.074
25006,489,0.075
25057,490,0.074
25108,491,0.075
25159,492,0.076
25211,493,0.074
25261,494,0.071
25312,495,0.074
25363,496,0.072
25414,497,0.091
25465,498,0.069
25516,499,0.084
25567,500,0.122
25618,501,0.074
25669,502,0.071
25720,503,0.062
25771,504,0.071
25824,505,0.073
25875,506,0.075
25926,507,0.070
25977,508,0.074
26028,509,0.073
26079,510,0.076
26130,511,0.074
26181,512,0.073
26232,513,0.065
26284,514,0.077
26334,515,0.075
26385,516,0.074
26436,517,0.073
26487,518,0.075
26538,519,0.106
26591,520,0.105
26642,521,0.069
26693,522,0.078
26744,523,0.077
26795,524,0.075
26846,525,0.072
26897,526,0.079
26948,527,0.075
26999,528,0.076
27050,529,0.130
27101,530,0.074
27153,531,0.076
27204,532,0.071
27256,533,0.076
27307,534,0.075
27359,535,0.118
27410,536,0.075
27462,537,0.151
27514,538,0.106
27564,539,0.086
27615,540,0.072
27667,541,0.074
27718,542,0.075
27771,543,0.078
27821,544,0.068
27873,545,0.072
27925,546,0.073
27976,547,0.160
28029,548,0.079
28082,549,0.067
28133,550,0.066
28183,551,0.066
28236,552,0.070
28287,553,0.063
28339,554,0.066
28390,555,0.073
28441,556,0.069
28493,557,0.065
28544,558,0.107
28596,559,0.070
28648,560,0.072
28700,561,0.063
28752,562,0.066
28805,563,0.068
28857,564,0.065
28908,565,0.057
28961,566,0.065
29012,567,0.069
29064,568,0.068
29117,569,0.063
29169,570,0.068
29220,571,0.075
29272,572,0.071
29324,573,0.069
29375,574,0.068
29426,575,0.068
29478,576,0.077
29528,577,0.132
29581,578,0.078
29633,579,0.077
29684,580,0.076
29735,581,0.077
29786,582,0.094
29837,583,0.076
29888,584,0.459
29940,585,0.060
29992,586,0.075
