t_ms,seq,rtt_ms
64,1,0.088
117,2,0.078
168,3,0.068
220,4,0.074
272,5,0.072
325,6,0.072
377,7,0.070
429,8,0.067
484,9,2.070
532,10,0.070
585,11,0.062
636,12,0.067
686,13,0.075
738,14,0.080
789,15,0.070
841,16,0.064
892,17,0.077
944,18,0.107
996,19,0.061
1047,20,0.064
1101,21,0.107
1151,22,0.064
1204,23,0.071
1256,24,0.069
1308,25,0.060
1361,26,0.073
1413,27,0.073
1463,28,0.072
1517,29,0.140
1568,30,0.069
1619,31,0.077
1672,32,0.064
1729,33,0.097
1780,34,0.072
1833,35,0.131
1885,36,0.074
1936,37,0.075
1987,38,0.070
2040,39,0.073
2092,40,0.074
2144,41,0.076
2197,42,0.070
2249,43,0.074
2300,44,0.107
2352,45,0.072
2403,46,0.073
2455,47,0.072
2507,48,0.073
2559,49,0.117
2611,50,0.074
2663,51,0.073
2714,52,0.074
2765,53,0.095
2816,54,0.072
2867,55,0.068
2918,56,0.074
2971,57,0.069
3022,58,0.070
3073,59,0.073
3124,60,0.071
3176,61,0.071
3227,62,0.297
3278,63,0.069
3329,64,0.068
3382,65,0.065
3434,66,0.074
3486,67,0.072
3537,68,0.079
3590,69,0.072
3642,70,0.107
3694,71,0.073
3745,72,0.075
3797,73,0.173
3849,74,0.076
3900,75,0.074
3952,76,0.070
4003,77,0.073
4054,78,0.070
4107,79,0.068
4158,80,0.071
4210,81,0.072
4261,82,0.072
4314,83,0.070
4366,84,0.074
4417,85,0.071
4469,86,0.069
4521,87,0.104
4573,88,0.064
4624,89,0.063
4676,90,0.070
4727,91,0.108
4778,92,0.078
4828,93,0.067
4881,94,0.107
4932,95,0.072
4984,96,0.259
5036,97,0.073
5087,98,0.072
5138,99,0.073
5189,100,0.072
5241,101,0.069
5293,102,0.086
5345,103,0.073
5397,104,0.073
5448,105,0.069
5499,106,0.095
5550,107,0.074
5602,108,0.097
5654,109,0.074
5705,110,0.076
5757,111,0.081
5808,112,0.105
5859,113,0.069
5910,114,0.098
5962,115,0.392
6013,116,0.076
