t_ms,seq,rtt_ms
64,1,0.139
116,2,0.105
166,3,0.081
217,4,0.072
269,5,0.078
321,6,0.112
371,7,0.075
424,8,0.081
475,9,0.092
526,10,0.106
577,11,0.092
628,12,0.068
680,13,0.073
733,14,0.097
785,15,0.080
837,16,0.066
889,17,0.075
941,18,0.071
992,19,0.102
1044,20,0.071
1095,21,0.069
1148,22,0.073
1199,23,0.072
1250,24,0.070
1302,25,0.072
1354,26,0.075
1407,27,0.071
1457,28,0.072
1509,29,0.075
1560,30,0.074
1613,31,0.094
1665,32,0.067
1715,33,0.073
1767,34,0.088
1819,35,0.076
1871,36,0.072
1923,37,0.072
1978,38,0.086
2029,39,0.069
2080,40,0.074
2131,41,0.075
2183,42,0.072
2234,43,0.076
2285,44,0.073
2338,45,0.073
2390,46,0.102
2441,47,0.073
2492,48,0.074
2544,49,0.083
2595,50,0.075
2647,51,0.107
2698,52,0.078
2749,53,0.084
2801,54,0.080
2853,55,0.115
2904,56,0.073
2956,57,0.069
3008,58,0.086
3059,59,0.065
3110,60,0.107
3161,61,0.070
3213,62,0.089
3263,63,0.071
3316,64,0.069
3366,65,0.068
3419,66,0.070
3470,67,0.074
3522,68,0.069
3574,69,0.071
3626,70,0.102
3677,71,0.072
3730,72,0.107
3781,73,0.074
3832,74,0.076
3885,75,0.074
3936,76,0.073
3989,77,0.072
4041,78,0.072
4093,79,0.073
4144,80,0.071
4196,81,0.072
4248,82,0.072
4300,83,0.072
4351,84,0.073
4403,85,0.071
4455,86,0.112
4507,87,0.071
4558,88,0.074
4608,89,0.074
4661,90,0.071
4712,91,0.069
4763,92,0.090
4815,93,0.072
4866,94,0.070
4919,95,0.073
4971,96,0.069
5022,97,0.074
5075,98,0.074
5126,99,0.072
5179,100,0.069
5230,101,0.074
5282,102,0.079
5333,103,0.083
5384,104,0.067
5435,105,0.076
5487,106,0.074
5538,107,0.100
5589,108,0.078
5641,109,0.078
5693,110,0.075
5744,111,0.097
5796,112,0.076
5847,113,0.072
5899,114,0.072
5951,115,0.073
6002,116,0.060
6053,117,0.073
6103,118,0.072
6156,119,0.073
6208,120,0.072
6260,121,0.102
6312,122,0.071
6363,123,0.073
6415,124,0.069
6467,125,0.095
6519,126,0.113
6571,127,0.108
6623,128,0.074
6675,129,0.071
6727,130,0.136
6778,131,0.108
6829,132,0.077
6881,133,0.082
6932,134,0.110
6983,135,0.073
7034,136,0.070
7085,137,0.073
7135,138,0.070
7187,139,0.068
7239,140,0.094
7290,141,0.072
7341,142,0.070
7394,143,0.072
7445,144,0.100
7498,145,0.106
7550,146,0.081
7601,147,0.074
7652,148,0.105
7704,149,0.195
7756,150,0.314
7808,151,0.078
7859,152,0.101
7910,153,0.071
7964,154,0.073
8014,155,0.141
8066,156,0.069
8117,157,0.109
8171,158,0.073
8221,159,0.076
8273,160,0.069
8325,161,0.074
8379,162,0.067
8431,163,0.074
8483,164,0.074
8535,165,0.071
8587,166,0.064
8638,167,0.073
8690,168,0.068
8741,169,0.128
8797,170,0.075
8848,171,0.077
8899,172,0.069
