t_ms,seq,rtt_ms
86,1,0.155
137,2,0.164
188,3,0.064
239,4,0.069
289,5,0.075
340,6,0.072
392,7,0.072
443,8,0.113
495,9,0.071
545,10,0.073
597,11,0.073
650,12,0.302
701,13,0.074
752,14,0.075
804,15,0.072
856,16,0.305
907,17,0.071
959,18,0.075
1010,19,0.114
1061,20,0.075
1113,21,0.074
1164,22,0.084
1215,23,0.068
1268,24,0.074
1319,25,0.073
1371,26,0.072
1423,27,0.074
1474,28,0.076
1525,29,0.106
1576,30,0.075
1626,31,0.084
1678,32,0.074
1728,33,0.072
1781,34,0.071
1832,35,0.073
1884,36,0.072
1936,37,0.065
1987,38,0.071
2038,39,0.075
2089,40,0.073
2139,41,0.078
2191,42,0.109
2242,43,0.073
2293,44,0.075
2345,45,0.076
2397,46,0.076
2449,47,0.070
2500,48,0.078
2551,49,0.120
2603,50,0.073
2655,51,0.103
2707,52,0.077
2758,53,0.074
2809,54,0.075
2860,55,0.107
2911,56,0.103
2963,57,0.070
3013,58,0.078
3066,59,0.077
3118,60,0.171
3168,61,0.080
3221,62,0.075
3272,63,0.077
3323,64,0.073
3375,65,0.074
3427,66,0.073
3478,67,0.068
3530,68,0.071
3581,69,0.106
3632,70,0.074
3683,71,0.073
3734,72,0.073
3786,73,0.261
3837,74,0.074
3888,75,0.072
3939,76,0.071
3991,77,0.068
4043,78,0.067
4094,79,0.100
4145,80,0.076
4195,81,0.077
4247,82,0.075
4299,83,0.075
4351,84,0.071
4403,85,0.071
4453,86,0.074
4505,87,0.075
4559,88,0.071
4610,89,0.109
4662,90,0.074
4713,91,0.103
4764,92,0.073
4814,93,0.071
4867,94,0.099
4917,95,0.073
4969,96,0.075
5020,97,0.075
5071,98,0.066
5122,99,0.127
5173,100,0.117
5224,101,0.076
5276,102,0.106
5326,103,0.073
5378,104,0.078
5429,105,0.112
5481,106,0.070
5532,107,0.074
5583,108,0.074
5634,109,0.068
5686,110,0.104
5738,111,0.074
5789,112,0.104
5841,113,0.072
5893,114,0.075
5944,115,0.075
5996,116,0.069
6047,117,0.075
6098,118,0.080
6150,119,0.090
6201,120,0.070
6253,121,0.103
6306,122,0.070
6355,123,0.114
6407,124,0.070
6459,125,0.117
6511,126,0.076
6563,127,0.112
6614,128,0.104
6664,129,0.075
6715,130,0.107
6765,131,0.075
6816,132,0.075
6868,133,0.069
6920,134,0.077
6972,135,0.077
7023,136,0.077
7075,137,0.937
7126,138,0.082
7177,139,0.069
7228,140,0.063
7278,141,0.064
7331,142,0.063
7383,143,0.074
7434,144,0.075
7485,145,0.065
7536,146,0.078
7587,147,0.078
7639,148,0.076
7690,149,0.115
7740,150,0.073
7792,151,0.076
7844,152,0.108
7895,153,0.102
7947,154,0.071
7998,155,0.074
8050,156,0.101
8101,157,0.077
8153,158,0.070
8205,159,0.094
8256,160,0.064
8306,161,0.065
8359,162,0.188
8411,163,0.072
8462,164,0.070
8514,165,0.063
8566,166,0.072
8617,167,0.072
8669,168,0.075
8722,169,0.063
8773,170,0.078
8824,171,0.060
8874,172,0.063
8928,173,0.050
8979,174,0.076
9030,175,0.053
9081,176,0.070
9136,177,0.093
9187,178,0.074
9238,179,0.074
9289,180,0.071
9346,181,1.250
9396,182,0.064
9447,183,0.061
9500,184,0.075
9554,185,0.076
9605,186,0.075
9657,187,0.077
9708,188,0.074
9760,189,0.060
9811,190,0.046
9863,191,0.062
9914,192,0.055
9969,193,0.082
10021,194,0.070
10071,195,0.108
10123,196,0.108
10177,197,0.087
10228,198,0.108
10280,199,0.075
10335,200,0.058
10387,201,0.067
10439,202,0.065
10490,203,0.065
10542,204,0.073
10593,205,0.064
10645,206,0.059
10697,207,0.056
10748,208,0.072
10800,209,0.074
10851,210,0.074
10902,211,0.056
10953,212,0.102
11005,213,0.074
11056,214,0.115
11108,215,0.061
11160,216,0.094
11211,217,0.070
11262,218,0.074
11313,219,0.095
11363,220,0.068
11416,221,0.073
11469,222,0.606
11520,223,0.071
11571,224,0.105
11622,225,0.048
11673,226,0.374
11725,227,0.074
11776,228,0.073
11827,229,0.071
11878,230,0.073
11930,231,0.072
11982,232,0.073
12033,233,0.092
12083,234,0.074
12136,235,0.098
12187,236,0.084
12239,237,0.077
12290,238,0.076
12341,239,0.076
12393,240,0.072
12444,241,0.075
12496,242,0.070
12547,243,0.109
12599,244,0.103
12649,245,0.073
12702,246,0.114
12753,247,0.068
12805,248,0.073
12856,249,0.071
12908,250,0.076
12959,251,0.072
13010,252,0.074
13062,253,0.075
13113,254,0.076
13165,255,0.096
13216,256,0.072
13266,257,0.064
13318,258,0.072
13369,259,0.075
13421,260,0.074
13472,261,0.082
13524,262,0.076
13575,263,0.071
13628,264,0.071
13679,265,0.073
13731,266,0.073
13783,267,0.077
13834,268,0.066
13887,269,0.071
13938,270,0.119
13989,271,0.073
14040,272,0.072
14094,273,0.123
14146,274,0.083
14197,275,0.055
14249,276,0.057
14302,277,0.082
14354,278,0.059
14405,279,0.072
14457,280,0.053
14508,281,0.124
14559,282,0.118
14610,283,0.098
14662,284,0.070
14713,285,0.171
14765,286,0.072
14816,287,0.074
14868,288,0.073
14919,289,0.073
14969,290,0.071
15022,291,0.074
15073,292,0.073
15126,293,0.124
15177,294,0.116
15229,295,0.070
15282,296,0.106
15333,297,0.056
15384,298,0.094
15436,299,0.073
15487,300,0.103
15538,301,0.072
15589,302,0.107
15641,303,0.074
15694,304,0.319
15746,305,0.069
15798,306,0.055
15849,307,0.075
15902,308,0.071
15953,309,0.101
16005,310,0.083
16056,311,0.075
16106,312,0.071
16159,313,0.116
16210,314,0.078
16263,315,0.073
16313,316,0.073
16365,317,0.073
16418,318,0.105
16469,319,0.072
16522,320,0.071
16574,321,0.074
16626,322,0.069
16679,323,0.071
16731,324,0.069
16782,325,0.071
16834,326,0.110
16885,327,0.109
16937,328,0.107
16988,329,0.082
17041,330,0.068
17093,331,0.108
17144,332,0.080
17196,333,0.073
17247,334,0.077
17299,335,0.074
17351,336,0.072
17402,337,0.076
17457,338,0.071
17507,339,0.070
17559,340,0.075
17611,341,0.107
17664,342,0.076
17715,343,0.072
17767,344,0.076
17819,345,0.067
17871,346,0.068
17923,347,0.108
17974,348,0.075
18025,349,0.106
18076,350,0.076
18128,351,0.115
18180,352,0.076
18231,353,0.068
18282,354,0.072
18334,355,0.075
18386,356,0.065
18437,357,0.099
18489,358,0.108
18541,359,0.064
18593,360,0.125
18644,361,0.071
