t_ms,seq,rtt_ms
72,1,0.088
122,2,0.075
176,3,0.071
225,4,0.072
277,5,0.075
329,6,0.075
381,7,0.067
432,8,0.073
484,9,0.076
534,10,0.073
586,11,0.107
636,12,0.098
689,13,0.077
739,14,0.070
790,15,0.074
844,16,0.070
896,17,0.073
948,18,0.075
999,19,0.072
1051,20,0.070
1103,21,0.076
1153,22,0.075
1204,23,0.066
1257,24,0.066
1309,25,0.068
1360,26,0.074
1412,27,0.074
1465,28,0.111
1515,29,0.066
1567,30,0.118
1618,31,0.067
1670,32,0.072
1723,33,0.098
1773,34,0.074
1826,35,0.076
1876,36,0.068
1928,37,0.133
1979,38,0.070
2032,39,0.106
2083,40,0.061
2135,41,0.075
2187,42,0.081
2237,43,0.055
2290,44,0.060
2341,45,0.059
2394,46,0.073
2443,47,0.074
2494,48,0.070
2545,49,0.118
2597,50,0.125
2648,51,0.077
2700,52,0.073
2751,53,0.075
2806,54,0.081
2858,55,0.180
2907,56,0.074
2959,57,0.222
3012,58,0.048
3062,59,0.074
3114,60,0.086
3167,61,0.107
3218,62,0.043
3269,63,0.075
3321,64,0.057
3372,65,0.048
3428,66,0.069
3477,67,0.071
3527,68,0.074
3579,69,0.085
3634,70,0.067
3683,71,0.103
3734,72,0.074
3786,73,0.089
3838,74,0.074
3889,75,0.085
3941,76,0.098
3993,77,0.122
4044,78,0.075
4096,79,0.082
4148,80,0.092
4199,81,0.077
4252,82,0.084
4304,83,0.086
4355,84,0.089
4406,85,0.130
4457,86,0.082
4509,87,0.124
4561,88,0.077
4613,89,0.085
4664,90,0.066
4716,91,0.074
4767,92,0.073
4818,93,0.071
4869,94,0.069
4920,95,0.075
4972,96,0.070
5023,97,0.072
5075,98,0.073
5125,99,0.075
5177,100,0.074
5228,101,0.127
5278,102,0.074
5330,103,0.073
5383,104,0.172
5433,105,0.073
5484,106,0.074
5537,107,0.076
5590,108,0.128
5641,109,0.069
5692,110,0.076
5743,111,0.077
5795,112,0.077
5846,113,0.075
5896,114,0.099
5947,115,0.073
5999,116,0.071
6050,117,0.073
6102,118,0.071
6154,119,0.078
6206,120,0.077
6257,121,0.104
6309,122,0.071
6362,123,0.076
6414,124,0.074
6464,125,0.077
6516,126,0.072
6568,127,0.092
6623,128,0.115
6673,129,0.070
6726,130,0.132
6777,131,0.116
6828,132,0.107
6879,133,0.075
6930,134,0.073
6982,135,0.077
7034,136,0.075
7086,137,0.071
7137,138,0.063
7190,139,0.107
7240,140,0.064
