t_ms,seq,rtt_ms
66,1,0.104
117,2,0.267
175,3,0.169
223,4,0.078
274,5,0.072
325,6,0.071
376,7,0.073
427,8,0.069
478,9,0.069
529,10,0.073
581,11,0.146
631,12,0.067
682,13,0.075
734,14,0.080
786,15,0.077
837,16,0.136
888,17,0.070
939,18,0.213
991,19,0.105
1043,20,0.074
1094,21,0.189
1146,22,0.078
1197,23,0.074
1249,24,0.075
1300,25,0.069
1352,26,0.078
1405,27,0.072
1456,28,0.102
1508,29,0.073
1560,30,0.095
1611,31,0.086
1663,32,0.103
1716,33,0.076
1767,34,0.077
1820,35,0.098
1871,36,0.070
1924,37,0.076
1976,38,0.077
2028,39,0.081
2081,40,0.076
2133,41,0.077
2185,42,0.147
2237,43,0.173
2289,44,0.070
2341,45,0.075
2394,46,0.061
2444,47,0.091
2495,48,0.061
2548,49,0.099
2599,50,0.086
2651,51,0.063
2701,52,0.062
2752,53,0.062
2805,54,0.055
2857,55,0.076
2908,56,0.085
2959,57,0.101
3011,58,0.080
3063,59,0.095
3115,60,0.061
3167,61,0.061
3218,62,0.070
3270,63,0.056
3321,64,0.074
3373,65,0.072
3427,66,0.060
3479,67,0.076
3529,68,0.070
3581,69,0.115
3634,70,0.068
3686,71,0.113
3738,72,0.070
3791,73,0.077
3843,74,0.163
3894,75,0.068
3946,76,0.071
3997,77,0.066
4051,78,0.248
4101,79,0.074
4152,80,0.084
4206,81,0.087
4259,82,0.112
4312,83,0.085
4363,84,0.088
4413,85,0.088
4467,86,0.087
4517,87,0.121
4568,88,0.074
4620,89,0.068
4674,90,0.071
4725,91,0.075
4776,92,0.073
4827,93,0.068
4879,94,0.073
4929,95,0.065
4981,96,0.076
5033,97,0.068
5084,98,0.074
5135,99,0.073
5188,100,0.111
5239,101,0.071
5291,102,0.083
5343,103,0.080
5395,104,0.918
5446,105,0.069
5498,106,0.079
5549,107,0.111
5601,108,0.298
5652,109,0.213
5703,110,0.070
5755,111,0.105
5808,112,0.525
5858,113,0.077
5911,114,0.076
5962,115,0.074
6012,116,0.072
6064,117,0.105
6115,118,0.073
6166,119,0.073
6218,120,0.073
6269,121,0.070
6320,122,0.072
6372,123,0.073
6423,124,0.074
6475,125,0.073
6527,126,0.065
6578,127,0.085
6628,128,0.069
6679,129,0.067
6731,130,0.071
6782,131,0.075
6834,132,0.073
6886,133,0.075
6936,134,0.077
6989,135,0.078
7040,136,0.075
7092,137,0.060
7142,138,0.058
7194,139,0.075
7245,140,0.066
7297,141,0.063
7349,142,0.074
7401,143,0.110
7453,144,0.072
7503,145,0.073
7555,146,0.071
7607,147,0.078
7662,148,0.248
7712,149,0.097
7763,150,0.068
7815,151,0.072
7866,152,0.074
7918,153,0.075
7970,154,0.071
8022,155,0.073
8074,156,0.072
8126,157,0.072
8178,158,0.068
8229,159,0.101
8280,160,0.069
8332,161,0.074
8385,162,0.074
8437,163,0.073
8488,164,0.073
8542,165,0.112
8593,166,0.109
8645,167,0.071
8697,168,0.076
8749,169,0.065
8800,170,0.078
8853,171,0.110
8903,172,0.066
8956,173,0.070
9007,174,0.073
9059,175,0.068
9111,176,0.077
9163,177,0.063
9215,178,0.075
9266,179,0.074
9319,180,0.073
9369,181,0.104
9420,182,0.070
9471,183,0.074
9522,184,0.073
9578,185,0.078
9627,186,0.078
9677,187,0.074
9730,188,0.069
9782,189,0.074
9834,190,0.100
9885,191,0.111
9936,192,0.072
9987,193,0.069
10039,194,0.072
10092,195,0.073
10142,196,0.075
10194,197,0.837
10246,198,0.098
10306,199,0.078
10353,200,0.073
10403,201,0.071
10455,202,0.073
10509,203,0.075
10563,204,0.092
10611,205,0.077
10665,206,0.594
10714,207,0.076
10773,208,0.073
10824,209,0.073
10868,210,0.076
10922,211,0.145
10976,212,0.072
11038,213,0.060
11152,214,0.087
11152,215,0.119
11192,216,0.098
11237,217,0.073
11290,218,0.103
11347,219,0.072
11390,220,0.090
11440,221,0.116
11490,222,0.080
11542,223,0.142
11593,224,0.116
11644,225,0.091
11695,226,0.071
11748,227,0.114
11798,228,0.097
11849,229,0.078
11900,230,0.079
11952,231,0.088
12009,232,0.085
12060,233,0.125
12111,234,0.097
12163,235,0.074
12216,236,0.080
12267,237,0.072
12318,238,0.077
12369,239,0.084
12421,240,0.078
12472,241,0.079
12524,242,0.075
12575,243,0.090
12627,244,0.086
12679,245,0.110
12729,246,0.082
12782,247,0.077
12834,248,0.078
12886,249,0.077
12939,250,0.133
12988,251,0.078
13039,252,0.082
13091,253,0.079
13142,254,0.091
13195,255,0.072
13246,256,0.084
13296,257,0.114
13348,258,0.090
13399,259,0.088
13451,260,0.079
13504,261,0.125
13554,262,0.110
13607,263,0.098
13659,264,0.079
13710,265,0.076
13763,266,0.082
13815,267,0.449
13867,268,0.082
13919,269,0.078
13970,270,0.395
14022,271,0.077
14073,272,0.825
14124,273,0.076
14176,274,0.075
14228,275,0.487
14280,276,0.650
14331,277,0.162
14384,278,0.074
14436,279,0.126
14486,280,0.108
14539,281,0.114
14589,282,0.089
14640,283,0.093
14692,284,0.076
14744,285,0.077
14796,286,0.072
14847,287,0.076
14900,288,0.105
14951,289,0.087
15002,290,0.076
15053,291,0.073
15105,292,0.077
15157,293,0.076
15208,294,0.095
15260,295,0.113
15312,296,0.112
15364,297,0.079
15414,298,0.077
15465,299,0.076
15517,300,0.110
15568,301,0.096
15619,302,0.078
15669,303,0.064
15720,304,0.126
15773,305,0.110
15825,306,0.073
15876,307,0.083
15929,308,0.089
15980,309,0.076
16031,310,0.077
16083,311,0.128
16134,312,0.083
16185,313,0.109
16237,314,0.124
16290,315,0.097
16340,316,0.106
