seq,rtt_ms
1,0.105
2,0.082
3,0.073
4,0.110
5,0.077
6,0.091
7,0.095
8,0.085
9,0.089
10,0.082
11,0.084
12,0.134
13,0.092
14,0.092
15,0.072
16,0.098
17,0.084
18,0.077
19,0.070
20,0.108
21,0.118
22,0.076
23,0.074
24,0.073
25,0.073
26,0.076
27,0.074
28,0.065
29,0.066
30,0.070
31,0.065
32,0.139
33,0.067
34,0.064
35,0.074
36,0.063
37,0.070
38,0.066
39,0.063
40,0.064
41,0.063
42,0.073
43,0.063
44,0.066
45,0.065
46,0.068
47,0.072
48,0.070
49,0.071
50,0.074
51,0.071
52,0.129
53,0.074
54,0.102
55,0.113
56,0.077
57,0.072
58,0.070
59,0.065
60,0.065
61,0.065
62,0.070
63,0.066
64,0.065
65,0.067
66,0.065
67,0.067
68,0.068
69,0.065
70,0.065
71,0.102
72,0.100
73,0.067
74,0.097
75,0.077
76,0.085
77,0.080
78,0.076
79,0.075
80,0.068
