# Tempo_s RTT_Medio_ms RTT_Max_ms Delivery_Medio Conforme Fase
# Contenção total do tráfego BE (agregado de B e C)
# Fase: 0=pre_event, 1=join, 2=post_event
0.250 0.595 1.060 1.0000 1 0
0.750 0.086 0.098 1.0000 1 0
1.250 0.247 0.340 1.0000 1 0
1.750 0.096 0.104 1.0000 1 0
2.250 0.162 0.188 1.0000 1 0
2.750 0.104 0.107 1.0000 1 0
3.250 0.112 0.114 1.0000 1 0
3.750 0.100 0.111 1.0000 1 0
4.250 0.109 0.112 1.0000 1 0
4.750 0.110 0.111 1.0000 1 0
5.250 0.568 1.030 1.0000 1 0
5.750 0.092 0.104 1.0000 1 0
6.250 0.147 0.198 1.0000 1 0
6.750 0.148 0.185 1.0000 1 0
7.250 0.303 0.462 1.0000 1 0
7.750 0.152 0.155 1.0000 1 0
8.250 0.135 0.162 1.0000 1 0
8.750 0.169 0.211 1.0000 1 0
9.250 0.101 0.107 1.0000 1 0
9.750 0.226 0.248 1.0000 1 0
10.250 0.673 0.989 1.0000 1 1
10.750 0.536 0.868 1.0000 1 1
11.250 1.183 1.830 1.0000 1 1
11.750 0.137 0.193 1.0000 1 1
12.250 0.325 0.334 1.0000 1 1
12.750 0.832 1.220 1.0000 1 1
13.250 0.166 0.214 1.0000 1 1
13.750 0.167 0.188 1.0000 1 1
14.250 2.405 4.700 1.0000 1 1
14.750 0.213 0.309 1.0000 1 1
15.250 0.127 0.145 1.0000 1 2
15.750 0.298 0.356 1.0000 1 2
16.250 0.251 0.255 1.0000 1 2
16.750 0.240 0.254 1.0000 1 2
17.250 0.156 0.166 1.0000 1 2
17.750 0.913 1.220 1.0000 1 2
18.250 0.175 0.259 1.0000 1 2
18.750 0.118 0.121 1.0000 1 2
19.250 3.367 6.620 1.0000 1 2
19.750 0.870 1.620 1.0000 1 2
20.250 0.259 0.340 1.0000 1 2
20.750 0.115 0.118 1.0000 1 2
21.250 0.120 0.122 1.0000 1 2
21.750 0.128 0.145 1.0000 1 2
22.250 0.186 0.243 1.0000 1 2
22.750 0.273 0.362 1.0000 1 2
23.250 0.202 0.284 1.0000 1 2
23.750 0.116 0.131 1.0000 1 2
24.250 0.116 0.124 1.0000 1 2
24.750 0.106 0.115 1.0000 1 2
25.250 0.131 0.138 1.0000 1 2
25.750 0.393 0.648 1.0000 1 2
26.250 0.157 0.197 1.0000 1 2
26.750 0.307 0.321 1.0000 1 2
27.250 0.133 0.138 1.0000 1 2
27.750 0.111 0.143 1.0000 1 2
28.250 0.134 0.155 1.0000 1 2
28.750 0.129 0.162 1.0000 1 2
29.250 0.176 0.208 1.0000 1 2
29.750 0.362 0.608 1.0000 1 2
