# Time_s Delivery_B Delivery_C Delivery_Limit
0.250 1.000 1.000 0.99
0.750 1.000 1.000 0.99
1.250 1.000 1.000 0.99
1.750 1.000 1.000 0.99
2.250 1.000 1.000 0.99
2.750 1.000 1.000 0.99
3.250 1.000 1.000 0.99
3.750 1.000 1.000 0.99
4.250 1.000 1.000 0.99
4.750 1.000 1.000 0.99
5.250 1.000 1.000 0.99
5.750 1.000 1.000 0.99
6.250 1.000 1.000 0.99
6.750 1.000 1.000 0.99
7.250 1.000 1.000 0.99
7.750 1.000 1.000 0.99
8.250 1.000 1.000 0.99
8.750 1.000 1.000 0.99
9.250 1.000 1.000 0.99
9.750 1.000 1.000 0.99
10.250 1.000 1.000 0.99
10.750 1.000 1.000 0.99
11.250 1.000 1.000 0.99
11.750 1.000 1.000 0.99
12.250 1.000 1.000 0.99
12.750 1.000 1.000 0.99
13.250 1.000 1.000 0.99
13.750 1.000 1.000 0.99
14.250 1.000 1.000 0.99
14.750 1.000 1.000 0.99
15.250 1.000 1.000 0.99
15.750 1.000 1.000 0.99
16.250 1.000 1.000 0.99
16.750 1.000 1.000 0.99
17.250 1.000 1.000 0.99
17.750 1.000 1.000 0.99
18.250 1.000 1.000 0.99
18.750 1.000 1.000 0.99
19.250 1.000 1.000 0.99
19.750 1.000 1.000 0.99
20.250 1.000 1.000 0.99
20.750 1.000 1.000 0.99
21.250 1.000 1.000 0.99
21.750 1.000 1.000 0.99
22.250 1.000 1.000 0.99
22.750 1.000 1.000 0.99
23.250 1.000 1.000 0.99
23.750 1.000 1.000 0.99
24.250 1.000 1.000 0.99
24.750 1.000 1.000 0.99
25.250 1.000 1.000 0.99
25.750 1.000 1.000 0.99
26.250 1.000 1.000 0.99
26.750 1.000 1.000 0.99
27.250 1.000 1.000 0.99
27.750 1.000 1.000 0.99
28.250 1.000 1.000 0.99
28.750 1.000 1.000 0.99
29.250 1.000 1.000 0.99
29.750 1.000 1.000 0.99
