# Time_s Intent_OK
0.250 1
0.750 1
1.250 1
1.750 1
2.250 1
2.750 1
3.250 1
3.750 1
4.250 1
4.750 1
5.250 1
5.750 1
6.250 1
6.750 1
7.250 1
7.750 1
8.250 1
8.750 1
9.250 1
9.750 1
10.250 1
10.750 1
11.250 1
11.750 1
12.250 1
12.750 1
13.250 1
13.750 1
14.250 1
14.750 1
15.250 1
15.750 1
16.250 1
16.750 1
17.250 1
17.750 1
18.250 1
18.750 1
19.250 1
19.750 1
20.250 1
20.750 1
21.250 1
21.750 1
22.250 1
22.750 1
23.250 1
23.750 1
24.250 1
24.750 1
25.250 1
25.750 1
26.250 1
26.750 1
27.250 1
27.750 1
28.250 1
28.750 1
29.250 1
29.750 1
