# Time_s RTT_B_ms RTT_C_ms RTT_Limit_ms
0.250 1.060 0.130 40.0
0.750 0.075 0.098 40.0
1.250 0.340 0.155 40.0
1.750 0.088 0.104 40.0
2.250 0.135 0.188 40.0
2.750 0.100 0.107 40.0
3.250 0.110 0.114 40.0
3.750 0.111 0.089 40.0
4.250 0.112 0.106 40.0
4.750 0.111 0.108 40.0
5.250 1.030 0.106 40.0
5.750 0.104 0.080 40.0
6.250 0.095 0.198 40.0
6.750 0.185 0.112 40.0
7.250 0.144 0.462 40.0
7.750 0.150 0.155 40.0
8.250 0.107 0.162 40.0
8.750 0.211 0.127 40.0
9.250 0.095 0.107 40.0
9.750 0.248 0.204 40.0
10.250 0.989 0.358 40.0
10.750 0.204 0.868 40.0
11.250 0.536 1.830 40.0
11.750 0.081 0.193 40.0
12.250 0.316 0.334 40.0
12.750 0.444 1.220 40.0
13.250 0.118 0.214 40.0
13.750 0.147 0.188 40.0
14.250 0.111 4.700 40.0
14.750 0.118 0.309 40.0
15.250 0.145 0.109 40.0
15.750 0.241 0.356 40.0
16.250 0.255 0.247 40.0
16.750 0.226 0.254 40.0
17.250 0.146 0.166 40.0
17.750 0.606 1.220 40.0
18.250 0.091 0.259 40.0
18.750 0.116 0.121 40.0
19.250 0.113 6.620 40.0
19.750 1.620 0.120 40.0
20.250 0.177 0.340 40.0
20.750 0.118 0.112 40.0
21.250 0.118 0.122 40.0
21.750 0.145 0.110 40.0
22.250 0.243 0.129 40.0
22.750 0.362 0.185 40.0
23.250 0.284 0.121 40.0
23.750 0.102 0.131 40.0
24.250 0.109 0.124 40.0
24.750 0.115 0.096 40.0
25.250 0.138 0.123 40.0
25.750 0.648 0.138 40.0
26.250 0.197 0.116 40.0
26.750 0.293 0.321 40.0
27.250 0.127 0.138 40.0
27.750 0.143 0.080 40.0
28.250 0.113 0.155 40.0
28.750 0.162 0.096 40.0
29.250 0.208 0.145 40.0
29.750 0.608 0.117 40.0
