seq,rtt_ms
1,0.051
2,0.110
3,0.112
4,0.111
5,0.112
6,0.111
7,0.112
8,0.112
9,0.112
10,0.151
11,0.113
12,0.114
13,0.112
14,0.090
15,0.089
16,0.091
17,0.112
18,0.088
19,0.112
20,0.182
21,0.113
22,0.113
23,0.114
24,0.112
25,0.112
26,0.112
27,0.112
28,0.114
29,0.111
30,0.382
31,0.116
32,0.114
33,0.091
34,0.093
35,0.113
36,0.114
37,0.112
38,0.091
39,0.114
40,0.091
41,0.112
42,0.113
43,0.114
44,0.113
45,0.114
46,0.114
47,0.115
48,0.112
49,0.092
50,0.127
51,0.073
52,0.112
53,0.122
54,0.114
55,0.113
56,0.113
57,0.108
58,0.114
59,0.112
60,0.112
61,0.112
62,0.112
63,0.113
64,0.112
65,0.113
66,0.119
67,0.147
68,0.112
69,0.113
70,0.092
71,0.091
72,0.085
73,0.083
74,0.078
75,0.091
76,0.113
77,0.111
78,0.114
79,0.113
80,0.179
81,0.114
82,0.115
83,0.091
84,0.112
85,0.137
86,0.114
87,0.113
88,0.111
89,0.126
90,0.139
91,0.086
92,0.092
93,0.091
94,0.115
95,0.114
96,0.090
97,0.091
98,0.113
99,0.113
100,0.159
101,0.114
102,0.113
103,0.142
104,0.113
105,0.114
106,0.116
107,0.113
108,0.114
109,0.112
110,0.103
111,0.114
112,0.106
113,0.093
114,0.113
115,0.114
116,0.115
117,0.114
118,0.116
119,0.116
120,0.181
121,0.116
122,0.115
123,0.141
124,0.115
125,0.113
126,0.115
127,0.128
128,0.113
129,0.113
130,0.096
131,0.094
132,0.113
133,0.114
134,0.111
135,0.114
136,0.154
137,0.114
138,0.113
139,0.115
140,0.161
141,0.112
142,0.114
143,0.133
144,0.113
145,0.113
146,0.113
147,0.113
148,0.114
149,0.081
150,0.178
151,0.112
152,0.090
153,0.115
154,0.115
155,0.112
156,0.108
157,0.112
158,0.110
159,0.112
160,0.297
161,0.114
162,0.119
163,0.111
164,0.114
165,0.113
166,0.114
167,0.110
168,0.113
169,0.090
170,0.317
171,0.113
172,0.111
173,0.113
174,0.114
175,0.112
176,0.112
177,0.114
178,0.115
179,0.111
180,0.157
181,0.113
182,0.115
183,0.113
184,0.115
185,0.156
186,0.114
187,0.114
188,0.112
189,0.078
190,0.252
191,0.111
192,0.111
193,0.112
194,0.158
195,0.112
196,0.112
197,0.112
198,0.113
199,0.112
200,0.238
201,0.090
202,0.115
203,0.111
204,0.112
205,0.090
206,0.113
207,0.110
208,0.112
209,0.090
210,0.088
211,0.115
212,0.111
213,0.110
214,0.113
215,0.141
216,0.111
217,0.112
218,0.112
219,0.112
220,0.288
221,0.110
222,0.112
223,0.090
224,0.112
225,0.112
226,0.114
227,0.113
228,0.113
229,0.112
230,0.126
231,0.112
232,0.113
233,0.112
234,0.145
235,0.110
236,0.113
237,0.113
238,0.112
239,0.113
240,0.249
241,0.118
242,0.093
243,0.113
244,0.140
245,0.114
246,0.114
247,0.082
248,0.111
249,0.090
250,0.093
251,0.114
252,0.114
253,0.158
254,0.117
255,0.112
256,0.113
257,0.136
258,0.112
259,0.126
260,0.113
261,0.113
262,0.137
263,0.091
264,0.114
265,0.114
266,0.113
267,0.115
268,0.091
269,0.184
270,0.111
271,0.112
272,0.113
273,0.113
274,0.126
275,0.114
276,0.112
277,0.113
278,0.114
279,0.120
280,0.151
281,0.114
282,0.112
283,0.114
284,0.114
285,0.113
286,0.117
287,0.078
288,0.090
289,0.151
290,0.118
291,0.113
292,0.115
293,0.139
294,0.113
295,0.113
296,0.113
297,0.113
298,0.111
299,0.246
300,0.112
301,0.112
302,0.115
303,0.110
304,0.113
305,0.111
306,0.074
307,0.114
308,0.090
309,0.134
310,0.112
311,0.113
312,0.114
313,0.112
314,0.115
315,0.113
316,0.141
317,0.112
318,0.114
319,0.132
320,0.113
321,0.113
322,0.115
323,0.112
324,0.144
325,0.112
326,0.114
327,0.113
328,0.090
329,0.113
330,0.114
331,0.114
332,0.112
333,0.090
334,0.113
335,0.113
336,0.112
337,0.140
338,0.093
339,0.167
340,0.114
341,0.114
342,0.114
343,0.112
344,0.111
345,0.078
346,0.113
347,0.089
348,0.090
349,0.111
350,0.114
351,0.116
352,0.109
353,0.113
354,0.112
355,0.112
356,0.148
357,0.069
358,0.081
359,0.080
360,0.110
361,0.089
362,0.113
363,0.112
364,0.113
365,0.092
366,0.113
367,0.112
368,0.090
369,0.123
370,0.112
371,0.112
372,0.112
373,0.111
374,0.115
375,0.113
376,0.113
377,0.112
378,0.113
379,0.113
380,0.112
381,0.115
382,0.113
383,0.115
384,0.116
385,0.081
386,0.072
387,0.113
388,0.090
389,0.081
390,0.113
391,0.073
392,0.082
393,0.082
394,0.083
395,0.082
396,0.074
397,0.088
398,0.081
399,0.077
400,0.079
