seq,rtt_ms
1,0.057
2,0.150
3,0.078
4,0.078
5,0.127
6,0.112
7,0.114
8,0.112
9,0.167
10,0.116
11,0.114
12,0.111
13,0.111
14,0.111
15,0.125
16,0.112
17,0.113
18,0.113
19,0.112
20,0.113
21,0.111
22,0.261
23,0.113
24,0.109
25,0.133
26,0.110
27,0.109
28,0.110
29,0.110
30,0.109
31,0.111
32,0.111
33,0.109
34,0.112
35,0.109
36,0.110
37,0.090
38,0.091
39,0.112
40,0.156
41,0.114
42,0.089
43,0.113
44,0.089
45,0.090
46,0.113
47,0.113
48,0.112
49,0.115
50,0.113
51,0.113
52,0.114
53,0.112
54,0.113
55,0.113
56,0.112
57,0.111
58,0.116
59,0.112
60,0.114
61,0.091
62,0.148
63,0.139
64,0.096
65,0.091
66,0.112
67,0.090
68,0.091
69,0.111
70,0.093
71,0.091
72,0.112
73,0.110
74,0.112
75,0.112
76,0.111
77,0.111
78,0.110
79,0.112
80,0.111
81,0.089
82,0.111
83,0.087
84,0.088
85,0.110
86,0.111
87,0.091
88,0.112
89,0.113
90,0.111
91,0.111
92,0.112
93,0.111
94,0.139
95,0.089
96,0.131
97,0.113
98,0.112
99,0.111
100,0.112
101,0.079
102,0.111
103,0.111
104,0.111
105,0.110
106,0.112
107,0.089
108,0.110
109,0.076
110,0.070
111,0.088
112,0.111
113,0.121
114,0.113
115,0.111
116,0.109
117,0.110
118,0.090
119,0.109
120,0.111
121,0.112
122,0.092
123,0.111
124,0.110
125,0.112
126,0.111
127,0.155
128,0.112
129,0.113
130,0.116
131,0.139
132,0.112
133,0.112
134,0.112
135,0.090
136,0.113
137,0.090
138,0.113
139,0.113
140,0.089
141,0.111
142,0.129
143,0.093
144,0.114
145,0.113
146,0.113
147,0.142
148,0.112
149,0.113
150,0.071
151,0.071
152,0.122
153,0.111
154,0.130
155,0.123
156,0.078
157,0.070
158,0.081
159,0.093
160,0.110
161,0.110
162,0.283
163,0.111
164,0.109
165,0.111
166,0.112
167,0.110
168,0.111
169,0.136
170,0.111
171,0.111
172,0.238
173,0.142
174,0.114
175,0.113
176,0.136
177,0.112
178,0.114
179,0.112
180,0.112
181,0.112
182,0.150
183,0.113
184,0.112
185,0.113
186,0.090
187,0.113
188,0.140
189,0.111
190,0.114
191,0.112
192,0.120
193,0.112
194,0.112
195,0.114
196,0.154
197,0.115
198,0.113
199,0.079
200,0.079
201,0.066
202,0.120
203,0.111
204,0.111
205,0.110
206,0.110
207,0.111
208,0.111
209,0.149
210,0.142
211,0.112
212,0.117
213,0.114
214,0.112
215,0.160
216,0.111
217,0.112
218,0.079
219,0.112
220,0.090
221,0.091
222,0.166
223,0.111
224,0.111
225,0.114
226,0.112
227,0.110
228,0.112
229,0.113
230,0.112
231,0.113
232,0.145
233,0.112
234,0.111
235,0.111
236,0.113
237,0.110
238,0.095
239,0.132
240,0.112
241,0.090
242,0.164
243,0.113
244,0.112
245,0.128
246,0.111
247,0.111
248,0.111
249,0.113
250,0.112
251,0.112
252,0.157
253,0.113
254,0.112
255,0.112
256,0.111
257,0.089
258,0.078
259,0.108
260,0.084
261,0.086
262,0.159
263,0.113
264,0.114
265,0.113
266,0.112
267,0.111
268,0.112
269,0.111
270,0.089
271,0.111
272,0.160
273,0.116
274,0.080
275,0.047
276,0.112
277,0.124
278,0.091
279,0.126
280,0.113
281,0.112
282,0.163
283,0.114
284,0.111
285,0.113
286,0.115
287,0.091
288,0.112
289,0.112
290,0.113
291,0.093
292,0.164
293,0.111
294,0.156
295,0.112
296,0.112
297,0.077
298,0.080
299,0.089
300,0.111
301,0.114
302,0.111
303,0.112
304,0.113
305,0.112
306,0.091
307,0.112
308,0.155
309,0.114
310,0.112
311,0.111
312,0.112
313,0.110
314,0.111
315,0.111
316,0.075
317,0.112
318,0.089
319,0.090
320,0.112
321,0.111
322,0.113
323,0.111
324,0.113
325,0.112
326,0.112
327,0.112
328,0.114
329,0.112
330,0.111
331,0.112
332,0.176
333,0.140
334,0.110
335,0.092
336,0.073
337,0.090
338,0.091
339,0.113
340,0.116
341,0.089
342,0.111
343,0.112
344,0.111
345,0.112
346,0.109
347,0.112
348,0.111
349,0.112
350,0.112
351,0.112
352,0.115
353,0.112
354,0.111
355,0.149
356,0.111
357,0.113
358,0.091
359,0.110
360,0.111
361,0.111
362,0.112
363,0.113
364,0.131
365,0.112
366,0.111
367,0.111
368,0.111
369,0.112
370,0.112
371,0.113
372,0.110
373,0.112
374,0.111
375,0.095
376,0.114
377,0.089
378,0.089
379,0.111
380,0.112
381,0.111
382,0.111
383,0.112
384,0.112
385,0.090
386,0.113
387,0.113
388,0.092
389,0.112
390,0.112
391,0.112
392,0.111
393,0.110
394,0.111
395,0.079
396,0.089
397,0.088
398,0.090
399,0.111
400,0.115
