seq,rtt_ms
1,0.107
2,0.081
3,0.089
4,0.094
5,0.066
6,0.085
7,0.089
8,0.063
9,0.167
10,0.078
11,0.099
12,0.218
13,0.076
14,0.075
15,0.064
16,0.070
17,0.069
18,0.070
19,0.104
20,0.083
21,0.106
22,0.068
23,0.100
24,0.081
25,0.086
26,0.084
27,0.067
28,0.059
29,0.108
30,0.119
31,0.079
32,0.152
33,0.100
34,0.081
35,0.071
36,0.102
37,0.120
38,0.124
39,0.100
40,0.071
41,0.063
42,0.072
43,0.077
44,0.072
45,0.071
46,0.077
47,0.071
48,0.131
49,0.102
50,0.076
51,0.086
52,0.116
53,0.086
54,0.084
55,0.088
56,0.071
57,0.072
58,0.127
59,0.110
60,0.078
61,0.111
62,0.097
63,0.070
64,0.094
65,0.092
66,0.092
67,0.090
68,0.100
69,0.076
70,0.076
71,0.071
72,0.083
73,0.075
74,0.074
75,0.072
76,0.071
77,0.070
78,0.125
79,0.093
80,0.070
