bwB,be_mbps,thr_base,thr_adapt,thr_delta,rtt50_base,rtt50_adapt,rtt50_delta,rtt95_base,rtt95_adapt,rtt95_delta,rtt99_base,rtt99_adapt,rtt99_delta,samples_base,samples_adapt
100,10,6.99966244117595,6.999729170377033,6.672920e-05,21.1,19.7,-1.400000e+00,22.2,20.8,-1.400000e+00,22.5,21.1,-1.400000e+00,599,600
100,30,6.999695338979717,6.9997203041861145,2.496521e-05,20.6,19.5,-1.100000e+00,21.7,20.5,-1.200000e+00,21.9,21.0,-9.000000e-01,600,600
100,60,6.99971237129749,6.999735003409623,2.263211e-05,20.4,19.3,-1.100000e+00,21.8,20.4,-1.400000e+00,22.0,20.8,-1.200000e+00,600,600
100,90,6.9996876394660115,6.999721704109503,3.406464e-05,20.7,19.4,-1.300000e+00,21.8,20.4,-1.400000e+00,22.0,20.7,-1.300000e+00,600,600
50,10,6.99972940369815,6.9997387365555825,9.332857e-06,20.7,19.6,-1.100000e+00,21.6,20.6,-1.000000e+00,22.0,20.9,-1.100000e+00,600,600
50,30,6.999712137977507,6.99972800377168,1.586579e-05,20.7,19.7,-1.000000e+00,21.9,20.6,-1.300000e+00,22.3,21.0,-1.300000e+00,600,600
50,60,6.9997308036251775,6.9997100380983746,-2.076553e-05,20.8,19.7,-1.100000e+00,21.8,20.5,-1.300000e+00,22.1,20.9,-1.200000e+00,600,600
50,90,6.999726837166718,6.99969113924287,-3.569792e-05,20.8,19.7,-1.100000e+00,22.0,20.5,-1.500000e+00,22.2,20.7,-1.500000e+00,600,600
25,10,6.999717737661356,6.999731736910174,1.399925e-05,20.8,19.5,-1.300000e+00,22.0,20.5,-1.500000e+00,22.3,20.8,-1.500000e+00,600,600
25,30,6.999730336982773,6.999735703374188,5.366391e-06,20.5,19.3,-1.200000e+00,21.9,20.7,-1.200000e+00,22.2,21.0,-1.200000e+00,600,600
25,60,6.999721704109503,6.999709338138944,-1.236597e-05,20.9,18.7,-2.200000e+00,21.8,20.4,-1.400000e+00,22.0,20.6,-1.400000e+00,600,600
25,90,6.9997387365555825,6.999734536766658,-4.199789e-06,20.6,19.3,-1.300000e+00,21.8,20.4,-1.400000e+00,22.1,20.9,-1.200000e+00,600,600
10,10,6.999725203920424,6.999739203199107,1.399928e-05,18.5,18.7,2.000000e-01,21.4,20.3,-1.100000e+00,21.9,20.7,-1.200000e+00,600,600
10,30,6.999716104419308,6.999705138385296,-1.096603e-05,20.5,19.5,-1.000000e+00,21.9,20.4,-1.500000e+00,22.4,20.7,-1.700000e+00,600,600
10,60,6.999733836802327,6.999737569947042,3.733145e-06,20.5,19.3,-1.200000e+00,22.0,20.4,-1.600000e+00,22.4,20.6,-1.800000e+00,600,600
10,90,6.999725437241277,6.9997172710206925,-8.166221e-06,20.5,19.7,-8.000000e-01,21.8,20.7,-1.100000e+00,22.0,20.9,-1.100000e+00,600,600
