t_ms,seq,rtt_ms
72,1,0.092
122,2,0.119
175,3,0.076
227,4,0.093
279,5,0.092
330,6,0.060
382,7,0.061
434,8,0.064
485,9,0.055
537,10,0.062
589,11,0.061
641,12,0.070
692,13,0.063
743,14,0.061
796,15,0.077
847,16,0.072
899,17,0.071
950,18,0.074
1003,19,0.073
1054,20,0.130
1105,21,0.074
1156,22,0.073
1209,23,0.097
1261,24,0.086
1312,25,0.108
1365,26,0.107
1417,27,0.073
1469,28,0.103
1521,29,0.078
1573,30,0.105
1624,31,0.067
1676,32,0.150
1727,33,0.070
1777,34,0.100
1829,35,0.067
1880,36,0.073
1933,37,0.142
1984,38,0.063
2036,39,0.058
2088,40,0.072
2138,41,0.064
2190,42,0.073
2242,43,0.104
2293,44,0.080
2344,45,0.070
2397,46,0.131
2449,47,0.105
2501,48,0.074
2552,49,0.122
2605,50,0.122
2658,51,0.132
2708,52,0.126
2759,53,0.072
2812,54,0.071
2862,55,0.072
2914,56,0.101
2966,57,0.111
3018,58,0.076
3071,59,0.067
3122,60,0.073
3174,61,0.072
3224,62,0.081
3276,63,0.097
3328,64,0.074
3379,65,0.065
3432,66,0.075
3482,67,0.071
3534,68,0.069
3585,69,0.093
3638,70,0.147
3689,71,0.078
3741,72,0.075
3794,73,0.075
3846,74,0.122
3898,75,0.077
3949,76,0.071
3999,77,0.065
4051,78,0.067
4102,79,0.072
4153,80,0.066
4206,81,0.117
4257,82,0.082
4309,83,0.120
4359,84,0.072
4411,85,0.069
4463,86,0.117
4514,87,0.071
4566,88,0.074
4617,89,0.073
4670,90,0.894
4721,91,0.071
4773,92,0.102
4825,93,0.073
4876,94,0.057
4929,95,0.062
4981,96,0.074
5032,97,0.063
5085,98,0.052
5137,99,0.078
5189,100,0.053
5242,101,0.115
5293,102,0.088
5345,103,0.424
5396,104,0.110
5447,105,0.087
5500,106,0.075
5550,107,0.075
5601,108,0.075
5653,109,0.066
5709,110,0.115
5760,111,0.063
5812,112,0.071
5863,113,0.057
5917,114,0.143
5970,115,0.053
6022,116,0.072
6072,117,0.117
6124,118,0.080
6177,119,0.076
6228,120,0.145
6279,121,0.059
6333,122,0.061
6384,123,0.076
6434,124,0.071
6487,125,0.070
6541,126,0.134
6592,127,0.066
6642,128,0.103
6696,129,0.087
6748,130,0.091
6799,131,0.073
6850,132,0.098
6902,133,0.057
6957,134,0.123
7008,135,0.054
7059,136,0.073
7111,137,0.078
7165,138,0.074
7217,139,0.117
7267,140,0.100
7318,141,0.090
7373,142,0.516
7422,143,0.079
7474,144,0.074
7527,145,0.117
7581,146,0.102
7631,147,0.131
7683,148,0.095
7735,149,0.054
7789,150,0.072
7836,151,0.113
7887,152,0.075
7938,153,0.111
7989,154,0.074
8042,155,0.105
8093,156,0.081
8146,157,0.076
8197,158,0.112
8250,159,0.140
8300,160,0.067
8352,161,0.107
8404,162,0.067
8456,163,0.066
8508,164,0.063
8560,165,0.097
8612,166,0.091
8663,167,0.072
8718,168,0.053
8770,169,0.074
8821,170,0.076
8874,171,0.053
8926,172,0.116
8977,173,0.059
9029,174,0.101
9082,175,0.066
9133,176,0.113
9185,177,0.041
9237,178,0.077
9289,179,0.059
9341,180,0.053
9393,181,0.075
9444,182,0.068
9495,183,0.088
9547,184,0.074
9597,185,0.072
9649,186,0.074
9701,187,0.095
9753,188,0.139
9805,189,0.059
9857,190,0.056
9909,191,0.073
9961,192,0.073
10014,193,0.086
10065,194,0.078
10116,195,0.117
10168,196,0.089
10223,197,0.104
10270,198,0.095
10321,199,0.093
10379,200,0.150
10430,201,0.150
10479,202,0.083
10530,203,0.085
10579,204,0.090
10631,205,0.125
10685,206,0.089
10732,207,0.237
10789,208,0.136
10922,209,0.096
10923,210,0.089
10950,211,0.155
10989,212,0.085
11040,213,0.072
11091,214,0.145
11142,215,0.089
11194,216,0.075
11245,217,0.126
11296,218,0.132
11348,219,0.089
11400,220,0.077
11452,221,0.112
11504,222,0.116
11558,223,0.166
11608,224,0.082
11660,225,0.097
11710,226,0.111
11763,227,0.130
11821,228,0.089
11887,229,1.790
11920,230,0.097
11972,231,0.132
12024,232,0.077
12075,233,0.077
12125,234,0.080
12177,235,0.156
12228,236,0.180
12280,237,0.096
12331,238,0.078
12382,239,0.081
12434,240,0.075
12485,241,0.078
12537,242,0.090
12589,243,0.217
12641,244,0.091
12692,245,0.127
12744,246,0.099
12798,247,0.079
12848,248,0.082
12901,249,0.160
12952,250,0.086
13002,251,0.080
13054,252,0.126
13105,253,0.076
13157,254,0.082
13210,255,0.247
13262,256,0.248
13314,257,0.086
13364,258,0.079
13416,259,0.077
13468,260,0.098
13519,261,0.077
13570,262,0.085
13623,263,0.154
13674,264,0.081
13725,265,0.078
13777,266,0.077
13828,267,0.081
13879,268,0.076
13931,269,0.077
13982,270,0.093
14034,271,0.080
14085,272,0.088
14137,273,0.183
14189,274,0.094
14240,275,0.118
14291,276,0.082
14343,277,0.098
14396,278,0.084
14448,279,0.274
14499,280,0.078
14551,281,0.083
14601,282,0.078
14653,283,0.086
14705,284,0.126
14756,285,0.078
14808,286,0.078
14858,287,0.080
14909,288,0.079
14962,289,0.123
15013,290,0.075
15065,291,0.087
15117,292,0.077
15168,293,0.078
15220,294,0.121
15273,295,0.108
15324,296,0.092
15377,297,0.120
15429,298,0.096
15481,299,0.078
15533,300,0.079
15584,301,0.110
15636,302,0.088
15687,303,0.078
15740,304,0.079
15791,305,0.092
15843,306,0.087
15896,307,0.078
15947,308,0.063
15999,309,0.074
16051,310,0.057
16102,311,0.080
16155,312,0.098
16209,313,0.138
16260,314,0.107
16312,315,0.067
16365,316,0.117
16414,317,0.079
16467,318,0.099
16518,319,0.125
16571,320,0.067
16622,321,0.078
16673,322,0.062
16724,323,0.068
16776,324,0.081
16827,325,0.076
16879,326,0.078
16931,327,0.086
16982,328,0.075
17034,329,0.080
17086,330,0.103
17138,331,0.126
17190,332,0.091
17242,333,0.231
17291,334,0.090
17342,335,0.078
17393,336,0.083
17445,337,0.168
17497,338,0.146
17548,339,0.080
17600,340,0.084
17653,341,0.083
17703,342,0.076
17754,343,0.169
17806,344,0.051
17859,345,0.060
17909,346,0.136
17961,347,0.109
18011,348,0.078
18063,349,0.143
18115,350,0.116
18166,351,0.086
18218,352,0.125
18269,353,0.116
18322,354,0.114
18374,355,0.127
18426,356,0.165
18478,357,0.128
18529,358,0.112
18581,359,0.062
18633,360,0.082
18684,361,0.058
18735,362,0.112
18787,363,0.059
18838,364,0.081
18891,365,0.059
18940,366,0.187
18991,367,0.078
19043,368,0.078
19093,369,0.078
19145,370,0.080
19195,371,0.121
19248,372,0.121
19299,373,0.085
19350,374,0.079
19402,375,0.080
19454,376,0.081
19504,377,0.079
19557,378,0.123
19607,379,0.078
19659,380,0.126
19710,381,0.131
19761,382,0.077
19811,383,0.078
19863,384,0.081
19915,385,0.074
19967,386,0.108
20019,387,0.121
20069,388,0.081
20121,389,0.105
20172,390,0.111
20223,391,0.129
20275,392,0.109
20327,393,0.079
20378,394,0.079
20429,395,0.091
20480,396,0.122
20530,397,0.112
20582,398,0.079
20635,399,0.090
20687,400,0.127
20739,401,0.079
20791,402,0.076
20843,403,0.119
20894,404,0.085
20944,405,0.141
20996,406,0.076
21050,407,0.119
21102,408,0.082
21154,409,0.094
21207,410,0.224
21259,411,0.122
21311,412,0.083
21363,413,0.078
21415,414,0.091
21465,415,0.123
21516,416,0.128
21568,417,0.127
21620,418,0.078
21671,419,0.078
21723,420,0.085
21776,421,0.096
21826,422,0.109
21878,423,0.115
21928,424,0.078
21980,425,0.079
22031,426,0.078
22081,427,0.079
22134,428,0.078
22186,429,0.076
22237,430,0.136
22289,431,0.151
22339,432,0.102
22391,433,0.110
22441,434,0.077
22493,435,0.081
22545,436,0.146
22597,437,0.080
22649,438,0.080
22701,439,0.168
22753,440,0.085
22805,441,0.080
22857,442,0.119
22909,443,0.088
22960,444,0.084
23013,445,0.123
23065,446,0.110
23116,447,0.078
23168,448,0.085
23220,449,0.122
23273,450,0.220
23322,451,0.078
23374,452,0.080
23426,453,0.157
23478,454,0.061
23529,455,0.130
23582,456,0.063
23633,457,0.055
23686,458,0.098
23738,459,0.078
23789,460,0.110
23841,461,0.081
23894,462,0.140
23944,463,0.076
23994,464,0.091
24046,465,0.075
24098,466,0.142
24150,467,0.094
24202,468,0.209
24253,469,0.099
24306,470,0.107
24357,471,0.110
24408,472,0.128
24462,473,0.116
24511,474,0.088
24562,475,0.139
24614,476,0.121
24666,477,0.084
24717,478,0.088
24768,479,0.069
24819,480,0.119
24871,481,0.078
24922,482,0.074
24974,483,0.079
25025,484,0.107
25076,485,0.078
25128,486,0.077
25181,487,0.076
25233,488,0.133
25285,489,0.088
25337,490,0.071
25389,491,0.076
25442,492,0.075
25494,493,0.127
25545,494,0.122
25596,495,0.078
25649,496,0.080
25699,497,0.113
25752,498,0.126
25802,499,0.117
25853,500,0.075
25906,501,0.078
25956,502,0.076
26009,503,0.113
26061,504,0.120
26113,505,0.094
26165,506,0.110
26215,507,0.132
26268,508,0.110
26319,509,0.076
26372,510,0.078
26424,511,0.077
26475,512,0.059
26527,513,0.080
26580,514,0.138
26631,515,0.058
26682,516,0.061
26734,517,0.136
26786,518,0.253
26838,519,0.061
26890,520,0.091
26941,521,0.065
26993,522,0.078
27044,523,0.077
27096,524,0.115
27148,525,0.114
27199,526,0.169
27251,527,0.191
27301,528,0.080
27353,529,0.082
27405,530,0.094
27457,531,0.077
27509,532,0.078
27561,533,0.145
27612,534,0.078
27665,535,0.098
27716,536,0.100
27769,537,0.093
27821,538,0.223
27872,539,0.112
27925,540,0.116
27976,541,0.127
28027,542,0.077
28079,543,0.114
28132,544,0.109
28182,545,0.083
28238,546,0.069
28289,547,0.099
28342,548,0.064
28394,549,0.088
28446,550,0.059
28497,551,0.078
28549,552,0.063
28600,553,0.112
28652,554,0.062
28703,555,0.078
28755,556,0.059
28807,557,0.080
28859,558,0.066
28911,559,0.144
28961,560,0.058
29013,561,0.095
29065,562,0.064
29116,563,0.124
29167,564,0.081
29221,565,0.089
29272,566,0.088
29324,567,0.060
29376,568,0.062
29428,569,0.103
29480,570,0.132
29531,571,0.107
29582,572,0.065
29634,573,0.064
29686,574,0.130
29737,575,0.113
29789,576,0.055
29841,577,0.082
29897,578,0.126
29948,579,0.097
30001,580,0.078
