t_ms,seq,rtt_ms
65,1,0.185
115,2,0.081
167,3,0.079
218,4,0.065
269,5,0.071
320,6,0.072
372,7,0.076
423,8,0.087
474,9,0.071
526,10,0.064
577,11,0.069
629,12,0.063
681,13,0.064
732,14,0.071
785,15,0.060
837,16,0.063
889,17,0.092
941,18,0.106
993,19,0.080
1044,20,0.062
1095,21,0.071
1148,22,0.061
1199,23,0.098
1250,24,0.063
1301,25,0.062
1352,26,0.059
1404,27,0.097
1455,28,0.080
1506,29,0.065
1558,30,0.071
1609,31,0.070
1661,32,0.071
1712,33,0.073
1765,34,0.074
1816,35,0.070
1867,36,0.064
1920,37,0.115
1972,38,0.067
2022,39,0.072
2074,40,0.058
2126,41,0.059
2176,42,0.066
2228,43,0.053
2281,44,0.074
2331,45,0.073
2383,46,0.106
2434,47,0.096
2488,48,0.072
2540,49,0.045
2591,50,0.073
2642,51,0.074
2696,52,0.070
2746,53,0.073
2798,54,0.070
2850,55,0.077
2903,56,0.057
2953,57,0.074
3004,58,0.051
3056,59,0.047
3107,60,0.072
3159,61,0.102
3210,62,0.099
3262,63,0.063
3314,64,0.072
3365,65,0.051
3418,66,0.086
3469,67,0.076
3521,68,0.071
3572,69,0.088
3624,70,0.081
3675,71,0.096
3727,72,0.133
3779,73,0.067
3830,74,0.127
3883,75,0.167
3935,76,0.073
3987,77,0.069
4038,78,0.074
4090,79,0.066
4141,80,0.304
4192,81,0.066
4244,82,0.104
4295,83,0.158
4349,84,0.103
4400,85,0.099
4453,86,0.071
4502,87,0.071
4554,88,0.055
4605,89,0.141
4658,90,0.110
4708,91,0.054
4761,92,0.109
4813,93,0.086
4863,94,0.101
4916,95,0.049
4967,96,0.074
5019,97,0.058
5070,98,0.066
5122,99,0.122
5175,100,0.073
5226,101,0.058
5277,102,0.060
5328,103,0.554
5381,104,0.139
5433,105,0.076
5485,106,0.067
5536,107,0.073
5588,108,0.066
5640,109,0.071
5690,110,0.070
5742,111,0.106
5794,112,0.070
5844,113,0.081
5896,114,0.074
5947,115,0.071
5998,116,0.074
6050,117,0.073
6100,118,0.107
6152,119,0.072
6204,120,0.072
6255,121,0.091
6307,122,0.070
6361,123,0.173
6413,124,0.132
6464,125,0.075
6514,126,0.062
6566,127,0.075
6617,128,0.101
6668,129,0.124
6721,130,0.071
6771,131,0.101
6822,132,0.064
6875,133,0.076
6927,134,0.068
6979,135,0.101
7030,136,0.073
7081,137,0.074
7132,138,0.072
7183,139,0.062
7235,140,0.069
7286,141,0.074
7337,142,0.064
7389,143,0.125
7440,144,0.093
7492,145,0.081
7544,146,0.062
7596,147,0.067
7647,148,0.078
7698,149,0.062
7750,150,0.069
7802,151,0.059
7854,152,0.067
7905,153,0.110
7955,154,0.069
8007,155,0.067
8059,156,0.060
8110,157,0.066
8162,158,0.063
8214,159,0.094
8265,160,0.105
8317,161,0.220
8369,162,0.117
8420,163,0.086
8472,164,0.073
8523,165,0.094
8574,166,0.073
8625,167,0.075
8677,168,0.115
8730,169,0.061
8782,170,0.097
8833,171,0.121
8884,172,0.072
8936,173,0.063
8987,174,0.072
9039,175,0.071
9091,176,0.072
9144,177,0.072
9196,178,0.060
9247,179,0.066
9297,180,0.070
9350,181,0.070
9402,182,0.104
9454,183,0.079
9505,184,0.105
9559,185,0.066
9610,186,0.073
9661,187,0.100
9712,188,0.064
9763,189,0.070
9814,190,0.074
9866,191,0.072
9919,192,0.073
9970,193,0.077
10022,194,0.075
10073,195,0.080
10125,196,0.078
10176,197,0.315
10228,198,0.108
10292,199,0.104
10335,200,0.105
10381,201,0.170
10432,202,0.090
10485,203,0.080
10534,204,0.097
10589,205,0.075
10638,206,0.071
10688,207,0.105
10738,208,0.116
10788,209,0.084
10865,210,0.092
10894,211,0.089
10941,212,0.082
10992,213,0.075
11061,214,0.084
11094,215,0.074
11145,216,0.105
11196,217,0.065
11247,218,0.083
11298,219,0.080
11349,220,0.096
11400,221,0.109
11454,222,0.177
11503,223,0.082
11555,224,0.081
11606,225,0.076
11663,226,0.075
11716,227,0.076
11781,228,0.272
11818,229,0.090
11866,230,0.084
11918,231,0.081
11969,232,0.077
12020,233,0.103
12071,234,0.081
12123,235,0.075
12174,236,0.077
12225,237,0.076
12275,238,0.075
12328,239,0.074
12381,240,0.149
12432,241,0.135
12483,242,0.087
12534,243,0.078
12586,244,0.080
12638,245,0.089
12689,246,0.161
12741,247,0.077
12793,248,0.071
12844,249,0.069
12896,250,0.087
12947,251,0.086
12998,252,0.229
13049,253,0.078
13101,254,0.113
13152,255,0.078
13204,256,0.078
13254,257,0.077
13306,258,0.068
13358,259,0.076
13409,260,0.121
13460,261,0.096
13513,262,0.073
13564,263,0.068
13615,264,0.083
13667,265,0.147
13720,266,0.150
13770,267,0.075
13821,268,0.075
13873,269,0.084
13927,270,0.082
13979,271,0.077
14031,272,0.077
14082,273,0.089
14135,274,0.076
14185,275,0.080
14236,276,0.109
14288,277,0.076
14340,278,0.075
14392,279,0.195
14445,280,0.118
14495,281,0.076
14547,282,0.078
14598,283,0.077
14650,284,0.077
14702,285,0.070
14754,286,0.071
14806,287,0.076
14857,288,0.073
14908,289,0.076
14959,290,0.080
15011,291,0.088
15062,292,0.076
15113,293,0.107
15164,294,0.076
15215,295,0.068
15265,296,0.078
15317,297,0.073
15370,298,0.134
15421,299,0.134
15472,300,0.086
15524,301,0.077
15574,302,0.075
15626,303,0.076
15678,304,0.077
15729,305,0.098
15781,306,0.224
15833,307,0.109
15885,308,0.143
15936,309,0.082
15988,310,0.097
16040,311,0.099
16091,312,0.075
16142,313,0.078
16194,314,0.075
16245,315,0.108
16296,316,0.091
16347,317,0.074
16399,318,0.098
16450,319,0.086
16502,320,0.075
16554,321,0.076
16605,322,0.072
16657,323,0.077
16709,324,0.076
16761,325,0.074
16813,326,0.077
16865,327,0.079
16916,328,0.076
16967,329,0.075
17018,330,0.076
17070,331,0.128
17121,332,0.106
17173,333,0.076
17225,334,0.107
17277,335,0.110
17328,336,0.078
17380,337,0.110
17430,338,0.114
17482,339,0.100
17533,340,0.083
17584,341,0.079
17635,342,0.113
17687,343,0.081
17738,344,0.069
17790,345,0.075
17843,346,0.075
17898,347,0.096
17949,348,0.081
18000,349,0.078
18052,350,0.070
18103,351,0.077
18154,352,0.076
18205,353,0.128
18256,354,0.076
18308,355,0.072
18359,356,0.069
18412,357,0.208
18463,358,0.086
18514,359,0.076
18566,360,0.076
18616,361,0.074
18669,362,0.110
18721,363,0.113
18772,364,0.077
18824,365,0.074
18875,366,0.073
18928,367,0.081
18980,368,0.076
19032,369,0.075
19083,370,0.076
19135,371,0.073
19186,372,0.091
19237,373,0.077
19289,374,0.107
19340,375,0.079
19393,376,0.120
19443,377,0.085
19495,378,0.072
19547,379,0.078
19598,380,0.074
19649,381,0.133
19701,382,0.080
19752,383,0.078
19803,384,0.075
19855,385,0.073
19907,386,0.090
19960,387,0.076
20011,388,0.075
20062,389,0.092
20113,390,0.075
20167,391,0.080
20219,392,0.111
