seq,rtt_ms
1,0.059
2,0.114
3,0.113
4,0.145
5,0.112
6,0.113
7,0.114
8,0.113
9,0.115
10,0.113
11,0.115
12,0.243
13,0.080
14,0.113
15,0.112
16,0.114
17,0.091
18,0.088
19,0.090
20,0.112
21,0.116
22,0.112
23,0.114
24,0.113
25,0.115
26,0.113
27,0.113
28,0.113
29,0.112
30,0.093
31,0.115
32,0.140
33,0.116
34,0.115
35,0.114
36,0.091
37,0.115
38,0.122
39,0.116
40,0.113
41,0.114
42,0.099
43,0.089
44,0.115
45,0.114
46,0.145
47,0.115
48,0.113
49,0.112
50,0.111
51,0.112
52,0.115
53,0.121
54,0.114
55,0.082
56,0.080
57,0.096
58,0.121
59,0.113
60,0.115
61,0.114
62,0.113
63,0.112
64,0.112
65,0.113
66,0.094
67,0.092
68,0.093
69,0.118
70,0.113
71,0.114
72,0.117
73,0.158
74,0.113
75,0.092
76,0.112
77,0.092
78,0.093
79,0.115
80,0.113
81,0.094
82,0.125
83,0.114
84,0.112
85,0.111
86,0.115
87,0.113
88,0.115
89,0.114
90,0.114
91,0.114
92,0.113
93,0.116
94,0.118
95,0.115
96,0.114
97,0.115
98,0.113
99,0.113
100,0.115
101,0.115
102,0.113
103,0.113
104,0.114
105,0.116
106,0.113
107,0.114
108,0.114
109,0.132
110,0.112
111,0.114
112,0.120
113,0.114
114,0.143
115,0.115
116,0.092
117,0.094
118,0.113
119,0.115
120,0.115
121,0.114
122,0.113
123,0.114
124,0.114
125,0.114
126,0.115
127,0.114
128,0.140
129,0.114
130,0.092
131,0.116
132,0.115
133,0.113
134,0.093
135,0.111
136,0.093
137,0.094
138,0.115
139,0.113
140,0.113
141,0.114
142,0.113
143,0.113
144,0.113
145,0.115
146,0.113
147,0.114
148,0.115
149,0.113
150,0.113
151,0.114
152,0.114
153,0.074
154,0.081
155,0.090
156,0.113
157,0.113
158,0.115
159,0.113
160,0.117
161,0.112
162,0.151
163,0.114
164,0.113
165,0.114
166,0.112
167,0.113
168,0.113
169,0.113
170,0.113
171,0.113
172,0.115
173,0.092
174,0.115
175,0.143
176,0.091
177,0.114
178,0.114
179,0.115
180,0.113
181,0.116
182,0.115
183,0.113
184,0.117
185,0.114
186,0.113
187,0.112
188,0.112
189,0.114
190,0.113
191,0.115
192,0.149
193,0.113
194,0.112
195,0.112
196,0.115
197,0.114
198,0.113
199,0.113
200,0.112
201,0.114
202,0.111
203,0.142
204,0.112
205,0.111
206,0.115
207,0.114
208,0.115
209,0.110
210,0.111
211,0.114
212,0.094
213,0.110
214,0.124
215,0.113
216,0.114
217,0.115
218,0.115
219,0.080
220,0.116
221,0.112
222,0.242
223,0.112
224,0.114
225,0.113
226,0.113
227,0.091
228,0.115
229,0.114
230,0.115
231,0.114
232,0.117
233,0.114
234,0.090
235,0.114
236,0.114
237,0.113
238,0.114
239,0.114
240,0.140
241,0.110
242,0.113
243,0.115
244,0.093
245,0.115
246,0.113
247,0.113
248,0.115
249,0.111
250,0.115
251,0.120
252,0.081
253,0.113
254,0.114
255,0.112
256,0.117
257,0.111
258,0.091
259,0.114
260,0.114
261,0.131
262,0.112
263,0.115
264,0.114
265,0.113
266,0.142
267,0.114
268,0.116
269,0.115
270,0.113
271,0.093
272,0.113
273,0.170
274,0.114
275,0.113
276,0.114
277,0.112
278,0.115
279,0.114
280,0.122
281,0.113
282,0.113
283,0.114
284,0.157
285,0.114
286,0.170
287,0.114
288,0.114
289,0.114
290,0.114
291,0.129
292,0.093
293,0.139
294,0.115
295,0.113
296,0.174
297,0.114
298,0.112
299,0.113
300,0.112
301,0.113
302,0.115
303,0.114
304,0.115
305,0.114
306,0.094
307,0.046
308,0.092
309,0.151
310,0.101
311,0.078
312,0.088
313,0.111
314,0.096
315,0.115
316,0.115
317,0.113
318,0.111
319,0.113
320,0.113
321,0.111
322,0.145
323,0.112
324,0.112
325,0.089
326,0.111
327,0.114
328,0.117
329,0.113
330,0.114
331,0.114
332,0.092
333,0.113
334,0.115
335,0.127
336,0.092
337,0.114
338,0.113
339,0.112
340,0.117
341,0.113
342,0.143
343,0.113
344,0.113
345,0.143
346,0.114
347,0.115
348,0.114
349,0.091
350,0.080
351,0.115
352,0.126
353,0.116
354,0.113
355,0.114
356,0.115
357,0.092
358,0.115
359,0.114
360,0.113
361,0.114
362,0.114
363,0.113
364,0.116
365,0.162
366,0.113
367,0.111
368,0.113
369,0.114
370,0.112
371,0.090
372,0.115
373,0.111
374,0.138
375,0.166
376,0.114
377,0.114
378,0.114
379,0.112
380,0.114
381,0.115
382,0.113
383,0.113
384,0.115
385,0.091
386,0.113
387,0.112
388,0.115
389,0.114
390,0.114
391,0.092
392,0.113
393,0.115
394,0.113
395,0.144
396,0.111
397,0.115
398,0.114
399,0.115
400,0.117
