seq,rtt_ms
1,0.052
2,0.089
3,0.112
4,0.125
5,0.092
6,0.124
7,0.089
8,0.089
9,0.089
10,0.089
11,0.113
12,0.089
13,0.092
14,0.112
15,0.111
16,0.093
17,0.118
18,0.117
19,0.091
20,0.111
21,0.110
22,0.112
23,0.112
24,0.111
25,0.113
26,0.141
27,0.118
28,0.090
29,0.098
30,0.090
31,0.086
32,0.091
33,0.110
34,0.111
35,0.110
36,0.088
37,0.234
38,0.111
39,0.119
40,0.090
41,0.110
42,0.091
43,0.111
44,0.110
45,0.109
46,0.089
47,0.109
48,0.111
49,0.086
50,0.083
51,0.087
52,0.070
53,0.092
54,0.092
55,0.114
56,0.111
57,0.111
58,0.112
59,0.111
60,0.112
61,0.139
62,0.125
63,0.114
64,0.114
65,0.111
66,0.113
67,0.157
68,0.090
69,0.124
70,0.090
71,0.052
72,0.135
73,0.112
74,0.113
75,0.112
76,0.111
77,0.159
78,0.115
79,0.111
80,0.113
81,0.113
82,0.113
83,0.113
84,0.111
85,0.111
86,0.151
87,0.113
88,0.073
89,0.111
90,0.094
91,0.089
92,0.109
93,0.186
94,0.112
95,0.112
96,0.171
97,0.111
98,0.110
99,0.112
100,0.111
101,0.111
102,0.127
103,0.112
104,0.112
105,0.110
106,0.151
107,0.110
108,0.066
109,0.103
110,0.112
111,0.133
112,0.111
113,0.112
114,0.114
115,0.111
116,0.159
117,0.113
118,0.085
119,0.110
120,0.110
121,0.109
122,0.108
123,0.110
124,0.109
125,0.110
126,0.143
127,0.078
128,0.091
129,0.139
130,0.111
131,0.120
132,0.112
133,0.111
134,0.111
135,0.111
136,0.154
137,0.112
138,0.113
139,0.088
140,0.111
141,0.111
142,0.112
143,0.110
144,0.112
145,0.111
146,0.143
147,0.079
148,0.110
149,0.164
150,0.113
151,0.111
152,0.112
153,0.111
154,0.112
155,0.111
156,0.158
157,0.141
158,0.115
159,0.111
160,0.112
161,0.136
162,0.114
163,0.111
164,0.111
165,0.109
166,0.112
167,0.110
168,0.110
169,0.091
170,0.111
171,0.111
172,0.110
173,0.091
174,0.114
175,0.111
176,0.109
177,0.111
178,0.110
179,0.112
180,0.141
181,0.111
182,0.111
183,0.111
184,0.112
185,0.110
186,0.082
187,0.096
188,0.115
189,0.091
190,0.111
191,0.111
192,0.111
193,0.110
194,0.111
195,0.112
196,0.109
197,0.111
198,0.116
199,0.083
200,0.086
201,0.109
202,0.111
203,0.220
204,0.112
205,0.111
206,0.080
207,0.111
208,0.070
209,0.090
210,0.115
211,0.113
212,0.111
213,0.112
214,0.109
215,0.111
216,0.114
217,0.110
218,0.111
219,0.129
220,0.111
221,0.111
222,0.113
223,0.112
224,0.114
225,0.093
226,0.102
227,0.112
228,0.112
229,0.076
230,0.123
231,0.071
232,0.080
233,0.080
234,0.082
235,0.080
236,0.078
237,0.078
238,0.090
239,0.085
240,0.078
241,0.077
242,0.078
243,0.071
244,0.074
245,0.079
246,0.066
247,0.076
248,0.076
249,0.078
250,0.074
251,0.077
252,0.077
253,0.073
254,0.075
255,0.072
256,0.076
257,0.079
258,0.080
259,0.078
260,0.078
261,0.079
262,0.076
263,0.077
264,0.075
265,0.078
266,0.075
267,0.079
268,0.077
269,0.077
270,0.078
271,0.080
272,0.070
273,0.077
274,0.075
275,0.078
276,0.070
277,0.096
278,0.076
279,0.076
280,0.083
281,0.088
282,0.092
283,0.324
284,0.126
285,0.091
286,0.109
287,0.113
288,0.091
289,0.093
290,0.110
291,0.111
292,0.109
293,0.248
294,0.110
295,0.087
296,0.087
297,0.083
298,0.083
299,0.106
300,0.109
301,0.086
302,0.086
303,0.078
304,0.086
305,0.082
306,0.078
307,0.084
308,0.086
309,0.059
310,0.080
311,0.111
312,0.109
313,0.121
314,0.112
315,0.087
316,0.112
317,0.111
318,0.112
319,0.110
320,0.118
321,0.112
322,0.119
323,0.104
324,0.089
325,0.115
326,0.112
327,0.110
328,0.110
329,0.110
330,0.109
331,0.113
332,0.111
333,0.167
334,0.111
335,0.111
336,0.112
337,0.093
338,0.091
339,0.111
340,0.112
341,0.111
342,0.110
343,0.146
344,0.110
345,0.088
346,0.110
347,0.110
348,0.111
349,0.113
350,0.111
351,0.111
352,0.111
353,0.155
354,0.110
355,0.112
356,0.110
357,0.110
358,0.110
359,0.109
360,0.111
361,0.112
362,0.140
363,0.166
364,0.078
365,0.085
366,0.110
367,0.111
368,0.112
369,0.110
370,0.111
371,0.111
372,0.111
373,0.157
374,0.111
375,0.111
376,0.111
377,0.112
378,0.110
379,0.110
380,0.110
381,0.139
382,0.072
383,0.139
384,0.110
385,0.093
386,0.111
387,0.110
388,0.110
389,0.138
390,0.110
391,0.112
392,0.110
393,0.180
394,0.113
395,0.112
396,0.141
397,0.114
398,0.110
399,0.112
400,0.111
