mode,bwB,be_mbps,receptor,delivery_ratio,throughput_mbps,jitter_ms,join_time_s,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms
baseline,100,10,B,1.0,6.9996647743433345,0.007249097041098233,0.0,0.113,0.141,0.275
baseline,100,10,C,1.0,6.999654741734617,0.16588573534730436,0.0,0.113,0.143,0.179
adapt,100,10,B,1.0,3.887815836945406,4.0835772799723316,0.0,0.123,0.167,0.273
adapt,100,10,C,1.0,3.868148219207387,5.909390832481377,0.0,0.122,0.151,0.262
baseline,100,30,B,1.0,6.999659641377142,0.028709055783208908,0.0,0.111,0.185,0.369
baseline,100,30,C,1.0,6.999680873240678,0.11024588089420141,0.0,0.11,0.137,0.167
adapt,100,30,B,1.0,3.8878684505904064,4.08303725731394,0.0,0.124,0.179,0.33
adapt,100,30,C,1.0,3.86470470160035,8.198863887246315,0.0,0.122,0.159,0.311
baseline,100,60,B,1.0,6.99967014063422,0.17155954040136168,0.0,0.112,0.155,0.25
baseline,100,60,C,1.0,6.999716104419308,0.049936839919873716,0.0,0.112,0.141,0.174
adapt,100,60,B,1.0,3.887856916935522,4.089437984275527,0.0,0.125,0.146,0.254
adapt,100,60,C,1.0,3.8650168758903756,8.22345417654404,0.0,0.124,0.156,0.258
baseline,100,90,B,1.0,6.999679473333622,0.01202549728950919,0.0,0.11,0.127,0.231
baseline,100,90,C,1.0,6.99969183919866,0.008058560012787513,0.0,0.113,0.143,0.176
adapt,100,90,B,1.0,3.8878792067571903,4.083895462584887,0.0,0.126,0.178,0.319
adapt,100,90,C,1.0,3.828003498154842,8.57652137290857,0.0,0.123,0.155,0.182
baseline,50,10,B,1.0,6.9996988387642745,0.004458617562773464,0.0,0.112,0.124,0.169
baseline,50,10,C,1.0,6.999690905924303,0.005756876144713122,0.0,0.113,0.158,0.177
adapt,50,10,B,1.0,3.86040420557578,8.204984373336794,0.0,0.125,0.171,0.326
adapt,50,10,C,0.9970125473013344,3.837919066859876,5.233199882408112,0.0,0.124,0.164,0.255
baseline,50,30,B,1.0,6.999685772919786,0.01153152831717366,0.0,0.111,0.141,0.264
baseline,50,30,C,1.0,6.999648908835794,0.004278073297591505,0.0,0.11,0.138,0.197
adapt,50,30,B,1.0,3.849616521563339,4.530753591273383,0.0,0.122,0.147,0.19
adapt,50,30,C,1.0,3.8376612558774026,4.075255543404687,0.0,0.125,0.17,0.256
baseline,50,60,B,1.0,6.999660807959707,0.039185476584935465,0.0,0.111,0.138,0.196
baseline,50,60,C,1.0,6.999685306283385,0.15192253126104416,0.0,0.11,0.149,0.164
adapt,50,60,B,1.0,3.8832204824474537,5.557629311265248,0.0,0.123,0.167,0.188
adapt,50,60,C,0.9998009950248756,3.860046265124496,3.2329868380236766,0.0,0.124,0.153,0.186
baseline,50,90,B,1.0,6.999666407561429,0.004303001229215996,0.0,0.111,0.132,0.178
baseline,50,90,C,1.0,6.999685072965208,0.167635186406156,0.0,0.11,0.15,0.188
adapt,50,90,B,1.0,3.8878532883840915,4.116674736105715,0.0,0.126,0.156,0.185
adapt,50,90,C,1.0,3.86118326201055,3.468039847075028,0.0,0.124,0.168,0.182
baseline,25,10,B,1.0,6.999696272255258,0.008100601041047694,0.0,0.111,0.142,0.167
baseline,25,10,C,1.0,6.999661507909432,0.12691892612947306,0.0,0.11,0.142,0.322
adapt,25,10,B,1.0,3.886698552574533,4.3246674288791125,0.0,0.123,0.164,0.213
adapt,25,10,C,1.0,3.8639327132699512,8.907278643265295,0.0,0.122,0.153,0.267
baseline,25,30,B,1.0,6.999713537897629,0.039018029349452726,0.0,0.109,0.154,0.221
baseline,25,30,C,1.0,6.999681573194416,0.22938957307272115,0.0,0.111,0.14,0.247
adapt,25,30,B,1.0,3.8878554914323664,4.078389162722907,0.0,0.125,0.157,0.238
adapt,25,30,C,1.0,3.8650766529928617,7.886324567266635,0.0,0.125,0.158,0.212
baseline,25,60,B,1.0,6.999700005359904,0.14196540311607736,0.0,0.113,0.133,0.172
baseline,25,60,C,1.0,6.9996876394660115,0.01293905301448556,0.0,0.111,0.145,0.255
adapt,25,60,B,1.0,3.88748556747253,4.147760869029166,0.0,0.123,0.158,0.189
adapt,25,60,C,1.0,3.8646566523268966,8.217115509267927,0.0,0.123,0.154,0.256
baseline,25,90,B,1.0,6.99968273978429,0.06839602567897754,0.0,0.11,0.129,0.156
baseline,25,90,C,1.0,6.999700705317468,0.06512674425193046,0.0,0.11,0.141,0.233
adapt,25,90,B,1.0,3.887846031301549,4.080289026483717,0.0,0.124,0.154,0.242
adapt,25,90,C,1.0,3.8650891497328788,7.901692928219744,0.0,0.126,0.173,0.265
