seq,rtt_ms
1,0.136
2,0.103
3,0.076
4,0.104
5,0.111
6,0.076
7,0.084
8,0.075
9,0.080
10,0.086
11,0.089
12,0.072
13,0.096
14,0.092
15,0.089
16,0.091
17,0.077
18,0.074
19,0.066
20,0.066
21,0.104
22,0.075
23,0.156
24,0.071
25,0.070
26,0.068
27,0.069
28,0.065
29,0.068
30,0.074
31,0.074
32,0.095
33,0.082
34,0.086
35,0.089
36,0.095
37,0.087
38,0.073
39,0.074
40,0.122
41,0.125
42,0.097
43,0.087
44,0.092
45,0.107
46,0.093
47,0.074
48,0.093
49,0.087
50,0.089
51,0.095
52,0.095
53,0.079
54,0.085
55,0.092
56,0.094
57,0.088
58,0.089
59,0.080
60,0.106
61,0.080
62,0.080
63,0.067
64,0.066
65,0.070
66,0.068
67,0.074
68,0.068
69,0.069
70,0.112
71,0.072
72,0.075
73,0.078
74,0.072
75,0.073
76,0.076
77,0.077
78,0.079
79,0.116
80,0.103
