seq,rtt_ms
1,0.166
2,0.137
3,0.093
4,0.083
5,0.078
6,0.095
7,0.086
8,0.078
9,0.087
10,0.086
11,0.098
12,0.079
13,0.073
14,0.097
15,0.090
16,0.081
17,0.070
18,0.070
19,0.081
20,0.072
21,0.079
22,0.116
23,0.096
24,0.093
25,0.083
26,0.084
27,0.085
28,0.086
29,0.089
30,0.081
31,0.126
32,0.093
33,0.087
34,0.143
35,0.084
36,0.087
37,0.080
38,0.084
39,0.084
40,0.096
41,0.118
42,0.080
43,0.074
44,0.085
45,0.084
46,0.083
47,0.086
48,0.082
49,0.063
50,0.095
51,0.090
52,0.070
53,0.066
54,0.070
55,0.071
56,0.074
57,0.071
58,0.090
59,0.074
60,0.081
61,0.112
62,0.068
63,0.080
64,0.073
65,0.066
66,0.068
67,0.080
68,0.094
69,0.091
70,0.130
71,0.088
72,0.074
73,0.070
74,0.070
75,0.070
76,0.085
77,0.070
78,0.086
79,0.071
80,0.084
