t_ms,seq,rtt_ms
55,1,0.099
108,2,0.096
157,3,0.084
209,4,0.072
262,5,0.098
312,6,0.179
362,7,0.068
413,8,0.067
469,9,0.119
521,10,0.111
572,11,0.080
624,12,0.071
677,13,0.183
728,14,0.071
780,15,0.073
837,16,0.113
888,17,0.104
940,18,0.078
992,19,0.072
1044,20,0.107
1096,21,0.076
1148,22,0.070
1200,23,0.068
1251,24,0.069
1303,25,0.073
1355,26,0.071
1406,27,0.071
1459,28,0.112
1511,29,0.110
1562,30,0.075
1614,31,0.066
1666,32,0.080
1717,33,0.075
1769,34,0.070
1821,35,0.078
1872,36,0.081
1925,37,0.080
1976,38,0.074
2028,39,0.076
2080,40,0.072
2133,41,0.075
2184,42,0.073
2237,43,0.101
2288,44,0.050
2341,45,0.096
2393,46,0.058
2444,47,0.061
2497,48,0.094
2547,49,0.322
2599,50,0.105
2651,51,0.099
2703,52,0.058
2756,53,0.207
2807,54,0.045
2858,55,0.107
2909,56,0.056
2961,57,0.068
3013,58,0.052
3064,59,0.075
3117,60,0.055
3170,61,0.156
3222,62,0.052
3273,63,0.070
3326,64,0.102
3379,65,0.082
3431,66,0.080
3481,67,0.113
3533,68,0.090
3587,69,0.090
3640,70,0.092
3690,71,0.072
3743,72,0.070
3795,73,0.068
3845,74,0.091
3896,75,0.073
3947,76,0.071
4002,77,0.198
4053,78,0.057
4105,79,0.052
4157,80,0.053
4211,81,0.067
4260,82,0.072
4311,83,0.071
4362,84,0.072
4414,85,0.071
4466,86,0.109
4518,87,0.096
4570,88,0.073
4620,89,0.071
4671,90,0.070
4723,91,0.071
4774,92,0.068
4825,93,0.072
4876,94,0.072
4928,95,0.074
4980,96,0.098
5031,97,0.072
5083,98,0.073
5134,99,0.067
5186,100,0.072
5238,101,0.070
5289,102,0.073
5341,103,0.074
5392,104,0.073
5445,105,0.103
5496,106,0.108
5548,107,0.082
5600,108,0.092
5651,109,0.068
5703,110,0.068
5755,111,0.072
5807,112,0.072
5858,113,0.106
5911,114,0.070
5966,115,0.103
6017,116,0.080
6067,117,0.070
6118,118,0.071
6170,119,0.071
6222,120,0.081
6273,121,0.069
6325,122,0.077
6376,123,0.068
6427,124,0.065
6481,125,0.569
6533,126,0.127
6585,127,0.077
6637,128,0.075
6688,129,0.075
6739,130,0.075
6791,131,0.080
6843,132,0.072
6894,133,0.097
6946,134,0.075
6997,135,0.083
7049,136,0.066
7104,137,0.073
7156,138,0.074
7208,139,0.072
7259,140,0.072
7311,141,0.073
7363,142,0.073
7414,143,0.071
7465,144,0.107
7517,145,0.090
7569,146,0.072
7621,147,0.070
7674,148,0.105
7724,149,0.071
7777,150,0.073
7828,151,0.074
7880,152,0.068
7933,153,0.076
7983,154,0.078
8035,155,0.074
8087,156,0.073
8138,157,0.071
8191,158,0.068
8242,159,0.100
8292,160,0.071
8345,161,0.083
8400,162,0.075
8453,163,0.103
8504,164,0.095
8555,165,0.075
8608,166,0.073
8658,167,0.072
8710,168,0.073
8762,169,0.080
8818,170,0.070
8869,171,0.075
8921,172,0.064
8974,173,0.072
9025,174,0.076
9076,175,0.070
9128,176,0.068
9178,177,0.074
9230,178,0.102
9282,179,0.068
9334,180,0.064
9385,181,0.072
9438,182,0.102
9490,183,0.110
9543,184,0.107
9592,185,0.076
9644,186,0.074
9695,187,0.076
9748,188,0.067
9798,189,0.071
9851,190,0.078
9902,191,0.070
9953,192,0.105
10004,193,0.069
10056,194,0.113
10107,195,0.104
10159,196,0.070
10209,197,0.078
10261,198,0.067
10312,199,0.066
10363,200,0.067
10414,201,0.068
10466,202,0.109
10517,203,0.088
10568,204,0.069
10619,205,0.068
10671,206,0.256
10723,207,0.139
10775,208,0.274
10828,209,0.081
10878,210,0.077
10929,211,0.067
10981,212,0.068
11032,213,0.096
11087,214,0.105
11136,215,0.073
11187,216,0.070
11238,217,0.065
11289,218,0.085
11341,219,0.082
11391,220,0.073
11442,221,0.070
11494,222,0.124
11545,223,0.127
11596,224,0.255
11646,225,0.065
11699,226,0.078
11749,227,0.076
11800,228,0.073
11852,229,0.135
11902,230,0.072
11953,231,0.104
12005,232,0.076
12055,233,0.074
12106,234,0.071
12158,235,0.076
12208,236,0.074
12260,237,0.076
12310,238,0.074
12362,239,0.074
12412,240,0.075
12466,241,0.590
12517,242,0.091
12567,243,0.076
12618,244,0.076
12670,245,0.106
12720,246,0.071
12771,247,0.074
12823,248,0.073
12873,249,0.066
12925,250,0.062
12976,251,0.071
13026,252,0.071
13078,253,0.076
13129,254,0.119
13179,255,0.070
13230,256,0.070
13281,257,0.072
13332,258,0.072
13383,259,0.073
13434,260,0.071
13486,261,0.112
13537,262,0.080
13588,263,0.074
13638,264,0.077
13689,265,0.070
13741,266,0.068
13791,267,0.072
13843,268,0.073
13893,269,0.073
13945,270,0.077
13995,271,0.072
14047,272,0.075
14097,273,0.063
14149,274,0.075
14199,275,0.070
14250,276,0.075
14301,277,0.076
14352,278,0.074
14403,279,0.074
14457,280,0.086
14506,281,0.097
14556,282,0.078
14610,283,0.072
14661,284,0.071
14711,285,0.104
14762,286,0.073
14813,287,0.071
14865,288,0.078
14915,289,0.072
14966,290,0.074
15018,291,0.079
15069,292,0.075
15120,293,0.073
15171,294,0.072
15222,295,0.071
15272,296,0.071
15323,297,0.073
15376,298,0.085
15426,299,0.111
15476,300,0.107
15528,301,0.084
15578,302,0.064
15629,303,0.065
15680,304,0.074
15732,305,0.072
15782,306,0.103
15834,307,0.083
15884,308,0.071
15935,309,0.065
15987,310,0.068
16037,311,0.074
16088,312,0.075
16140,313,0.072
16190,314,0.103
16242,315,0.081
16293,316,0.076
16343,317,0.094
16394,318,0.078
16445,319,0.066
16496,320,0.093
16547,321,0.085
16599,322,0.073
16649,323,0.073
16701,324,0.074
16751,325,0.075
16803,326,0.112
16854,327,0.073
16904,328,0.076
16956,329,0.073
17007,330,0.073
17058,331,0.073
17108,332,0.081
17159,333,0.074
17210,334,0.074
17262,335,0.071
17314,336,0.332
17365,337,0.068
17416,338,0.067
17468,339,0.089
17524,340,0.114
17575,341,0.066
17627,342,0.097
17678,343,0.067
17729,344,0.063
17780,345,0.078
17833,346,0.689
17884,347,0.069
17937,348,0.069
17989,349,0.071
18040,350,0.105
18092,351,0.066
18145,352,0.079
18194,353,0.076
18246,354,0.077
18299,355,0.310
18354,356,0.071
18402,357,0.066
18455,358,0.113
18507,359,0.105
18561,360,0.077
18612,361,0.074
18663,362,0.075
18714,363,0.073
18769,364,0.068
18818,365,0.067
18869,366,0.074
18921,367,0.074
18973,368,0.075
19024,369,0.071
19076,370,0.075
19128,371,0.108
19180,372,0.076
19232,373,0.068
19285,374,0.076
19335,375,0.077
19387,376,0.074
19438,377,0.076
19491,378,0.122
19541,379,0.092
19591,380,0.104
