t_ms,seq,rtt_ms
59,1,0.153
109,2,0.095
161,3,0.076
217,4,0.098
267,5,0.078
318,6,0.069
369,7,0.061
420,8,0.074
471,9,0.058
523,10,0.069
573,11,0.077
624,12,0.073
675,13,0.072
726,14,0.073
777,15,0.072
829,16,0.084
879,17,0.077
930,18,0.073
982,19,0.071
1032,20,0.077
1084,21,0.073
1134,22,0.073
1186,23,0.189
1241,24,0.092
1291,25,0.065
1342,26,0.110
1392,27,0.071
1444,28,0.111
1494,29,0.065
1546,30,0.103
1596,31,0.066
1648,32,0.063
1698,33,0.076
1750,34,0.075
1800,35,0.069
1852,36,0.093
1902,37,0.070
1954,38,0.071
2005,39,0.129
2056,40,0.070
2107,41,0.074
2157,42,0.072
2209,43,0.109
2260,44,0.121
2310,45,0.092
2362,46,0.075
2413,47,0.076
2463,48,0.103
2514,49,0.075
2565,50,0.065
2616,51,0.073
2668,52,0.074
2719,53,0.088
2770,54,0.072
2821,55,0.079
2871,56,0.073
2922,57,0.076
2974,58,0.105
3024,59,0.073
3076,60,0.101
3127,61,0.076
3180,62,0.288
3231,63,0.220
3281,64,0.082
3331,65,0.077
3382,66,0.070
3434,67,0.073
3484,68,0.066
3536,69,0.103
3587,70,0.072
3641,71,0.109
3691,72,0.073
3742,73,0.076
3794,74,0.079
3844,75,0.076
3895,76,0.111
3946,77,0.100
3997,78,0.061
4048,79,0.072
4100,80,0.072
4154,81,0.092
4205,82,0.171
4256,83,0.152
4306,84,0.078
4361,85,0.057
4411,86,0.079
4462,87,0.100
4513,88,0.072
4564,89,0.064
4616,90,0.382
4666,91,0.064
4725,92,0.246
4778,93,0.105
4823,94,0.075
4874,95,0.072
4925,96,0.063
4977,97,0.072
5028,98,0.073
5079,99,0.070
5129,100,0.070
5180,101,0.108
5232,102,0.097
5283,103,0.076
5334,104,0.075
5385,105,0.072
5436,106,0.076
5486,107,0.102
5537,108,0.073
5588,109,0.073
5639,110,0.072
5691,111,0.073
5742,112,0.072
5793,113,0.077
5844,114,0.076
5894,115,0.073
5945,116,0.066
5997,117,0.071
6048,118,0.076
6099,119,0.069
6150,120,0.071
6201,121,0.118
6252,122,0.115
6303,123,0.072
6355,124,0.073
6406,125,0.076
6457,126,0.077
6507,127,0.073
6558,128,0.065
6610,129,0.072
6661,130,0.093
6711,131,0.104
6763,132,0.076
6814,133,0.074
6864,134,0.107
6916,135,0.114
6967,136,0.073
7017,137,0.075
7069,138,0.088
7119,139,0.079
7170,140,0.113
7222,141,0.109
7274,142,0.106
7326,143,0.076
7377,144,0.737
7429,145,0.073
7482,146,0.079
7534,147,0.084
7585,148,0.065
7637,149,0.073
7689,150,0.076
7742,151,0.078
7793,152,0.068
7845,153,0.067
7897,154,0.068
7948,155,0.067
8000,156,0.110
8052,157,0.067
8105,158,0.080
8156,159,0.076
8208,160,0.097
8260,161,0.079
8312,162,0.080
8362,163,0.103
8414,164,0.077
8466,165,0.076
8521,166,0.070
8570,167,0.103
8620,168,0.065
8671,169,0.073
8723,170,0.112
8776,171,0.075
8828,172,0.079
8880,173,0.077
8931,174,0.076
8983,175,0.071
9035,176,0.074
9087,177,0.067
9139,178,0.068
9194,179,0.446
9244,180,0.092
9296,181,0.195
9346,182,0.070
9397,183,0.078
9449,184,0.073
9500,185,0.065
9550,186,0.064
9601,187,0.066
9652,188,0.065
9704,189,0.064
9754,190,0.068
9805,191,0.073
9856,192,0.099
9908,193,0.068
9958,194,0.097
10010,195,0.072
10061,196,0.071
10112,197,0.073
10164,198,0.110
10218,199,0.150
10269,200,0.073
10320,201,0.071
10371,202,0.065
10421,203,0.074
10471,204,0.103
10523,205,0.102
10573,206,0.065
10625,207,0.083
10676,208,0.065
10727,209,0.085
10778,210,0.078
10829,211,0.076
10880,212,0.072
10931,213,0.064
10981,214,0.070
11032,215,0.067
11083,216,0.075
11135,217,0.075
11186,218,0.097
11237,219,0.092
11287,220,0.078
11339,221,0.070
11389,222,0.066
11440,223,0.100
11492,224,0.073
11543,225,0.071
11594,226,0.071
11644,227,0.074
11696,228,0.072
11746,229,0.069
11797,230,0.064
11849,231,0.075
11900,232,0.070
11951,233,0.073
12001,234,0.067
12052,235,0.066
12104,236,0.065
12154,237,0.060
12206,238,0.117
12256,239,0.085
12307,240,0.070
12358,241,0.070
12409,242,0.073
12461,243,0.086
12512,244,0.070
12562,245,0.072
12613,246,0.075
12664,247,0.073
12716,248,0.135
12768,249,0.113
12820,250,0.074
12872,251,0.081
12922,252,0.080
12974,253,0.100
13026,254,0.078
13078,255,0.076
13132,256,0.077
13184,257,0.122
13237,258,0.116
13287,259,0.089
13340,260,0.086
13390,261,0.062
13442,262,0.069
13493,263,0.062
13545,264,0.069
13597,265,0.063
13649,266,0.058
13702,267,0.068
13756,268,0.066
13805,269,0.070
13856,270,0.062
13908,271,0.069
13959,272,0.062
14010,273,0.066
14061,274,0.080
14112,275,0.076
14163,276,0.107
14215,277,0.122
14267,278,0.071
14319,279,0.057
14370,280,0.081
14424,281,0.065
14475,282,0.064
14527,283,0.067
14578,284,0.065
14631,285,0.065
14683,286,0.062
14735,287,0.066
14787,288,0.066
14840,289,0.077
14892,290,0.061
14944,291,0.070
14996,292,0.134
15047,293,0.090
15099,294,0.076
15151,295,0.097
15204,296,0.097
15254,297,0.116
15306,298,0.092
15357,299,0.073
15408,300,0.075
15459,301,0.073
15510,302,0.071
15562,303,0.076
15613,304,0.075
15664,305,0.073
15716,306,0.073
15767,307,0.075
15818,308,0.110
15869,309,0.073
15921,310,0.072
15973,311,0.072
16024,312,0.087
16075,313,0.074
16127,314,0.074
16180,315,0.113
16232,316,0.089
16283,317,0.079
16335,318,0.078
16387,319,0.074
16438,320,0.075
16489,321,0.077
16542,322,0.073
16592,323,0.075
16644,324,0.075
16695,325,0.073
16747,326,0.074
16798,327,0.072
16849,328,0.077
16901,329,0.070
16953,330,0.104
17004,331,0.073
17055,332,0.103
17106,333,0.071
17158,334,0.069
17211,335,0.114
17261,336,0.087
17313,337,0.074
17365,338,0.077
17416,339,0.079
17468,340,0.071
17519,341,0.077
17572,342,0.073
17623,343,0.073
17675,344,0.075
17726,345,0.102
17776,346,0.076
17827,347,0.074
17878,348,0.074
17930,349,0.075
17981,350,0.076
18031,351,0.107
18085,352,0.132
18133,353,0.076
18185,354,0.114
18236,355,0.101
18288,356,0.066
18340,357,0.068
18392,358,0.053
18444,359,0.054
18496,360,0.063
18547,361,0.063
18599,362,0.068
18650,363,0.060
18702,364,0.057
18753,365,0.096
18804,366,0.068
18857,367,0.068
18909,368,0.063
18960,369,0.063
19011,370,0.059
19063,371,0.062
19115,372,0.061
19166,373,0.111
19220,374,0.098
19272,375,0.069
19323,376,0.063
19374,377,0.065
19426,378,0.061
19477,379,0.060
19528,380,0.061
19579,381,0.065
19631,382,0.060
19683,383,0.058
19735,384,0.066
19788,385,0.078
19839,386,0.060
19890,387,0.066
19941,388,0.061
19992,389,0.061
20043,390,0.062
20099,391,0.088
20150,392,0.076
20201,393,0.097
20252,394,0.086
20303,395,0.075
20354,396,0.073
20405,397,0.065
20456,398,0.062
20507,399,0.065
20559,400,0.061
20610,401,0.091
20661,402,0.059
20712,403,0.062
20763,404,0.090
20814,405,0.080
20864,406,0.086
20916,407,0.064
20969,408,0.077
21021,409,0.066
21072,410,0.055
21123,411,0.058
21175,412,0.076
21226,413,0.084
21277,414,0.154
21327,415,0.068
21379,416,0.075
21431,417,0.077
21481,418,0.056
21533,419,0.061
21585,420,0.064
21638,421,0.074
21688,422,0.069
21739,423,0.076
21792,424,0.067
21843,425,0.071
21895,426,0.104
21946,427,0.072
21998,428,0.073
