t_ms,seq,rtt_ms
54,1,0.096
104,2,0.096
156,3,0.074
207,4,0.110
259,5,0.095
311,6,0.068
363,7,0.078
414,8,0.072
466,9,0.072
518,10,0.090
571,11,0.082
622,12,0.075
674,13,0.109
726,14,0.076
777,15,0.073
829,16,0.071
882,17,0.080
934,18,0.078
986,19,0.073
1037,20,0.072
1089,21,0.070
1141,22,0.074
1193,23,0.074
1245,24,0.100
1298,25,0.076
1349,26,0.106
1402,27,0.137
1452,28,0.072
1504,29,0.075
1556,30,0.112
1607,31,0.076
1660,32,0.073
1712,33,0.068
1764,34,0.102
1816,35,0.133
1867,36,0.071
1918,37,0.072
1971,38,0.075
2022,39,0.064
2075,40,0.072
2125,41,0.240
2177,42,0.102
2230,43,0.106
2282,44,0.093
2332,45,0.069
2384,46,0.123
2436,47,0.066
2490,48,0.994
2540,49,0.075
2591,50,0.076
2642,51,0.110
2694,52,0.104
2745,53,0.071
2797,54,0.078
2848,55,0.074
2900,56,0.071
2953,57,0.152
3004,58,0.077
3056,59,0.118
3108,60,0.076
3161,61,0.074
3213,62,0.112
3264,63,0.166
3315,64,0.072
3366,65,0.102
3420,66,0.064
3472,67,0.127
3523,68,0.119
3574,69,0.075
3628,70,0.112
3682,71,0.123
3731,72,0.074
3782,73,0.072
3835,74,0.070
3887,75,0.072
3940,76,0.102
3992,77,0.075
4044,78,0.077
4095,79,0.078
4147,80,0.075
4199,81,0.163
4253,82,0.097
4302,83,0.078
4353,84,0.074
4405,85,0.071
4459,86,0.096
4510,87,0.077
4561,88,0.072
4614,89,0.075
4669,90,0.080
4719,91,0.066
4770,92,0.074
4822,93,0.084
4876,94,0.066
4928,95,0.072
4978,96,0.066
5031,97,0.072
5085,98,0.069
5137,99,0.048
5189,100,0.066
5241,101,0.081
5294,102,0.109
5344,103,0.090
5397,104,0.067
5449,105,0.124
5501,106,0.064
5553,107,0.110
5603,108,0.094
5655,109,0.064
5709,110,0.070
5759,111,0.074
5811,112,0.071
5863,113,0.073
5917,114,0.057
5969,115,0.112
6022,116,0.177
6073,117,0.085
6125,118,0.081
6177,119,0.050
6227,120,0.309
6278,121,0.081
6332,122,0.070
6385,123,0.105
6437,124,0.071
6488,125,0.070
6542,126,0.062
6593,127,0.060
6644,128,0.076
6696,129,0.129
6749,130,0.068
6799,131,0.059
6850,132,0.072
6902,133,0.099
6957,134,0.061
7008,135,0.114
7060,136,0.097
7111,137,0.099
7166,138,0.051
7216,139,0.072
7269,140,0.093
7320,141,0.055
7373,142,0.059
7423,143,0.063
7476,144,0.060
7528,145,0.062
7581,146,0.072
7631,147,0.109
7682,148,0.089
7734,149,0.073
7789,150,0.093
7838,151,0.058
7888,152,0.060
7940,153,0.075
7995,154,0.067
8046,155,0.072
8098,156,0.135
8149,157,0.074
8205,158,0.146
8251,159,0.091
8303,160,0.099
8354,161,0.067
8405,162,0.062
8456,163,0.096
8507,164,0.071
8560,165,0.054
8611,166,0.069
8664,167,0.056
8717,168,0.394
8770,169,0.112
8822,170,0.055
8874,171,0.072
8927,172,0.086
8976,173,0.071
9029,174,0.056
9081,175,0.073
9133,176,0.055
9185,177,0.108
9237,178,0.112
9289,179,0.078
9341,180,0.071
9393,181,0.051
9444,182,0.050
9496,183,0.063
9548,184,0.061
9599,185,0.061
9650,186,0.111
9701,187,0.064
9753,188,0.055
9804,189,0.071
9857,190,0.071
9909,191,0.101
9961,192,0.238
10015,193,0.066
10066,194,0.066
10119,195,0.790
