t_ms,seq,rtt_ms
69,1,0.097
119,2,0.086
172,3,0.063
225,4,0.087
276,5,0.087
328,6,0.066
382,7,0.121
434,8,0.066
486,9,0.073
537,10,0.065
590,11,0.433
643,12,0.162
694,13,0.118
746,14,0.073
797,15,0.075
848,16,0.073
898,17,0.073
949,18,0.074
1002,19,0.073
1055,20,0.158
1104,21,0.109
1155,22,0.072
1206,23,0.074
1258,24,0.078
1310,25,0.075
1361,26,0.072
1413,27,0.069
1465,28,0.074
1516,29,0.071
1568,30,0.073
1620,31,0.074
1671,32,0.112
1722,33,0.077
1773,34,0.073
1826,35,0.072
1878,36,0.070
1930,37,0.065
1983,38,0.245
2034,39,0.077
2086,40,0.113
2138,41,0.067
2189,42,0.066
2240,43,0.075
2292,44,0.073
2344,45,0.071
2394,46,0.074
2446,47,0.072
2496,48,0.072
2547,49,0.071
2598,50,0.096
2650,51,0.187
2701,52,0.102
2752,53,0.078
2804,54,0.093
2857,55,0.061
2908,56,0.076
2959,57,0.074
3010,58,0.073
3061,59,0.070
3112,60,0.072
3164,61,0.068
3216,62,0.106
3267,63,0.074
3319,64,0.075
3369,65,0.071
3421,66,0.073
3472,67,0.073
3524,68,0.076
3575,69,0.077
3626,70,0.134
3678,71,0.105
3728,72,0.082
3779,73,0.067
3831,74,0.075
3883,75,0.076
3934,76,0.104
3984,77,0.073
4036,78,0.069
4087,79,0.100
4139,80,0.078
4191,81,0.074
4243,82,0.070
4294,83,0.072
4345,84,0.074
4396,85,0.071
4447,86,0.073
4499,87,0.074
4551,88,0.074
4602,89,0.071
4655,90,0.099
4706,91,0.084
4757,92,0.077
4808,93,0.073
4860,94,0.068
4912,95,0.070
4962,96,0.071
5015,97,0.072
5066,98,0.073
5117,99,0.070
5169,100,0.099
5220,101,0.073
5271,102,0.073
5324,103,0.072
5375,104,0.070
5427,105,0.071
5479,106,0.069
5529,107,0.070
5581,108,0.072
5634,109,0.097
5686,110,0.155
5738,111,0.116
5789,112,0.070
5841,113,0.070
5892,114,0.068
5943,115,0.074
5996,116,0.073
6046,117,0.073
6098,118,0.114
6149,119,0.069
6201,120,0.070
6252,121,0.109
6304,122,0.070
6356,123,0.071
6407,124,0.074
6463,125,0.129
6515,126,0.073
6566,127,0.096
6616,128,0.086
6669,129,0.100
6721,130,0.086
6772,131,0.070
6823,132,0.066
6875,133,0.072
6926,134,0.072
6978,135,0.073
7029,136,0.071
7080,137,0.064
7132,138,0.072
7184,139,0.072
7236,140,0.075
